Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
about,"hemen hemen, aşağı yukarı, yaklaşık",edat,B1,,He's about to go.,Gitmek üzere.
above,"üzerine, yukarısında, yukarıda",edat,B1,,It's right above you.,O tam senin üzerinde.
against,"aykırı, karşı, ters olarak",edat,B2,,I'm against the war.,Savaşa karşıyım.
among,"arasına, arasında, içinde",edat,B1,,He is popular among us.,"O, aramızda popülerdir."
and,"ile, ve, ek şart",bağlaç,A1,,I'll go and see.,Gideceğim ve göreceğim.
around,"sularında, çevrede, etrafında",edat,B1,,I move around a lot.,Ben çok gezinirim.
at,"üzere, nezdinde, üzerinde",edat,A1,,I'm at Tom's.,Tom'lardayım.
behind,"ardındaki, arkaya, geriye",edat,B1,,I hid behind a rock.,Bir kayanın arkasına saklandım.
below,"alttaki, aşağıdaki, altta",edat,B1,,My room is just below.,Odam tam aşağıda.
beneath,"altında, aşağıda, aşağıdan",edat,B2,,The money was hidden beneath the floorboards.,Para döşeme tahtalarının altında gizlenmişti.
beside,"yanında, üstelik, diğer taraftan",edat,B1,,Can I sit beside Tom?,Tom'un yanına oturabilir miyim?
besides,"ayrıca, hem, üstelik",bağlaç,B2,,Ask someone else besides me.,Benden başka birine sorun.
between,"arasında, arasına, ortada",edat,B2,,I was the go-between.,Ben arabulucuydum.
by,"geçecek biçimde, yakın, evde",edat,A1,,I'll go by bus.,Otobüsle gideceğim.
considering,"hesaba katma, sıçrama, dikkate alma",edat,B2,,I'm considering suing Tom.,Tom'a dava açmayı düşünüyorum.
down,"aşağıya doğru, aşağı, alaşağı etmek",edat,B1,,Don't let me down.,Benim yüzümü kara çıkarma.
except,"haricinde, hariç, dışında",edat,B1,,No one came except Tom.,Tom hariç hiç kimse gelmedi.
excluding,"hariç, dışlama, müstesna",edat,B2,,We're not excluding anybody.,Biz kimseyi dışarıda bırakmıyoruz.
for,"için, yönünden, zarfında",edat,A1,,I'm OK for now.,Şimdilik iyiyim.
from,"itibaren, -den beri, -den",edat,A1,,I'm from the FBI.,Ben FBI'danım.
in,"içeri, içinde, iç",edat,A1,,I'm in a fix.,Zor durumdayım.
inside,"iç taraf, içeri, içte",edat,B1,,I'll see you inside.,Seni içeride göreceğim.
into,"içine, şekline, biçimine",edat,B1,,I got into my car.,Arabama bindim.
like,"beğenmek, hoşlanmak, sevmek",edat,B1,,I'd like a hug.,Ben sarılmak istiyorum.
near,"yakın, yakınlaşmak, yaklaşmak",edat,A1,,Don't go near Tom.,Tom'a yaklaşma.
nor,"ne de, ne, nor operatörü",bağlaç,B1,,He can't see nor hear.,O ne görebilir ne de duyabilir.
of,"karşı, olan, hakkında",edat,A1,,I'm one of you.,Ben sizden biriyim.
off,"kapalı, dışında, kalkmak",edat,B1,,I'm off to bed.,Yatmaya gidiyorum.
on,"üstünde, üzerinde, yanmak",edat,A1,,I can't go on.,Ben devam edemem.
onto,"üstüne, üzerine, onto",edat,B1,,He jumped onto the table.,O masanın üstüne atladı.
or,"ya da, veya, altın sarısı",bağlaç,B1,,It's now or never.,Ya şimdi ya da asla.
out,"çıkış, dışarıda, dışarı",edat,B1,,I can't go out.,Ben dışarı çıkamam.
outside,"dıştan, dışarı, dışarısı",edat,B2,,I didn't go outside.,Ben dışarıya gitmedim.
over,"bitmiş, üzerine, üstüne",edat,B1,,I'm not over it.,Bunu atlatmış değilim.
per,"her, beher, rücuen",edat,B1,,What is the rate per day?,Günlük oran nedir?
providing,"temin etme, sağlama, eğer",bağlaç,B2,,We're providing an affordable service.,Uygun fiyatlı bir hizmet sağlıyoruz.
so,"bu yüzden, öyle, böyle",bağlaç,B1,,I'm not so old.,O kadar da yaşlı değilim.
than,"hariç, -den, -mektense",edat,B1,,I'm older than Tom.,Ben Tom'dan daha yaşlıyım.
times,"kere, defa, kez",edat,B1,,I did it many times.,Onu defalarca yaptım.
to,"karşı, -mek/-mak, kadar",edat,A1,,It's up to me.,Bu bana bağlı.
under,"altında, alt, az",edat,B1,,It's under the bed.,Yatağın altında.
underneath,"altında, bir şeyin alt bölümü, bir şeyin alt kısmı",edat,B2,,The mouse ran underneath the bed.,Fare yatağın altına kaçtı.
up,"yukarı, yükseltmek, artırmak",edat,B1,,It's up to me.,Bu bana bağlı.
via,"vasıtasıyla, aracılığıyla, kanalıyla",edat,B1,,She went to Europe via America.,O Amerika üzerinden Avrupa'ya gitti.
when,"ne zaman, zaman, ne vakit",bağlaç,B1,,I come when I can.,Gelebildiğim zaman gelirim.
which,"hangi, kaçıncı, hangisini",bağlaç,B1,,Which way do I go?,Hangi yoldan giderim?
who,"kim, kimi, kime",bağlaç,B1,,I am who I am.,Ben neysem oyum.
with,"ile, -lı, beraberinde",edat,A1,,I'm OK with it.,Benim için sorun değil.
without,"dış, dıştan, dışarıda",edat,B2,,Don't go without me.,Bensiz gitme.
