Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
actively,"bilfiil, aktif olarak, etkin bir şekilde",zarf,B2,,The empirical results of the study were remarkably actively.,Çalışmanın ampirik sonuçlarının son derece bilfiil olduğu görüldü.
apply,"uygulamak, yürürlüğe koymak, başvurmak",zarf,B1,"implement, conduct, practice, execute",May I apply for asylum?,Sığınma için başvurabilir miyim?
approximately,"takriben, yaklaşık olarak, aşağı yukarı",zarf,C1,,We're approximately the same age.,Biz yaklaşık olarak aynı yaştayız.
attentively,"dikkatlice, dikkatle",zarf,C1,,Listen attentively to what I say.,Söylediğimi dikkatlice dinle.
carefully,"özenle, idareli biçimde, itinayla",zarf,B2,,Let's do this carefully.,Bunu özenle yapalım.
cautiously,"ihtiyatla, dikkatlice, temkinli bir şekilde",zarf,C1,,You have to move cautiously in this matter.,Bu konuda temkinli hareket etmek zorundayız.
clearly,"açık bir biçimde, açıkça, ayan beyan",zarf,B2,"openly, frankly, plainly",It's clearly a fake.,Bunun sahte olduğu çok belli.
cleverly,"zekice, akıllıca",zarf,B2,,The empirical results of the study were remarkably cleverly.,Çalışmanın ampirik sonuçlarının son derece zekice olduğu görüldü.
completely,"büsbütün, tamamen, komple",zarf,C1,,I'm not completely sure.,Tam olarak emin değilim.
consciously,"bile bile, kasten, bilinçli olarak",zarf,C1,,The empirical results of the study were remarkably consciously.,Çalışmanın ampirik sonuçlarının son derece bile bile olduğu görüldü.
continuously,"aralıksız, sürekli, harıl harıl",zarf,C1,,It rained continuously all day.,Tüm gün sürekli yağmur yağdı.
culturally,kültürel olarak,zarf,C1,,The empirical results of the study were remarkably culturally.,Çalışmanın ampirik sonuçlarının son derece kültürel olarak olduğu görüldü.
definitely,"kesinlikle, tamamen, elbette",zarf,C1,,I'll definitely do that.,Bunu kesinlikle yapacağım.
deliberately,"kasten, bilerek, kasti olarak",zarf,C1,,I didn't do it deliberately.,Kasten yapmadım.
early,"erken, erken olan şey, erken olgunlaşan meyve ya da çiçek",zarf,B1,,I know I'm early.,Erken geldiğimi biliyorum.
easily,"rahatlıkla, rahatça, kolayca",zarf,B1,,I don't cry easily.,Kolay kolay ağlamam.
effectively,"etkili bir şekilde, etkileyici, etkin olarak",zarf,C1,,"Last year, I spent so much time by myself that I almost forgot how to communicate effectively with others.",Geçen yıl tek başıma o kadar uzun bir zaman geçirdim ki diğerleriyle etkili şekilde nasıl iletişim kuracağımı neredeyse unuttum.
efficiently,"yeterli olarak, verimli biçimde, etkin",zarf,C1,,You have to use your time efficiently.,Vaktini verimli kullanmalısın.
entirely,"tümüyle, külliyen, büsbütün",zarf,B2,,I'm entirely to blame.,Tamamen suçlanacağım.
especially,"özellikle, hele, ille",zarf,C1,,It is especially hot today.,Hava bugün özellikle çok sıcak.
exceptionally,"fevkalade, müstesna olarak, son derece",zarf,C1,,We've done exceptionally well.,Son derece iyi yaptık.
extremely,"gayetle, feci, aşırı",zarf,B2,,I've been extremely busy.,Son derece meşguldüm.
fairly,"büsbütün, adil bir şekilde, uygunca",zarf,B1,,It may be fairly old.,Bu oldukça eski olabilir.
formerly,"vaktiyle, evvel zaman, eskiden",zarf,B2,,She was formerly a bank clerk.,O eskiden bir banka memuruydu.
fortunately,"şükür ki, neyse ki, bereket versin",zarf,C1,,"Fortunately, I was on time.",Neyse ki zamanında oradaydım.
frankly,"açıkça, açık söylemek gerekirse, açıkçası",zarf,B2,"openly, clearly, honestly","Frankly, I don't care.","Açıkça, umurumda değil."
fully,"tamamıyla, iyice, iyiden iyiye",zarf,B1,,I fully agree with you.,Tamamen seninle aynı fikirdeyim.
generally,"genelde, genel olarak, genellikle",zarf,B2,,I generally agree with Tom.,Genel olarak Tom'a katılıyorum.
gently,"nazikçe, kibarca, nazik bir şekilde",zarf,B1,,She laid the child down gently.,"O, çocuğu yumuşak bir biçimde yere yatırdı."
gradually,"yavaş yavaş, gitgide, derece derece",zarf,B2,,The wind gradually died down.,Rüzgar yavaş yavaş kesildi.
highly,"ziyadesiyle, yüksek derecede, pek çok",zarf,B1,,He spoke highly of you.,O senden övgüyle bahsetti.
honestly,"dürüst olarak, gerçekten, dürüst olmak gerekirse",zarf,B2,frankly,I can honestly say no.,Dürüstçe hayır diyebilirim.
incessantly,"aralıksız olarak, ardı arkası kesilmeden, biteviye",zarf,C1,,The empirical results of the study were remarkably incessantly.,Çalışmanın ampirik sonuçlarının son derece aralıksız olarak olduğu görüldü.
increasingly,"gitgide artarak, gitgide, gittikçe artarak",zarf,C1,,Modern finance is becoming increasingly complicated and sophisticated.,Modern finans giderek karmaşık ve sofistike hale geliyor.
independently,"başlı başına, birbirini etkilemeden, müstakilen",zarf,C1,,The empirical results of the study were remarkably independently.,Çalışmanın ampirik sonuçlarının son derece başlı başına olduğu görüldü.
influentially,"güçlü bir şekilde, etkili bir biçimde",zarf,C1,,The empirical results of the study were remarkably influentially.,Çalışmanın ampirik sonuçlarının son derece güçlü bir şekilde olduğu görüldü.
initially,"başlangıçta, ilkin, baştan",zarf,B2,,Initially I found it difficult to deal with my new environment.,Başlangıçta yeni ortamımla baş etmeyi zor buldum.
intellectually,"anlayarak, akıl ile, zeka ile",zarf,C1,,The discussion was intellectually stimulating.,Münazara entelektüel olarak aydınlatıcıydı.
intentionally,"kasten, kasıtlı olarak, taammüden",zarf,C1,,Did you do that intentionally?,Sen onu kasıtlı olarak mı yaptın?
kindly,"merhametli, iyi, içten",zarf,B1,,You will be treated kindly.,Size nazikçe davranılacak.
likely,"büyük ihtimalle, mantıklı, geleceği parlak",zarf,B1,,He's likely to come.,"O, muhtemelen gelecektir."
luckily,"çok şükür, talihine, şans eseri",zarf,B2,,"Luckily, we have a plan.",Şansımıza bir planımız var.
meticulously,"özenle, titizlikle, özenli biçimde",zarf,C1,,The school was meticulously clean.,Okul özenle temizlendi.
nearly,"hemen hemen, neredeyse, az kaldı",zarf,B1,,A car nearly hit Tom.,Tom'a neredeyse bir araba çarpıyordu.
newly,"yeni, yeni olarak, yakın zamanlarda",zarf,B1,,Newly printed books smell good.,Yeni basılmış kitaplar güzel kokuyor.
nicely,"hoşça, hoş, iyi",zarf,B1,,It has worked out nicely.,Bu güzelce işe yaradı.
normally,"normalde, normal bir şekilde, genelde",zarf,B2,,I don't normally lie.,Normalde yalan söylemem.
openly,"açıkça, resmen, açık",zarf,B1,"clearly, frankly, candidly",He openly confessed his faults.,Hatalarını açıkça itiraf etti.
orderly,"yazıcı, hastane hademesi, emir eri",zarf,B2,,The empirical results of the study were remarkably orderly.,Çalışmanın ampirik sonuçlarının son derece yazıcı olduğu görüldü.
passionately,"hararetle, tutkuyla",zarf,C1,,"Even if you go away, I'll still passionately love you.","Uzaklara gitsen bile, seni yine de tutkuyla seveceğim."
politely,"kibarca, nezaketle, nazikçe",zarf,B2,,She bowed to me politely.,O kibarca bana selam verdi.
potently,"yoğun bir şekilde, güçlü bir şekilde",zarf,B2,,The empirical results of the study were remarkably potently.,Çalışmanın ampirik sonuçlarının son derece yoğun bir şekilde olduğu görüldü.
precisely,"açık olarak, tam, belli",zarf,B2,,What precisely did you do?,Tam olarak ne yaptın?
previously,"önceden, daha önce, evvelce",zarf,C1,,The empirical results of the study were remarkably previously.,Çalışmanın ampirik sonuçlarının son derece önceden olduğu görüldü.
progressively,"devamlı olarak, ilerledikçe, artan bir şekilde",zarf,C1,,The empirical results of the study were remarkably progressively.,Çalışmanın ampirik sonuçlarının son derece devamlı olarak olduğu görüldü.
properly,"uygun bir şekilde, doğru dürüst, düzgün bir şekilde",zarf,B2,,Let's do this properly.,Hadi bunu doğru düzgün yapalım.
purposely,"kasti olarak, inadına, kasten",zarf,B2,,Did you do that purposely?,Onu kasıtlı olarak mı yaptın?
quickly,"hızla, aceleyle, süratle",zarf,B2,,I had to act quickly.,Çabuk hareket etmek zorunda kaldım.
rapidly,"hızla, süratle, çarçabuk",zarf,B2,,She tends to speak rapidly.,"O, hızlı konuşmaya eğilimlidir."
readily,"kolaylıkla, rahatlıkla, hemen anında",zarf,B2,,He readily agreed to it.,O onu kolayca kabul etti.
really,"hakikaten, gerçekten, cidden",zarf,B1,,It's really a must.,Bu gerçekten bir zorunluluktur.
regularly,"düzenli olarak, sürekli, devamlı olarak",zarf,B2,,Do you work out regularly?,Düzenli çalışıyor musunuz?
reply,"yanıtlamak, cevap, yanıt",zarf,B1,,Here's Tom's reply.,İşte Tom'un cevabı.
roughly,"yaklaşık olarak, tahminen, kabaca",zarf,B2,,I'm roughly the same age as Tom.,Ben aşağı yukarı Tom'la aynı yaştayım.
scholarly,"ilmi, bilgili, bilimsel",zarf,B2,,The empirical results of the study were remarkably scholarly.,Çalışmanın ampirik sonuçlarının son derece ilmi olduğu görüldü.
significantly,"önemli ölçüde, anlamlı, önemli",zarf,C1,,My grades have improved significantly.,Benim notlarım önemli ölçüde arttı.
simply,"basit bir şekilde, basitçe, bayağı",zarf,B1,,I simply don't know.,Sadece bilmiyorum.
smartly,"ustalıkla, zekice, sert/sıkı bir şekilde",zarf,B2,,The empirical results of the study were remarkably smartly.,Çalışmanın ampirik sonuçlarının son derece ustalıkla olduğu görüldü.
steadily,"durmadan, sabit şekilde, boyuna",zarf,B2,,We're steadily moving forward.,Durmadan ileriye gidiyoruz.
supply,"tedarik etmek, sağlamak, tedarik",zarf,B1,,Cows supply us with milk.,İnekler bize süt sağlar.
swiftly,"süratle, hızla, fişek gibi",zarf,B2,,His fingers ran swiftly over the keys.,Parmakları klavyenin üzerinde hızla hareket etti.
systematically,"sistematik olarak, sistemli olarak",zarf,C1,,"Her sewing basket, dresser drawers and pantry shelves are all systematically arranged in apple-pie order.","Onun dikiş sepeti, şifonyer çekmeceleri ve külotlu çorap rafları hepsi sistemli olarak yerli yerinde düzenlenir."
tirelessly,"yorgunluk nedir bilmeden, hiç yorulmaksızın, usanmadan",zarf,C1,,The empirical results of the study were remarkably tirelessly.,Çalışmanın ampirik sonuçlarının son derece yorgunluk nedir bilmeden olduğu görüldü.
totally,"bütünüyle, tamamen, tamamıyla",zarf,B2,,He's totally lost it.,O delirdi.
unfortunately,"maalesef, aksi gibi, ne yazık ki",zarf,C1,,"Unfortunately, it's a hoax.",Ne yazık ki bu bir aldatmaca.
unluckily,"şanssızlık eseri, aksi tesadüf, maalesef",zarf,B2,,The empirical results of the study were remarkably unluckily.,Çalışmanın ampirik sonuçlarının son derece şanssızlık eseri olduğu görüldü.
usually,"genellikle, çoğunlukla, çoğu zaman",zarf,B2,,I don't usually cry.,Genellikle ağlamam.
utterly,"tümüyle, tamamen, düpedüz",zarf,B2,,The report is utterly false.,Rapor tamamen yanlış.
wisely,"akıllıca, bilgece",zarf,B1,,You must act more wisely.,Daha akıllıca hareket etmelisin.
