Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
anticipate,"beklemek, ummak, sezmek",fiil,C1,,I didn't anticipate this.,Bunu beklemiyordum.
characterize,"nitelendirmek, simgesi olmak, farklı olmasını sağlamak",fiil,C1,,"The Japanese distribution system, characterized by layers of wholesale, is complex and costly.",Toptan satış tabakaları ile karakterize edilen Japon dağıtım sistemi karmaşık ve masraflıdır.
considerate,"düşünceli, hürmetkar, anlayışlı",fiil,C1,,He is a considerate father.,"O, düşünceli bir babadır."
constitute,"oluşturmak, teşkil etmek, kurmak",fiil,C1,,The research committee agreed to constitute the proposed methodology.,Araştırma komitesi önerilen metodolojiyi oluşturmak konusunda mutabık kaldı.
constitutes,"oluşturmak, teşkil etmek, kurmak",fiil,C1,,The research committee agreed to constitutes the proposed methodology.,Araştırma komitesi önerilen metodolojiyi oluşturmak konusunda mutabık kaldı.
contribute,"katkı yapmak, katkıda bulunmak, vermek",fiil,C1,,I want to contribute more.,Daha fazla katkıda bulunmak istiyorum.
demonstrate,"ispat etmek, göstermek, kanıtlamak",fiil,C1,,I'll demonstrate it for you.,Bunu senin için kanıtlayacağım.
disappoint,"hayal kırıklığına uğratmak, altüst etmek, ümidini boşa çıkarmak",fiil,C1,,I won't disappoint you.,Ben seni hayal kırıklığına uğratmayacağım.
discovered,"keşfedilmek, açığa çıkarılmak, bulunmak",fiil,C1,,He discovered a new star.,Yeni bir yıldız keşfetti.
everywhere,"her yer, her yere, her taraf",fiil,C1,,Cops can't be everywhere.,Polisler her yerde olamazlar.
exterminate,"kırmak, kökünü kurutmak, mahvetmek",fiil,C1,,The research committee agreed to exterminate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi kırmak konusunda mutabık kaldı.
facilitate,"hafifletmek, rahatlatmak, olanak tanımak",fiil,C1,,I think I can facilitate that.,Bunu kolaylaştırabileceğimi düşünüyorum
inadequate,"yetersiz, liyakatsiz, elverişsiz",fiil,C1,,I just feel a little inadequate.,Sadece biraz yetersiz hissediyorum.
inappropriate,"uygun olmayan, yakışıksız, isabetsiz",fiil,C1,,I think it's inappropriate.,O bence uygun değil.
investigate,"araştırmak, soruşturmak, incelemek",fiil,C1,,Let's go and investigate.,Gidelim ve araştıralım.
necessitate,"gerektirmek, gerekli kılmak, zorunlu kılmak",fiil,C1,,The research committee agreed to necessitate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi gerektirmek konusunda mutabık kaldı.
progressed,"zaman ilerledikçe, zaman geçtikçe, ilerletilmiş harita",fiil,C1,,The research committee agreed to progressed the proposed methodology.,Araştırma komitesi önerilen metodolojiyi zaman ilerledikçe konusunda mutabık kaldı.
strengthen,"sağlamlaştırmak, kuvvetlenmek, güçlendirmek",fiil,C1,enhance,"Time, which strengthens friendship, weakens love.","Zaman, dostluğu güçlendirir, sevgiyi zayıflatır."
whereabouts,"bulunduğu veya olduğu yer, yer, semt",fiil,C1,,I don't know his whereabouts.,Onun bulunduğu yeri bilmiyorum.
