Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
B1 Temel Akademik İsimler,a,"belirli bir tür veya nitelikteki, en yüksek not, ingiliz alfabesinin birinci harfi",isim,B1,,I'm in a fix.,Zor durumdayım.
B2 İleri Akademik İsimler,ability,"hüner, kabiliyet, yetenek",isim,B2,,I really trust his ability.,Ben gerçekten onun yeteneğine güveniyorum.
B1 Temel Akademik İsimler,abuse,"suistimal etmek, kötüye kullanmak, suistimal",isim,B1,,Child abuse is a crime.,Çocuk istismarı suçtur.
B1 Temel Akademik İsimler,access,"erişim, erişme, giriş",isim,B1,,He had access to the papers.,Onun belgelere erişim hakkı vardı.
C1 Üst Düzey Akademik İsimler,accessibility,"ulaşılırlık, giriş imkanı, kolaylıkla görüşülebilir olma",isim,C1,,The investigation highlighted the critical role of accessibility.,Soruşturma ulaşılırlık kavramının kritik rolünü vurguladı.
C1 Üst Düzey Akademik İsimler,accommodation,"konaklama, kalacak yer, konfor",isim,C1,,We need accommodation for six.,Altı kişi için kalacak yere ihtiyacımız var.
C1 Üst Düzey Akademik İsimler,accomplishment,"başarma, becerme, başarılan iş",isim,C1,,It's a great accomplishment.,Bu büyük bir başarı.
B2 İleri Akademik İsimler,according,"uyma, binaenaleyh, uyarak",isim,B2,,It all went according to plan.,Onun hepsi plana göre gitti.
B2 İleri Akademik İsimler,account,"hesap, açıklamasını yapmak, avlamak",isim,B2,,Put it on my account.,Bunu benim hesabıma yatır.
C1 Üst Düzey Akademik İsimler,achievement,"başarı, eser, edinim",isim,C1,,It's a big achievement.,O büyük bir başarı.
B1 Temel Akademik İsimler,act,"davranmak, hareket etmek, eylem",isim,B1,,It's all an act.,Hepsi numara.
B1 Temel Akademik İsimler,action,"çalışma, davranış, aksiyon",isim,B1,,It's time for action.,Eylem zamanı.
B2 İleri Akademik İsimler,activists,"siyasal eylemciler, hayvan hakları savunucuları",isim,B2,,The activists deny the accusations.,Eylemciler suçlamaları reddediyor.
C1 Üst Düzey Akademik İsimler,activities,"icraat, aktiviteler, etkinlikler",isim,C1,,I'm fully aware of Tom's activities.,Tom'un faaliyetlerinin tamamen farkındayım.
B2 İleri Akademik İsimler,activity,"etkinlik, faaliyet, meşguliyet",isim,B2,,This is a fun activity.,"Bu, eğlenceli bir aktivite."
B1 Temel Akademik İsimler,adding,"ekleme, cemi, izafe",isim,B1,,I'm adding the last touch.,Son rötuşları yapıyorum.
B2 İleri Akademik İsimler,addition,"ek, ilave, toplama",isim,B2,,Do you need anything in addition?,Buna ek olarak bir şeye ihtiyacın var mı?
C1 Üst Düzey Akademik İsimler,addressing,"retorik, sesleniş, hitabet",isim,C1,,He always talks as though he were addressing a public meeting.,O her zaman halka açık bir toplantıya sesleniyor gibi konuşur.
B1 Temel Akademik İsimler,admin,"yönetici, idare, yönetim",isim,B1,,The investigation highlighted the critical role of admin.,Soruşturma yönetici kavramının kritik rolünü vurguladı.
C1 Üst Düzey Akademik İsimler,administer,"yönetmek, idare etmek, tatbik etmek",isim,C1,,He administered his friend's affairs.,"O, arkadaşlarının işlerini idare etti."
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",administration,"yönetim, idare, yerine getirme",isim,C1,,Give the administration a chance.,Yönetime bir şans ver.
C1 Üst Düzey Akademik İsimler,adolescence,"ergenlik çağı, ergenlik, büyüme çağı",isim,C1,,The investigation highlighted the critical role of adolescence.,Soruşturma ergenlik çağı kavramının kritik rolünü vurguladı.
B2 İleri Akademik İsimler,adult's,"yetişkin, yetişkin gözetiminde bulunmak, yetişkin gözetiminde olmak",isim,B2,,The investigation highlighted the critical role of adult's.,Soruşturma yetişkin kavramının kritik rolünü vurguladı.
B2 İleri Akademik İsimler,adulthood,"erişkinlik dönemi, erginlik, yetişkinlik",isim,B2,,The investigation highlighted the critical role of adulthood.,Soruşturma erişkinlik dönemi kavramının kritik rolünü vurguladı.
B2 İleri Akademik İsimler,advance,"terfi ettirmek, avans vermek, geliştirmek",isim,B2,,We knew that in advance.,Biz önceden biliyorduk.
C1 Üst Düzey Akademik İsimler,advancement,"ilerleme, yükselme, gelişme",isim,C1,,Does this job offer opportunities for advancement?,"Bu iş, ilerleme için fırsatlar sunuyor mu?"
C1 Üst Düzey Akademik İsimler,advancements,teknolojik gelişmeler,isim,C1,,The investigation highlighted the critical role of advancements.,Soruşturma teknolojik gelişmeler kavramının kritik rolünü vurguladı.
B2 İleri Akademik İsimler,advances,"avanslar, arkadaşlık teklifleri, göze girmek için yapılan öneriler",isim,B2,,Recent advances in medicine are remarkable.,Tıptaki son gelişmeler dikkat çekiyor.
B1 Temel Akademik İsimler,advice,"nasihat, tavsiye, öğüt",isim,B1,,I took Tom's advice.,Tom'un tavsiyesini aldım.
B1 Temel Akademik İsimler,africa,afrika,isim,B1,,He was born in Africa.,O Afrika'da doğdu.
B1 Temel Akademik İsimler,age,"yaş, çağ, devir",isim,B1,,He is just my age.,O tam benim yaşımda.
B1 Temel Akademik İsimler,ages,"uzun süre, uzun zaman, asırlar",isim,B1,,I did that ages ago.,Onu uzun süre önce yaptım.
B1 Temel Akademik İsimler,aid,"yardım etmek, yardım, yardımcı olmak",isim,B1,,She came to my aid.,Benim yardımıma geldi.
B1 Temel Akademik İsimler,aim,"amaçlamak, hedeflemek, nişan almak",isim,B1,,I aim to be a writer.,Ben bir yazar olmayı hedefliyorum.
B1 Temel Akademik İsimler,air,"havalandırmak, yayına girmek, hava",isim,B1,,We're on the air.,Canlı yayındayız.
B1 Temel Akademik İsimler,airbus,"uçak, kısa mesafelerde çok sayıda yolcu taşımak üzere tasarlanmış uçak, jet yolcu uçağı",isim,B1,,The investigation highlighted the critical role of airbus.,Soruşturma uçak kavramının kritik rolünü vurguladı.
B2 İleri Akademik İsimler,aircraft,"uçak, uçaklar, hava taşıtı",isim,B2,,One of the aircraft's engines cut out.,Uçağın motorlarından biri durdu.
B2 İleri Akademik İsimler,airline,"hava yolu, havayolu, düz hat",isim,B2,,Which airline do you work for?,Hangi hava yolu için çalışıyorsun?
B2 İleri Akademik İsimler,airplane,"uçak, tayyare, teyyare",isim,B2,,Can you fly an airplane?,Bir uçağı uçurabilir misin?
B2 İleri Akademik İsimler,airplanes,uçaklar,isim,B2,,Can you sleep on airplanes?,Uçaklarda uyuyabilir misin?
B2 İleri Akademik İsimler,airport,"havalimanı, havaalanı, hava limanı",isim,B2,,I'm at the airport.,Havaalanındayım.
B2 İleri Akademik İsimler,alcohol,"alkol, ispirto, içki",isim,B2,,I can't drink alcohol.,Alkol içemem.
B1 Temel Akademik İsimler,alter,"değiştirmek, değişiklik yapmak, hadım etmek",isim,B1,,We must alter our plan.,Planımızı değiştirmeliyiz.
C1 Üst Düzey Akademik İsimler,alteration,"değişiklik, değişim, değiştirme",isim,C1,,The investigation highlighted the critical role of alteration.,Soruşturma değişiklik kavramının kritik rolünü vurguladı.
C1 Üst Düzey Akademik İsimler,alternatives,"çareler, seçenekler, seçilebilecek yollar",isim,C1,,Let's look at alternatives.,Alternatiflere bakalım.
B1 Temel Akademik İsimler,amb,"amb, büyükelçi, ambulans",isim,B1,,The investigation highlighted the critical role of amb.,Soruşturma amb kavramının kritik rolünü vurguladı.
B2 İleri Akademik İsimler,american,"amerikan, amerikalı, amerika",isim,B2,,He must be an American.,O bir Amerikalı olmalı.
B1 Temel Akademik İsimler,amount,"miktar, tutar, meblağ",isim,B1,,It's a large amount.,O büyük bir miktar.
B2 İleri Akademik İsimler,amusement,"eğlendiren oyun veya uğraş, oyalanma, eğlenme",isim,B2,,Reading is his chief amusement.,Okumak onun baş eğlencesidir.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",an,"bir, hollanda antilleri, anabatik rüzgar",isim,B1,,I'm an ex-con.,Ben eski bir mahkumum.
B2 İleri Akademik İsimler,analysis,"çözümleme, analiz, tahlil",isim,B2,,The analysis is very clear.,Analiz çok açık.
B2 İleri Akademik İsimler,analyst,"çözümlemeci, analist, araştırmacı",isim,B2,"researcher, scientist, examiner",You have an excellent analyst.,Mükemmel bir analistin var.
B2 İleri Akademik İsimler,anomalies,"anormallikler, aykırılıklar, kural dışı durumlar",isim,B2,,The investigation highlighted the critical role of anomalies.,Soruşturma anormallikler kavramının kritik rolünü vurguladı.
B1 Temel Akademik İsimler,answer,"yanıt vermek, cevaplamak, cevap vermek",isim,B1,,I can't answer that.,Ona cevap veremem.
C1 Üst Düzey Akademik İsimler,antibodies,antikorlar,isim,C1,,Antibodies fight off infections and viruses.,Antikorlar enfeksiyonları ve virüsleri defeder.
B2 İleri Akademik İsimler,anxiety,"endişe, kaygı, tasa",isim,B2,,She could not cope with anxiety.,Anksiyete ile baş edemedi.
C1 Üst Düzey Akademik İsimler,appearance,"dış görünüş, görünüm, görünüş",isim,C1,,Avoid the appearance of evil.,Şeytanın hilesinden sakının.
B2 İleri Akademik İsimler,appliance,"cihaz, gereç, aygıt",isim,B2,,It's an energy-efficient appliance.,Enerji verimi yüksek bir cihaz.
C1 Üst Düzey Akademik İsimler,application,"tatbik, uygulama, başvuru",isim,C1,,I lied on my job application.,İş başvurumda yalan söyledim.
C1 Üst Düzey Akademik İsimler,applications,uygulamalar,isim,C1,,Applications are due by Monday.,Başvurular için süre sonu pazartesi.
B2 İleri Akademik İsimler,applying,uygulanıyor,isim,B2,,I'm applying for a job.,Bir iş başvurusu yapıyorum.
B2 İleri Akademik İsimler,approach,"yanaşmak, yaklaşmak, yaklaşım",isim,B2,,I like Tom's approach.,Tom'un yaklaşımını seviyorum.
B1 Temel Akademik İsimler,apps,"apps denetimi, istemci uygulamaları",isim,B1,,I have dozens of apps on my phone that I seldom use.,"Telefonumda, nadiren kullandığım düzinelerce uygulamam var."
B2 İleri Akademik İsimler,architect,"mimar, yapmak, planlamak",isim,B2,,I want to be an architect.,Ben mimar olmak istiyorum.
C1 Üst Düzey Akademik İsimler,architects,mimarlar,isim,C1,,The investigation highlighted the critical role of architects.,Soruşturma mimarlar kavramının kritik rolünü vurguladı.
B1 Temel Akademik İsimler,are,"ar, 100 metrekare'ye eşit alan ölçüsü birimi, yüz metrekare, ar",isim,B1,,Are you at Tom's?,Tom'larda mısın?
B1 Temel Akademik İsimler,areas,"alanları doldurmak, koruma alanları, sağlık hizmetleri alanı",isim,B1,,Most people live in urban areas.,Çoğu kişi kentsel alanlarda yaşar.
B2 İleri Akademik İsimler,argument,"argüman, tartışma, sav",isim,B2,,It was a fair argument.,Adil bir argümandı.
B1 Temel Akademik İsimler,aries,"koç, koç burcu, balık ve boğa takımyıldızları arasında yer alan koç takımyıldızı",isim,B1,,The investigation highlighted the critical role of aries.,Soruşturma koç kavramının kritik rolünü vurguladı.
B1 Temel Akademik İsimler,arms,"koyun, kucak, silahlar",isim,B1,,Let go of my arms.,Kollarımı bırak.
B2 İleri Akademik İsimler,arteries,arterler,isim,B2,,"Fortunately, the shark bite didn't hit any major arteries.","Neyse ki, köpekbalığı ısırığı herhangi bir büyük artere isabet etmedi."
B1 Temel Akademik İsimler,artist,"artist, sanatkar, sanatçı",isim,B1,,He's a con artist.,O bir düzenbaz.
B2 İleri Akademik İsimler,artists,sanatçılar,isim,B2,,Many famous artists live in Boston.,Boston'da birçok ünlü sanatçı yaşıyor.
B1 Temel Akademik İsimler,aside,"bertaraf, ayrı, bir kenara",isim,B1,,Lay this aside for me.,Bunu benim için bir yana koy.
B1 Temel Akademik İsimler,aspect,"hal, taraf, yön",isim,B1,,I love every aspect of the game.,Oyunun her yönünü seviyorum.
B2 İleri Akademik İsimler,assessing,"değerleme, değerlendirme",isim,B2,,We're now assessing the situation.,Biz şimdi durumu değerlendiriyoruz.
B1 Temel Akademik İsimler,assist,"yardım etmek, asistanlık yapmak, asiste etmek",isim,B1,,I'm here to assist you.,Size yardımcı olmak için buradayım.
C1 Üst Düzey Akademik İsimler,assortment,"karışım, ayırma, çeşitlilik",isim,C1,,The investigation highlighted the critical role of assortment.,Soruşturma karışım kavramının kritik rolünü vurguladı.
C1 Üst Düzey Akademik İsimler,astronomers,astronomlar,isim,C1,,Ancient astronomers noticed constellations and gave them names.,Eski astronomlar takımyıldızları fark ettiler ve onlara isimler verdiler.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",astrophysics,"gökfiziği, astrofizik, gök fiziği",isim,C1,,The investigation highlighted the critical role of astrophysics.,Soruşturma gökfiziği kavramının kritik rolünü vurguladı.
B2 İleri Akademik İsimler,athletes,"atletler, sporcular",isim,B2,,Some athletes sweat more than others.,Bazı sporcular diğerlerinden daha fazla terler.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",atmosphere,"atmosfer, havayuvarı, gazyuvarı",isim,C1,,The moon has no atmosphere.,Ay'ın atmosferi yoktur.
C1 Üst Düzey Akademik İsimler,attempting,"girişimde bulunma, yeltenme, kalkışma",isim,C1,,I'm attempting to win here.,Burada kazanmaya çalışıyorum.
B2 İleri Akademik İsimler,attempts,"bir çok girişim, çok sayıda girişim, çevirme denemeleri",isim,B2,,All of our attempts failed.,Bütün girişimlerimiz başarısız oldu.
B2 İleri Akademik İsimler,attention,"özen, ilgilenme, ilgi",isim,B2,,I didn't pay attention.,Önemsemedim.
B2 İleri Akademik İsimler,attitude,"tutum, tavır, duruş",isim,B2,,I like Tom's attitude.,Tom'un davranışını beğenirim.
B2 İleri Akademik İsimler,attitudes,"tutumlar, bir eşya, mal veya fikre karşı uzun süreli duygu, düşünce ve tepki",isim,B2,,Social attitudes oftentimes take generations to change.,Toplumsal tutumlar genellikle nesilleri değişime götürür.
B2 İleri Akademik İsimler,audience,"izleyiciler veya dinleyiciler topluluğu, seyirci, izleyici",isim,B2,,I was in the audience.,Ben seyircinin içindeydim.
B2 İleri Akademik İsimler,audiences,seyirciler,isim,B2,,The investigation highlighted the critical role of audiences.,Soruşturma seyirciler kavramının kritik rolünü vurguladı.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",author,"yazar, yazmak, yazarı olmak",isim,B1,,I want to be an author.,Ben bir yazar olmak istiyorum.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",authorities,"yetkililer, makam ve merci, resmi merciler",isim,C1,,I'm going to report you to the authorities.,Seni yetkili makamlara ihbar edeceğim.
