Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
B1-B2 Sık Çıkan Akademik Sıfatlar,able,"hünerli, kadir, gücü yeten",sıfat,B1,,I'm able to run.,Koşabilirim.
B1-B2 Sık Çıkan Akademik Sıfatlar,abrupt,"birdenbire oluveren, ani, sert",sıfat,B1,,Don't make abrupt moves.,Ani hareket yapmayın.
B1-B2 Sık Çıkan Akademik Sıfatlar,absolute,"tam, mutlak, salt",sıfat,B2,,He's an absolute fool.,O katışıksız bir aptal.
B1-B2 Sık Çıkan Akademik Sıfatlar,academic,"akademik, üniversite öğretim görevlisi, öğretim görevlisi",sıfat,B2,,My interest in politics is strictly academic.,Siyasete ilgim tamamen akademik.
C1 İleri Niteleme Sıfatları,accessible,"ulaşılabilir, erişilebilir, kolaylıkla görüşülebilen",sıfat,C1,,The town is accessible by rail.,Şehre demir yolu ile erişilebilir.
C1 İleri Niteleme Sıfatları,accomplished,"başarıyla sonlandırılmış, başarılmış, yetenekli",sıfat,C1,,We've accomplished a lot.,Çok şey başardık.
B1-B2 Sık Çıkan Akademik Sıfatlar,accused,"zanlı, sanık, suçlu",sıfat,B2,,He is accused of murder.,O cinayetle suçlanıyor.
Akademik Zarflar (-ly / Derece),actively,"bilfiil, aktif olarak, etkin bir şekilde",zarf,B2,,The empirical results of the study were remarkably actively.,Çalışmanın ampirik sonuçlarının son derece bilfiil olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,adaptable,"uyabilen, uyumlu, yeni koşullara uyarlanabilen",sıfat,B2,,The empirical results of the study were remarkably adaptable.,Çalışmanın ampirik sonuçlarının son derece uyabilen olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,adaptive,"uyarlanır, uyabilen, uyar",sıfat,B2,,The empirical results of the study were remarkably adaptive.,Çalışmanın ampirik sonuçlarının son derece uyarlanır olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,added,"munzam, katma, ekli",sıfat,B1,,He added to his savings.,"O, birikimlerini topladı."
C1 İleri Niteleme Sıfatları,additional,"fazladan, ek, ilave",sıfat,C1,,There is an additional problem.,Ek bir sorun var.
C1 İleri Niteleme Sıfatları,adjustable,"ayarlı, ayarlanır, ayarlanabilir",sıfat,C1,,The empirical results of the study were remarkably adjustable.,Çalışmanın ampirik sonuçlarının son derece ayarlı olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,admitted,"kabul edilen, kabul edilmiş, herkesçe bilinen",sıfat,B2,,I admitted I did it.,Bunu yaptığımı itiraf ettim.
C1 İleri Niteleme Sıfatları,adolescent,"ergen, gençlik, genç",sıfat,C1,,The audience were mostly adolescents.,Seyirciler genellikle gençti.
B1-B2 Sık Çıkan Akademik Sıfatlar,adult,"yetişkin, er kişi, yetişkin kişi",sıfat,B1,,I'm an adult now.,Artık bir yetişkinim.
B1-B2 Sık Çıkan Akademik Sıfatlar,adverse,"olumsuz, aksi, ters",sıfat,B2,,Is there any adverse reaction?,Herhangi bir olumsuz reaksiyon var mı?
B1-B2 Sık Çıkan Akademik Sıfatlar,affluent,"ırmak ayağı, bir nehrin ayağı, gürül gürül akan",sıfat,B2,,The empirical results of the study were remarkably affluent.,Çalışmanın ampirik sonuçlarının son derece ırmak ayağı olduğu görüldü.
C1 İleri Niteleme Sıfatları,affordable,"bütçeye uygun, ekonomik, düşük maliyetli",sıfat,C1,,We want to make it affordable.,Bunu satın alınabilir yapmak istiyoruz.
B1-B2 Sık Çıkan Akademik Sıfatlar,airless,"havasız, boğucu, sakin",sıfat,B2,,The empirical results of the study were remarkably airless.,Çalışmanın ampirik sonuçlarının son derece havasız olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,all,"tüm, bütün, hepsi",sıfat,B1,,I'm all for it.,Ben tamamen destekliyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,allied,"bağlaşık, müttefik, birbirine bağlı",sıfat,B1,,Germany was once allied with Italy.,Almanya bir zamanlar İtalya ile müttefikti.
B1-B2 Sık Çıkan Akademik Sıfatlar,allowing,izin verilen,sıfat,B2,,I'm allowing you to go.,Gitmene izin veriyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,alone,"yalnız, bir, kimsesiz",sıfat,B1,,I can't go alone.,Tek başıma gidemem.
C1 İleri Niteleme Sıfatları,alternative,"alternatif, çare, şık",sıfat,C1,,We've got no alternative.,Hiç alternatifimiz yok.
B1-B2 Sık Çıkan Akademik Sıfatlar,amused,"memnuniyet içinde, mutlu, eğlenen",sıfat,B1,,The joke amused the audience.,Espri seyirciyi eğlendirdi.
B1-B2 Sık Çıkan Akademik Sıfatlar,amusing,"eğlenceli, zevkli, komik",sıfat,B2,,I found her very amusing.,Ben onu çok eğlenceli buldum.
B1-B2 Sık Çıkan Akademik Sıfatlar,ancient,"antik, çok yaşlı kimse, uzun zaman önce yaşamış kimse",sıfat,B2,,This is an ancient law.,Bu eski bir yasadır.
B1-B2 Sık Çıkan Akademik Sıfatlar,animal,"hayvan, yetenekli kimse, izbandut gibi adam",sıfat,B1,,I'm a party animal.,Ben parti hayvanıyım.
B1-B2 Sık Çıkan Akademik Sıfatlar,anxious,"endişeli, kaygılı, huzursuz",sıfat,B2,,I'm a bit anxious.,Biraz endişeliyim.
B1-B2 Sık Çıkan Akademik Sıfatlar,any,"her, hiçbir, herhangi",sıfat,B1,,I don't have any.,Bende hiç yok.
B1-B2 Sık Çıkan Akademik Sıfatlar,appalling,"müthiş, dehşete düşüren, korkunç",sıfat,B2,,I think that's appalling.,Onun korkunç olduğunu düşünüyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,apparent,"aşikar, ortada, belirgin",sıfat,B2,,The apparent truth was really a lie.,Bariz gerçek gerçekten bir yalandı.
Akademik Zarflar (-ly / Derece),apply,"uygulamak, yürürlüğe koymak, başvurmak",zarf,B1,"implement, conduct, practice, execute",May I apply for asylum?,Sığınma için başvurabilir miyim?
Akademik Zarflar (-ly / Derece),approximately,"takriben, yaklaşık olarak, aşağı yukarı",zarf,C1,,We're approximately the same age.,Biz yaklaşık olarak aynı yaştayız.
B1-B2 Sık Çıkan Akademik Sıfatlar,arrival,"varış, varma, geliş",sıfat,B2,,What's our arrival time?,Bizim varış saatimiz nedir?
B1-B2 Sık Çıkan Akademik Sıfatlar,arrive,"varmak, ulaşmak, başarmak",sıfat,B1,,Will we arrive in time?,Zamanında varır mıyız?
B1-B2 Sık Çıkan Akademik Sıfatlar,asleep,"uyuyan, tembel, uyuşuk",sıfat,B1,,I'm not asleep yet.,Henüz uyumuyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,ative,"-den, ilgili anlamı veren son ek, ilişkili anlamı veren son ek",sıfat,B1,,The empirical results of the study were remarkably ative.,Çalışmanın ampirik sonuçlarının son derece -den olduğu görüldü.
Akademik Zarflar (-ly / Derece),attentively,"dikkatlice, dikkatle",zarf,C1,,Listen attentively to what I say.,Söylediğimi dikkatlice dinle.
C1 İleri Niteleme Sıfatları,attractive,"cazibeli, cazip, çekici",sıfat,C1,,Do you find me attractive?,Beni çekici buluyor musun?
B1-B2 Sık Çıkan Akademik Sıfatlar,available,"elde hazır bulunan, boş, mevcut",sıfat,B2,,A free demo is available.,Ücretsiz bir gösteri mevcuttur.
B1-B2 Sık Çıkan Akademik Sıfatlar,aware,"haberdar, farkında, vakıf",sıfat,B1,,I'm aware of it.,Ben bunun farkındayım.
B1-B2 Sık Çıkan Akademik Sıfatlar,awful,"berbat, çok kötü, fena",sıfat,B1,,I know it's awful.,Korkunç olduğunu biliyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,balanced,"dengeli, dengelenmiş, muvazeneli",sıfat,B2,,The budget must be balanced.,Bütçe dengeli olmalıdır.
B1-B2 Sık Çıkan Akademik Sıfatlar,based,"esaslı, yerleşik, temeli",sıfat,B1,,This is based on fact.,Bu gerçeğe dayalıdır.
C1 İleri Niteleme Sıfatları,behavioral,"davranışla ilgili, davranış, davranışsal",sıfat,C1,,The empirical results of the study were remarkably behavioral.,Çalışmanın ampirik sonuçlarının son derece davranışla ilgili olduğu görüldü.
