Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
anybody,"kimse, hiç kimse, herhangi biri",zamir,B2,,Can anybody do it?,Herhangi biri bunu yapabilir mi?
anyone,"hiç kimse, kimse, herhangi bir kimse",zamir,B1,,Anyone can do it.,Bunu herhangi biri yapabilir.
apartment,"daire, apartman katı, apartman dairesi",isim,A1,,I hate my apartment.,Apartman dairemden nefret ediyorum.
area,"alan, saha, bölge",isim,A1,,I know this area.,Bu alanı biliyorum.
art,"sanat, beceri, maharet",isim,A1,,I majored in art.,Ben sanatta ihtisas yaptım.
baby,"yavru, bebek, şımartmak",isim,A1,,Tom is a baby.,Tom bir bebek.
bad,"kötü, fena, bozuk",sıfat,A1,,I'm hurt bad.,Kötü incindim.
beach,"sahil, kumsal, plaj",isim,A1,,I like the beach.,Ben plajı seviyorum.
beautiful,"güzel, tatlı, ahım şahım",sıfat,A1,,It's so beautiful.,Bu çok güzel.
bed,"yatak, gömmek, oturtmak",isim,A1,,I'm in bed.,Ben yataktayım.
beer,"bira, arpasuyu, ingiltere'de yerleşim yeri",isim,A1,,I'm off beer.,Bira içmeyi bıraktım.
beginning,"başlangıç, baş, ilk adım",isim,A1,,I'm just beginning.,Ben sadece başlıyorum.
bird,"kuş, manita, kus",isim,A1,,A bird can fly.,Bir kuş uçabilir.
black,"siyahi, kara, siyah",sıfat,A1,,Isn't it black?,O siyah değil mi?
body,"ceset, gövde, vücut",isim,A1,,I hate my body.,Vücudumdan nefret ediyorum.
book,"ayırtmak, kitap, deftere işlemek",isim,A1,,I see a book.,Bir kitap görüyorum.
bus,"otobüs, otobüsle taşımak, otobüsle gitmek",isim,A1,,It's my bus.,Bu benim otobüsüm.
buy,"ısmarlamak, satın almak, almak",fiil,A1,,I'd buy it.,Onu alırdım.
car,"otomobil, araba, kabin",isim,A1,,I own a car.,Ben bir arabaya sahibim.
cat,"kedi, istifra etmek, kusmak",isim,A1,,I had a cat.,Benim bir kedim vardı.
cheap,"ucuz, ucuzlatmak, değersiz",sıfat,A1,,It isn't cheap.,Bu ucuz değil.
chef,"aşçı, aşçıbaşı, şef",isim,A1,,Aren't you a chef?,Sen bir aşçıbaşı değil misin?
child,"evlat, çocuk, ürün",isim,A1,,I'm a child.,Ben bir çocuğum.
children,"çocuklar, çocuk, döl döş",isim,A1,,Are my children OK?,Çocuklarım iyi mi?
city,"kent, şehir, metropol",isim,A1,,I love my city.,Kentimi seviyorum.
clock,"saat, saat tutmak, ölçmek",isim,A1,,Look at the clock.,Saate bak.
cold,"soğukluk, soğukkanlı, soğuk",sıfat,A1,,He has a cold.,Onun soğuk algınlığı var.
cook,"yemek pişirmek, pişirmek, aşçı",fiil,A1,,I'm a cook.,Ben bir aşçıyım.
country,"yurt, memleket, ülke",isim,A1,,I love my country.,Ülkemi seviyorum.
day,"gün, dönem, gündüz",isim,A1,,Give me a day.,Bana bir gün ver.
dish,"tabak, mahvetmek, oymak",isim,A1,,This dish is tasty.,Bu yemek lezzetli.
dishes,"tabak çanak, bulaşık, yemekler",isim,A1,,I did the dishes.,Bulaşıkları yıkadım.
dishwasher,"bulaşıkçı, bulaşık makinesi",isim,A1,,I have a dishwasher.,Bir bulaşık makinem var.
doctor,"doktor, tahrif etmek, tedavi etmek",isim,A1,,I'm a doctor.,Ben bir doktorum.
door,"kapı, eşik, giriş",isim,A1,,I shut the door.,Kapıyı kapadım.
drink,"içmek, içki, drank - drunk",fiil,A1,,I don't drink.,Ben içki içmem.
drive,"sürmek, araba sürmek, dürtü",sıfat,A1,,I can't drive.,Ben araba kullanamam.
