Kelime,Toplam Tekrar Sayısı,Bulunduğu Video Sayısı
the,899,30
to,410,23
of,395,26
bir,372,5
in,280,25
a,226,27
bu,211,4
i,158,9
is,148,22
for,145,20
and,134,17
do,133,13
de,133,5
da,131,5
be,130,17
ve,119,4
on,111,17
with,102,13
up,99,16
daha,97,4
ki,96,4
hocam,93,4
kadar,93,5
at,88,8
var,87,5
out,86,14
ben,80,4
son,79,5
ne,78,5
by,76,11
from,76,13
as,72,13
her,71,8
ama,68,4
olsun,64,5
world,61,9
treatment,60,12
around,60,8
yani,60,4
that,59,13
health,59,9
are,57,13
about,56,8
gibi,56,4
ediyorum,55,3
allah,55,4
new,54,12
get,54,12
have,54,11
most,54,8
an,51,11
sarmal,50,4
puan,50,5
make,49,11
sevgili,49,5
people,48,9
sadece,46,4
research,45,9
not,45,10
sizin,45,2
time,44,8
sonra,43,5
so,42,10
study,42,10
or,42,9
hani,42,4
kelime,42,4
can,41,9
hafta,40,4
medication,39,10
was,39,7
take,39,6
more,39,9
should,39,6
his,39,8
all,39,8
turn,39,6
crucial,39,7
diye,39,5
has,38,8
ya,38,5
bunu,38,4
rise,37,7
en,37,4
impact,36,7
after,36,8
eee,36,5
ilk,36,4
olarak,35,5
saat,35,5
way,34,6
iyi,34,5
ederim,34,2
tebrik,34,2
during,33,6
subject,33,8
influence,33,7
improve,33,9
away,33,6
recent,33,7
essential,33,7
power,33,7
effective,33,6
since,33,7
times,33,4
soru,33,4
effect,32,7
search,32,7
find,32,5
bana,32,4
yasin,32,4
one,31,10
important,31,10
ay,31,4
sen,31,4
mesela,31,4
everyone,30,5
matter,30,9
community,30,6
field,30,5
region,30,6
keep,30,7
without,30,3
change,30,7
over,30,3
case,30,7
give,30,5
widespread,30,6
extensive,30,7
tekrardan,30,4
diyorum,30,5
tekrar,30,4
into,29,6
lk,29,4
grow,28,7
done,28,2
under,28,3
ngilizce,28,4
az,28,4
knowledge,27,5
this,27,7
must,27,6
construct,27,7
through,27,4
zone,27,5
use,27,6
because,27,4
when,27,7
vital,27,7
supply,27,7
diverse,27,6
various,27,6
device,27,6
biraz,26,5
benim,26,3
test,25,6
off,25,4
bile,25,4
tam,25,4
diyor,25,4
devam,25,3
conduct,24,5
design,24,4
growth,24,5
environment,24,5
improvement,24,8
area,24,5
among,24,5
earth,24,7
result,24,7
capacity,24,5
account,24,7
they,24,6
answer,24,6
despite,24,4
though,24,4
medical,24,5
become,24,3
audience,24,5
compared,24,2
vaccination,24,5
social,24,6
been,24,5
maintain,24,7
high,24,4
throughout,24,4
zaman,24,4
size,24,4
old,23,4
rehabilitation,23,6
he,22,6
tired,22,6
sayenizde,22,2
apply,21,7
found,21,6
issue,21,7
perform,21,7
carry,21,7
form,21,6
build,21,6
rule,21,4
society,21,5
construction,21,3
between,21,4
help,21,6
century,21,6
within,21,5
fuel,21,5
able,21,5
some,21,6
amount,21,4
stay,21,3
your,21,5
considering,21,6
force,21,5
necessary,21,5
physical,21,2
advancement,21,6
cold,21,3
investigation,21,5
hard,21,5
it,21,7
appear,21,4
condition,21,4
influential,21,4
previously,21,4
topic,21,5
data,21,5
prevalent,21,5
sizi,21,3
tane,21,4
oldu,21,3
set,20,7
istiyorum,20,4
zaten,20,3
care,19,3
type,19,6
work,19,6
release,19,4
significant,19,6
increase,19,4
method,19,3
disease,19,3
develop,19,5
falan,19,4
implement,18,6
cure,18,6
information,18,4
compose,18,3
cultivate,18,4
establish,18,6
building,18,6
art,18,2
progress,18,5
group,18,4
numerous,18,3
create,18,5
look,18,4
last,18,4
week,18,5
child,18,6
country,18,4
run,18,4
pass,18,3
water,18,5
tail,18,2
action,18,5
potential,18,3
you,18,5
response,18,3
strength,18,4
fitness,18,4
go,18,2
before,18,4
better,18,4
try,18,5
difficulty,18,4
efficient,18,4
overall,18,3
point,18,5
different,18,6
discover,18,6
enough,18,3
communication,18,3
place,18,3
liste,18,2
yok,18,4
dili,18,2
innovative,17,3
obtain,17,6
may,17,3
gerekiyor,17,4
video,17,4
senin,17,5
serisini,17,4
izledim,17,3
boyunca,17,3
te,17,4
yi,17,3
dilden,17,2
capability,16,4
whole,16,6
like,16,5
calm,16,3
encourage,16,4
enhance,16,6
heat,16,4
hangi,16,3
seni,16,4
olan,16,4
bak,16,4
room,15,4
moment,15,3
woman,15,5
represent,15,3
stand,15,3
cultural,15,2
which,15,2
everybody,15,4
there,15,4
sensitive,15,3
carefully,15,2
retired,15,3
researcher,15,5
investigator,15,5
music,15,5
instrument,15,5
river,15,4
prepare,15,2
advance,15,5
surrounding,15,5
much,15,3
fall,15,4
day,15,5
year,15,5
guess,15,4
predict,15,4
appearance,15,3
charge,15,4
date,15,4
due,15,3
man,15,4
children,15,4
city,15,5
continent,15,4
their,15,4
activity,15,4
spite,15,4
although,15,4
even,15,5
kid,15,4
novel,15,5
fresh,15,5
clear,15,4
lost,15,3
happy,15,2
first,15,3
prove,15,3
difficult,15,2
continual,15,3
remain,15,3
sound,15,3
status,15,5
concerned,15,4
lecture,15,3
entire,15,4
complete,15,4
outcome,15,5
might,15,3
could,15,4
reach,15,4
event,15,4
show,15,4
major,15,3
than,15,3
choice,15,4
patient,15,4
remedy,15,4
trust,15,2
risk,15,4
uncover,15,4
explore,15,5
think,15,5
sustain,15,4
affluent,15,2
infectious,15,3
common,15,3
collect,15,3
critical,15,5
provide,15,4
scientific,15,3
only,15,2
question,15,2
effectively,15,3
contribute,15,4
cause,15,4
deliver,15,4
examine,15,3
investigate,15,3
order,15,3
invent,15,5
territory,15,4
remarkable,15,4
space,15,3
species,15,2
temperature,15,3
worldwide,15,3
proteins,15,1
burada,15,5
geliyor,15,4
sana,15,4
serisi,15,3
ders,15,4
belki,15,4
tamamen,15,2
