Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
able,"hünerli, kadir, gücü yeten",sıfat,B1,,I'm able to run.,Koşabilirim.
abrupt,"birdenbire oluveren, ani, sert",sıfat,B1,,Don't make abrupt moves.,Ani hareket yapmayın.
absolute,"tam, mutlak, salt",sıfat,B2,,He's an absolute fool.,O katışıksız bir aptal.
academic,"akademik, üniversite öğretim görevlisi, öğretim görevlisi",sıfat,B2,,My interest in politics is strictly academic.,Siyasete ilgim tamamen akademik.
accused,"zanlı, sanık, suçlu",sıfat,B2,,He is accused of murder.,O cinayetle suçlanıyor.
adaptable,"uyabilen, uyumlu, yeni koşullara uyarlanabilen",sıfat,B2,,The empirical results of the study were remarkably adaptable.,Çalışmanın ampirik sonuçlarının son derece uyabilen olduğu görüldü.
adaptive,"uyarlanır, uyabilen, uyar",sıfat,B2,,The empirical results of the study were remarkably adaptive.,Çalışmanın ampirik sonuçlarının son derece uyarlanır olduğu görüldü.
added,"munzam, katma, ekli",sıfat,B1,,He added to his savings.,"O, birikimlerini topladı."
admitted,"kabul edilen, kabul edilmiş, herkesçe bilinen",sıfat,B2,,I admitted I did it.,Bunu yaptığımı itiraf ettim.
adult,"yetişkin, er kişi, yetişkin kişi",sıfat,B1,,I'm an adult now.,Artık bir yetişkinim.
adverse,"olumsuz, aksi, ters",sıfat,B2,,Is there any adverse reaction?,Herhangi bir olumsuz reaksiyon var mı?
affluent,"ırmak ayağı, bir nehrin ayağı, gürül gürül akan",sıfat,B2,,The empirical results of the study were remarkably affluent.,Çalışmanın ampirik sonuçlarının son derece ırmak ayağı olduğu görüldü.
airless,"havasız, boğucu, sakin",sıfat,B2,,The empirical results of the study were remarkably airless.,Çalışmanın ampirik sonuçlarının son derece havasız olduğu görüldü.
all,"tüm, bütün, hepsi",sıfat,B1,,I'm all for it.,Ben tamamen destekliyorum.
allied,"bağlaşık, müttefik, birbirine bağlı",sıfat,B1,,Germany was once allied with Italy.,Almanya bir zamanlar İtalya ile müttefikti.
allowing,izin verilen,sıfat,B2,,I'm allowing you to go.,Gitmene izin veriyorum.
alone,"yalnız, bir, kimsesiz",sıfat,B1,,I can't go alone.,Tek başıma gidemem.
amused,"memnuniyet içinde, mutlu, eğlenen",sıfat,B1,,The joke amused the audience.,Espri seyirciyi eğlendirdi.
amusing,"eğlenceli, zevkli, komik",sıfat,B2,,I found her very amusing.,Ben onu çok eğlenceli buldum.
ancient,"antik, çok yaşlı kimse, uzun zaman önce yaşamış kimse",sıfat,B2,,This is an ancient law.,Bu eski bir yasadır.
animal,"hayvan, yetenekli kimse, izbandut gibi adam",sıfat,B1,,I'm a party animal.,Ben parti hayvanıyım.
anxious,"endişeli, kaygılı, huzursuz",sıfat,B2,,I'm a bit anxious.,Biraz endişeliyim.
any,"her, hiçbir, herhangi",sıfat,B1,,I don't have any.,Bende hiç yok.
appalling,"müthiş, dehşete düşüren, korkunç",sıfat,B2,,I think that's appalling.,Onun korkunç olduğunu düşünüyorum.
apparent,"aşikar, ortada, belirgin",sıfat,B2,,The apparent truth was really a lie.,Bariz gerçek gerçekten bir yalandı.
arrival,"varış, varma, geliş",sıfat,B2,,What's our arrival time?,Bizim varış saatimiz nedir?
arrive,"varmak, ulaşmak, başarmak",sıfat,B1,,Will we arrive in time?,Zamanında varır mıyız?
asleep,"uyuyan, tembel, uyuşuk",sıfat,B1,,I'm not asleep yet.,Henüz uyumuyorum.
ative,"-den, ilgili anlamı veren son ek, ilişkili anlamı veren son ek",sıfat,B1,,The empirical results of the study were remarkably ative.,Çalışmanın ampirik sonuçlarının son derece -den olduğu görüldü.
available,"elde hazır bulunan, boş, mevcut",sıfat,B2,,A free demo is available.,Ücretsiz bir gösteri mevcuttur.
aware,"haberdar, farkında, vakıf",sıfat,B1,,I'm aware of it.,Ben bunun farkındayım.
awful,"berbat, çok kötü, fena",sıfat,B1,,I know it's awful.,Korkunç olduğunu biliyorum.
balanced,"dengeli, dengelenmiş, muvazeneli",sıfat,B2,,The budget must be balanced.,Bütçe dengeli olmalıdır.
based,"esaslı, yerleşik, temeli",sıfat,B1,,This is based on fact.,Bu gerçeğe dayalıdır.
best,"en iyi, geçmek, baskın çıkmak",sıfat,B1,,I'll do my best.,Ben elimden gelenin en iyisini yapacağım.
biologic,"biyoloji ile ilgili, biyolojik",sıfat,B2,,The empirical results of the study were remarkably biologic.,Çalışmanın ampirik sonuçlarının son derece biyoloji ile ilgili olduğu görüldü.
biting,"ısırma, sokma, iğneli",sıfat,B1,,The dog is biting Tom.,Köpek Tom'u ısırıyor.
blind,"kör, kör etmek, körletmek",sıfat,B1,,I didn't go blind.,Kör olmadım.
boiling,"kaynama, haşlama, kaynatma",sıfat,B2,,It's boiling in here.,Burada hava çok bunaltıcı.
bored,"sıkılmış, delinmiş, bıkkın",sıfat,B1,,I'm bored right now.,Şu anda sıkıldım.
botanical,"bitkibilimsel, bitkisel, botanik",sıfat,B2,,We found many strange plants in a botanical garden.,Biz bir botanik bahçesinde çok tuhaf bitkiler bulduk.
both,"her ikisi de, her iki, her ikisi",sıfat,B1,,We can both do it.,İkimiz bunu yapabiliriz.
british,"ingiliz, ingiliz halkı, ingilizler",sıfat,B2,,The British climbed the hill.,İngilizler tepeye tırmandı.
broke,"parasız, züğürt, meteliksiz",sıfat,B1,,I broke Tom's nose.,Ben Tom'un burnunu kırdım.
calm,"sakinleştirmek, sakinlik, soğukkanlı",sıfat,B1,,I have to stay calm.,Sakin kalmak zorundayım.
calming,"yatıştırıcı, teskin, huzur veren",sıfat,B2,,The empirical results of the study were remarkably calming.,Çalışmanın ampirik sonuçlarının son derece yatıştırıcı olduğu görüldü.
captured,"mazbut, yakalanmış, esir edilmiş",sıfat,B2,,I won't stay and be captured.,Kalmayacağım ve yakalanmayacağım.
carried,"taşınan, taşınmış, kabul edildi/edilmiştir!",sıfat,B2,,Don't get carried away.,Abartma.
celestial,"gökyüzü ile ilgili, gök, göksel",sıfat,B2,,The empirical results of the study were remarkably celestial.,Çalışmanın ampirik sonuçlarının son derece gökyüzü ile ilgili olduğu görüldü.
