Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
a,"belirli bir tür veya nitelikteki, en yüksek not, ingiliz alfabesinin birinci harfi",isim,B1,,I'm a DJ.,Ben bir DJ'im.
ability,"hüner, kabiliyet, yetenek",isim,B2,,Tom has psychic ability.,Tom'un psişik yeteneği var.
abuse,"suistimal etmek, kötüye kullanmak, suistimal",isim,B1,,Child abuse is a crime.,Çocuk istismarı suçtur.
access,"erişim, erişme, giriş",isim,B1,,Bicycle access is limited.,Bisiklet girişi sınırlı.
accessibility,"ulaşılırlık, giriş imkanı, kolaylıkla görüşülebilir olma",isim,C1,,The goal is accessibility.,Amaç erişilebilirliktir.
accommodation,"konaklama, kalacak yer, konfor",isim,C1,,We need accommodation for six.,Altı kişi için kalacak yere ihtiyacımız var.
accomplishment,"başarma, becerme, başarılan iş",isim,C1,,It's a great accomplishment.,Bu büyük bir başarı.
according,"uyma, binaenaleyh, uyarak",isim,B2,,It all went according to plan.,Onun hepsi plana göre gitti.
account,"hesap, açıklamasını yapmak, avlamak",isim,B2,,Put it on my account.,Bunu benim hesabıma yatır.
achievement,"başarı, eser, edinim",isim,C1,,It's a big achievement.,O büyük bir başarı.
act,"davranmak, hareket etmek, eylem",isim,B1,,Act like a dog.,Bir köpek gibi davranın.
action,"çalışma, davranış, aksiyon",isim,B1,,We need more action.,Daha fazla eyleme ihtiyacımız var.
activists,"siyasal eylemciler, hayvan hakları savunucuları",isim,B2,,The activists deny the accusations.,Eylemciler suçlamaları reddediyor.
activities,"icraat, aktiviteler, etkinlikler",isim,C1,,Children like outdoor activities.,Çocuklar açık hava aktivitelerinden hoşlanır.
activity,"etkinlik, faaliyet, meşguliyet",isim,B2,,This is a fun activity.,"Bu, eğlenceli bir aktivite."
adding,"ekleme, cemi, izafe",isim,B1,,I'm adding the last touch.,Son rötuşları yapıyorum.
addition,"ek, ilave, toplama",isim,B2,,Do you need anything in addition?,Buna ek olarak bir şeye ihtiyacın var mı?
addressing,"retorik, sesleniş, hitabet",isim,C1,,Who am I addressing?,Kiminle müşerref oluyorum?
admin,"yönetici, idare, yönetim",isim,B1,,The study highlighted the profound impact of admin.,Çalışma yönetici kavramının derin etkisini vurguladı.
administer,"yönetmek, idare etmek, tatbik etmek",isim,C1,,He administered his friend's affairs.,"O, arkadaşlarının işlerini idare etti."
administration,"yönetim, idare, yerine getirme",isim,C1,,Give the administration a chance.,Yönetime bir şans ver.
adolescence,"ergenlik çağı, ergenlik, büyüme çağı",isim,C1,,The study highlighted the profound impact of adolescence.,Çalışma ergenlik çağı kavramının derin etkisini vurguladı.
adult's,"yetişkin, yetişkin gözetiminde bulunmak, yetişkin gözetiminde olmak",isim,B2,,The study highlighted the profound impact of adult's.,Çalışma yetişkin kavramının derin etkisini vurguladı.
adulthood,"erişkinlik dönemi, erginlik, yetişkinlik",isim,B2,,The study highlighted the profound impact of adulthood.,Çalışma erişkinlik dönemi kavramının derin etkisini vurguladı.
advance,"terfi ettirmek, avans vermek, geliştirmek",isim,B2,,I paid in advance.,Peşin ödedim.
advancement,"ilerleme, yükselme, gelişme",isim,C1,,Does this job offer opportunities for advancement?,"Bu iş, ilerleme için fırsatlar sunuyor mu?"
advancements,teknolojik gelişmeler,isim,C1,,The study highlighted the profound impact of advancements.,Çalışma teknolojik gelişmeler kavramının derin etkisini vurguladı.
advances,"avanslar, arkadaşlık teklifleri, göze girmek için yapılan öneriler",isim,B2,,Recent advances in medicine are remarkable.,Tıptaki son gelişmeler dikkat çekiyor.
advice,"nasihat, tavsiye, öğüt",isim,B1,,Get Tom's advice.,Tom'un tavsiyesini alın.
africa,afrika,isim,B1,,Africa is a continent.,Afrika bir kıtadır.
age,"yaş, çağ, devir",isim,B1,,He's my age.,O benim yaşımda.
ages,"uzun süre, uzun zaman, asırlar",isim,B1,,It's been ages.,Uzun süre oldu.
aid,"yardım etmek, yardım, yardımcı olmak",isim,B1,,I need first aid.,İlk yardıma ihtiyacım var.
aim,"amaçlamak, hedeflemek, nişan almak",isim,B1,,That's my aim.,O benim amacım.
air,"havalandırmak, yayına girmek, hava",isim,B1,,I need some air.,Biraz havaya ihtiyacım var.
airbus,"uçak, kısa mesafelerde çok sayıda yolcu taşımak üzere tasarlanmış uçak, jet yolcu uçağı",isim,B1,,The study highlighted the profound impact of airbus.,Çalışma uçak kavramının derin etkisini vurguladı.
aircraft,"uçak, uçaklar, hava taşıtı",isim,B2,,One of the aircraft's engines cut out.,Uçağın motorlarından biri durdu.
airline,"hava yolu, havayolu, düz hat",isim,B2,,Which airline do you work for?,Hangi hava yolu için çalışıyorsun?
airplane,"uçak, tayyare, teyyare",isim,B2,,I saw an airplane.,Bir uçak gördüm.
airplanes,uçaklar,isim,B2,,We have three airplanes.,Bizim üç uçağımız var.
airport,"havalimanı, havaalanı, hava limanı",isim,B2,,I'm at the airport.,Havaalanındayım.
alcohol,"alkol, ispirto, içki",isim,B2,,Alcohol is a drug.,Alkol bir uyuşturucudur.
alter,"değiştirmek, değişiklik yapmak, hadım etmek",isim,B1,,We must alter our plan.,Planımızı değiştirmeliyiz.
alteration,"değişiklik, değişim, değiştirme",isim,C1,,The study highlighted the profound impact of alteration.,Çalışma değişiklik kavramının derin etkisini vurguladı.
alternatives,"çareler, seçenekler, seçilebilecek yollar",isim,C1,,We have no alternatives.,Bizim hiçbir alternatifimiz yok.
amb,"amb, büyükelçi, ambulans",isim,B1,,The study highlighted the profound impact of amb.,Çalışma amb kavramının derin etkisini vurguladı.
american,"amerikan, amerikalı, amerika",isim,B2,,He is an American.,O bir Amerikalı.
amount,"miktar, tutar, meblağ",isim,B1,,It's a large amount.,O büyük bir miktar.
