Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
abate,"geçmek, yatıştırmak, indirmek",fiil,B1,,The storm didn't abate for several hours.,Fırtına birkaç saattir yavaşlamadı.
accept,"kabullenmek, kabul etmek, almak",fiil,B1,,I don't accept it.,Onu kabul etmiyorum.
accuse,"suçlamak, itham etmek, suçlamada bulunmak",fiil,B1,,Don't accuse him of that.,Onu onunla suçlama.
adapt,"adapte etmek, uyarlamak, uymak",fiil,B1,,You just have to adapt.,Sadece uyarlamak zorundasın.
add,"toplamak, eklemek, ilave etmek",fiil,B1,,Add it to my bill.,Hesabıma ekle.
adjust,"ayarlamak, hizaya getirmek, uydurmak",fiil,B1,,We had to adjust everything.,Her şeyi ayarlamak zorunda kaldık.
admit,"itiraf etmek, kabul etmek, almak",fiil,B1,,I admit I do that.,Bunu yaptığımı kabul ediyorum.
advise,"öğütlemek, öğüt vermek, nasihat etmek",fiil,B1,,I advise you to wait.,Beklemenizi tavsiye ederim.
affect,"etkilemek, tesir etmek, gibi davranmak",fiil,B1,,That doesn't affect me.,Bu beni etkilemiyor.
ago,"evvel, önce, eskiden",fiil,B1,,It is too long ago.,Çok uzun zaman öncedir.
agree,"aynı fikirde olmak, anlaşmak, razı olmak",fiil,B1,,I'm glad we agree.,Anlaştığımıza memnun oldum.
allow,"izin vermek, müsaade etmek, kabul etmek",fiil,B1,,I can't allow it.,Buna izin veremem.
also,"ayrıca, yine, da",fiil,B1,,I also have a son.,Benim ayrıca bir oğlum var.
am,"olmak, birleşmek, birleştirmek",fiil,B1,,I am who I am.,Ben neysem oyum.
amuse,"eğlendirmek, oyalamak, güldürmek",fiil,B1,,That amuses me very much.,Bu beni çok eğlendiriyor.
apart,"ayrı, farklı özellikleri olan, ayrı bir yere",fiil,B1,,Let's take it apart.,Onu sökelim.
appear,"belli olmak, görünmek, belirmek",fiil,B1,,Do I appear that weak?,O kadar cılız görünüyor muyum?
argue,"tartışmak, çekişmek, göstergesi olmak",fiil,B1,,Don't argue with me.,Benimle tartışma.
arise,"arose - arisen, kaynaklanmak, kalkmak",fiil,B1,,Fatal errors arise from carelessness.,Ölümcül hatalar dikkatsizlikten ortaya çıkar.
ascend,"çıkmak, artmak, tahta çıkmak",fiil,B1,,The airplane ascended to four thousand feet.,Uçak dört bin feet irtifaya çıktı.
assess,"değer biçmek, hesaplamak, incelemek",fiil,B1,,We'll assess the situation.,Durumu değerlendireceğiz.
attach,"yapıştırmak, bağlamak, iliştirmek",fiil,B1,,Attach labels to all the bags.,Bütün çantalara etiketleri takın.
avoid,"önlemek, kaçınmak, sakınmak",fiil,B1,,You can't avoid it.,Bunu önleyemezsin.
away,"uzak, uzağa, uzakta",fiil,B1,,I won't go away.,Uzaklara gitmeyeceğim.
back,"art, arkalık, sırt",fiil,B1,,I can't go back.,Geri dönemem.
be,"bulunmak, olmak, var olmak",fiil,B1,,Don't be a pig.,Bir aynasız olmayın.
bear,"dayanmak, katlanmak, taşımak",fiil,B1,,I can't bear it.,Ben buna katlanamam.
became,"çok fazla büyümeden önlenmek, önünü almak/önlemek, ne oldu",fiil,B1,,I became Tom's friend.,Tom'un arkadaşı oldum.
become,"haline gelmek, olmak, dönüşmek",fiil,B1,,What'll become of me?,Bana ne olacak?
