Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
anybody,"kimse, hiç kimse, herhangi biri",zamir,B2,,I can't see anybody.,Ben kimseyi göremiyorum.
anyone,"hiç kimse, kimse, herhangi bir kimse",zamir,B1,,I can't see anyone.,Ben kimseyi göremiyorum.
apartment,"daire, apartman katı, apartman dairesi",isim,A1,,I'm in my apartment.,Ben dairemdeyim.
area,"alan, saha, bölge",isim,A1,,I was in the area.,Ben alandaydım.
art,"sanat, beceri, maharet",isim,A1,,I'm an art student.,Ben bir sanat öğrencisiyim.
baby,"yavru, bebek, şımartmak",isim,A1,,I'm not a baby.,Ben bir bebek değilim.
beach,"sahil, kumsal, plaj",isim,A1,,I went to the beach.,Sahile gittim.
bed,"yatak, gömmek, oturtmak",isim,A1,,I'm off to bed.,Yatmaya gidiyorum.
beer,"bira, arpasuyu, ingiltere'de yerleşim yeri",isim,A1,,I'd like a beer.,Bir bira istiyorum.
beginning,"başlangıç, baş, ilk adım",isim,A1,,He's beginning to cry.,O ağlamaya başlıyor.
bird,"kuş, manita, kus",isim,A1,,It's just a bird.,O sadece bir kuş.
body,"ceset, gövde, vücut",isim,A1,,He has a strong body.,O güçlü bir gövdeye sahip.
book,"ayırtmak, kitap, deftere işlemek",isim,A1,,I'd like a book.,Bir kitap istiyorum.
bus,"otobüs, otobüsle taşımak, otobüsle gitmek",isim,A1,,I'll go by bus.,Otobüsle gideceğim.
car,"otomobil, araba, kabin",isim,A1,,I'm in my car.,Arabamın içindeyim.
cat,"kedi, istifra etmek, kusmak",isim,A1,,It's just a cat.,Bu sadece bir kedi.
chef,"aşçı, aşçıbaşı, şef",isim,A1,,Aren't you a chef?,Sen bir aşçıbaşı değil misin?
child,"evlat, çocuk, ürün",isim,A1,,I'm not a child.,Bir çocuk değilim.
children,"çocuklar, çocuk, döl döş",isim,A1,,I don't hate children!,Ben çocuklardan nefret etmiyorum!
city,"kent, şehir, metropol",isim,A1,,I'm a city girl.,Ben bir şehir kızıyım.
clock,"saat, saat tutmak, ölçmek",isim,A1,,It was six o'clock.,Saat altıydı.
country,"yurt, memleket, ülke",isim,A1,,I'm a country boy.,Ben bir taşra çocuğuyum.
day,"gün, dönem, gündüz",isim,A1,,It's a hot day.,Sıcak bir gün.
dish,"tabak, mahvetmek, oymak",isim,A1,,This is Tom's dish.,Bu Tom'un yemeği.
dishes,"tabak çanak, bulaşık, yemekler",isim,A1,,I'll do the dishes.,Ben bulaşıkları yıkayacağım.
dishwasher,"bulaşıkçı, bulaşık makinesi",isim,A1,,I don't have a dishwasher.,Benim bir bulaşık makinem yok.
doctor,"doktor, tahrif etmek, tedavi etmek",isim,A1,,I'm Tom's doctor.,Tom'un doktoruyum.
door,"kapı, eşik, giriş",isim,A1,,I'll get the door.,Kapıya bakacağım.
ear,"kulak, başaklanmak, başak",isim,A1,,I'm deaf in one ear.,Bir kulağım sağır.
earth,"kara, yeryüzü, zemin",isim,A1,,He's down to earth.,O gerçekçidir.
eight,"sekiz, ambar, sekiz rakamı",isim,A1,,Get me up at eight.,Beni sekizde uyandırın.
everybody,"cümle alem, dost düşman, herkes",zamir,B2,,He's nice to everybody.,O herkese karşı naziktir.
everyone,"herkes, elalem, el alem",zamir,B2,,He's mad at everyone.,O herkese kızgın.
face,"yüzleşmek, yüz yüze gelmek, yönelmek",isim,A1,,I saw Tom's face.,Tom'un yüzünü gördüm.
father,"papaz, peder, baba",isim,A1,,I'm Tom's father.,Tom'un babasıyım.
film,"film, zar vb kaplamak, filme almak",isim,A1,,How does the film end?,Film nasıl sona erer?
floor,"yeri kaplamak, kat, yer",isim,A1,,It's up one floor.,O bir kat yukarıda.
food,"besin, yiyecek, gıda",isim,A1,,I ran out of food.,Yiyeceğim bitti.
foot,"ayak, gitmek, hesaplamak",isim,A1,,I will go on foot.,Ben yaya gideceğim.
friend,"ahbap, arkadaş, dost",isim,A1,,I'm an old friend.,Ben eski bir dostum.
garden,"bahçe, çiçeklerle uğraşmak, bahçede çalışmak",isim,A1,,I am in the garden.,Bahçedeyim.
gardener,"bahçıvan, bahçeci, bağban",isim,A1,,I used to be a gardener.,Ben eskiden bir bahçıvandım.
hand,"el, yakalamak, uzatmak",isim,A1,,I held Tom's hand.,Ben Tom'un elini tuttum.
he,"eril o, o, kendileri",zamir,B1,,He can't do it.,"O, onu yapamaz."
help,"yardım etmek, yardım, muavenet etmek",isim,A1,,I can't help it.,Elimde değil.
her,"ona, dişil onu, ondan",zamir,B1,,He ran up to her.,"O, ona erişti."
him,"ona, onu",zamir,B1,,I don't see him.,Onu görmüyorum.
holiday,"bayram, tatil, tatil yapmak",isim,A1,,It's not a holiday.,Bu bir tatil değil.
home,"ev, yerleştirmek, yuvasına dönmek",isim,A1,,I can't go home.,Eve gidemem.
house,"ev, konut, kendi evine almak",isim,A1,,I'm at the house.,Ben evdeyim.
i,"ben, ingiliz alfabesinin dokuzuncu harfi, romen rakamları dizisinde 1 sayısı",zamir,B1,,I'm Tom's ex.,Ben Tom'un eski eşiyim.
it,"ona, ilişki, ebe",zamir,B1,,I can't do it.,Onu yapamam.
jacket,"ceket, kaplamak, kap",isim,A1,,I need a new jacket.,Yeni bir cekete ihtiyacım var.
job,"görev, iş, ufak tefek işler yapmak",isim,A1,,I'm on the job.,İş üzerindeyim.
kitchen,"mutfak, kuzine, nevale",isim,A1,,I'm in the kitchen.,Mutfaktayım.
knife,"bıçak, kesmek, arkadan vurmak",isim,A1,,I've got a knife.,Bir bıçağım var.
lamp,"ampul, lamba, aydınlatmak",isim,A1,,I turned on a lamp.,Bir lamba yaktım.
letter,"mektup, harf, basmak",isim,A1,,I sent you a letter.,Sana bir mektup gönderdim.
man,"insan, adam, erkek",isim,A1,,I'm a man now.,Ben artık bir erkeğim.
market,"çarşı, pazar, piyasa",isim,A1,,It's a funny market.,Çok komik bir market.
me,"ben, mi, beni",zamir,B1,,It's up to me.,Bu bana bağlı.
meal,"öğün, yemek, sofra",isim,A1,,I had a nice meal.,Güzel bir yemek yedim.
month,"ay, yılın on iki bölümünden her biri",isim,A1,,I'll go next month.,Gelecek ay gideceğim.
moon,"ay, dalıp kendi hayalleriyle başbaşa kalmak, dalgın dalgın dolaşmak",isim,A1,,It's a full moon.,Bu bir dolunay.
mouse,"fare, fare avlamak, fare tutmak",isim,A1,,I need a mouse pad.,Bir fare altlığına ihtiyacım var.
musician,"müzisyen, şarkıcı, çalgıcı",isim,A1,,Aren't you a musician?,Sen bir müzisyen değil misin?
night,"gece, gecelemek, gece geçirmek",isim,A1,,I'm a night owl.,Ben bir gece kuşuyum.
nine,"dokuz, dokuzu, 9",isim,A1,,I'm on cloud nine.,İçim içime sığmıyor.
nobody,"hiç kimse, bir hiç, hiç",zamir,B1,,I am just a nobody.,Ben bir hiçim.
paint,"boyamak, boya, portresini yapmak",isim,A1,,I have to paint it.,Onu boyamak zorundayım.
park,"park etmek, park, park yapmak",isim,A1,,I'm in the park.,Ben parktayım.
party,"taraf, parti, kutlamak",isim,A1,,It wasn't a party.,O bir parti değildi.
person,"kişi, şahıs, kimse",isim,A1,,I'm a cat person.,Kediciyimdir.
picture,"resim, resmetmek, yansıtmak",isim,A1,,Can I get a picture?,Bir fotoğraf çekebilir miyim?
place,"koymak, oturtmak, yerleştirmek",isim,A1,,I can't place him.,Kim olduğunu hatırlamıyorum.
plane,"düzlemek, düz, düzlem",isim,A1,,I'll go by plane.,Uçakla gideceğim.
play,"oynamak, çalmak, piyes",isim,A1,,I play in a band.,Ben bir grupta çalıyorum.
rain,"yağmur yağmak, yağmur, yağmur gibi yağdırmak",isim,A1,,I don't like rain.,Yağmuru sevmem
river,"nehir, akış, akarsu",isim,A1,,I swam in the river.,Ben nehirde yüzdüm.
road,"yol, uyulan ilke, bir amaca ulaşmak için başvurulması gereken yöntem",isim,A1,,I'm on the road.,Ben yoldayım.
room,"oda, oturmak, kalmak",isim,A1,,I'm in my room.,Odamdayım.
school,"mektep, okul, yetiştirmek",isim,A1,,I'll go to school.,Okula gideceğim.
she,"dişi hayvan, dişi, kadın",zamir,B1,,She's on a diet.,O diyet yapıyor.
six,"şeş, altı rakamı, altı",isim,A1,,I get up at six.,Ben altıda kalkarım.
sky,"gök, gökyüzü, yükseğe atmak",isim,A1,,Look up at the sky.,Gökyüzüne bak.
sleep,"uyumak, uyku, slept - slept",isim,A1,,I sleep on a cot.,Ben bir karyolada uyurum.
snow,"kar, yağmak, karla kaplamak",isim,A1,,I don't like snow.,Karı sevmiyorum.
somebody,"biri, birisi, şahsiyet",zamir,B2,,Somebody had to do it.,Birisinin yapması gerekiyordu.
someone,"birisi, kimse, bir kimse",zamir,B2,,Someone has to do it.,Birisi onu yapmalı.
soup,"çorba, nitrogliserin, yoğun sis",isim,A1,,Don't you want soup?,Çorba istemiyor musun?
station,"terminal, istasyon, görevlendirmek",isim,A1,,I am near the station.,Ben istasyona yakınım.
street,"cadde, sokak, mahalle",isim,A1,,I live on Park Street.,Park Street'te yaşıyorum.
student,"öğrenci, talebe, mektepli",isim,A1,,I'm a bad student.,Ben kötü bir öğrenciyim.
study,"incelemek, çalışmak, çalışma",isim,A1,,I do study a lot.,Ben çok çalışırım.
sugar,"şeker, kompliman yapmak, şeker katmak",isim,A1,,I'm out of sugar.,Şekerim bitti.
sun,"güneş, güneşte bırakmak, güneşlenmek",isim,A1,,Is the sun up yet?,Güneş doğdu mu?
tea,"çay, çeşitli bitkilerin demlenmesinden elde edilen içeceklerin tümü, çay servis edilen parti ve eğlence",isim,A1,,I don't like tea.,Çay sevmem.
teacher,"öğretmen, hoca, muallim",isim,A1,,I'm Tom's teacher.,Ben Tom’un öğretmeniyim.
them,"onlara, onları",zamir,B1,,I can't pay them.,Onları ödeyemem.
they,"bunlar, onlar, kendileri",zamir,B1,,They won't do it.,Onlar onu yapmayacaklar.
three,"iskambilde üçlü, üç rakamı, se",isim,A1,,I'm on page three.,Ben sayfa üçteyim.
time,"kez, kere, müddet",isim,A1,,I'll be on time.,Zamanında geleceğim.
town,"şehir, kasaba, şehir merkezi",isim,A1,,I'll be in town.,Şehirde olacağım.
tree,"ağaç, ağaca çıkarmak, ağaçlarla örtmek",isim,A1,,It's a dead tree.,O ölü bir ağaç.
two,"iki, iskambilde ikili, iki rakamı",isim,A1,,We won six to two.,Biz altı iki kazandık.
us,"biz, abd, bizi",zamir,B1,,It's up to us.,Bu bize kalmış.
village,"köy, köy halkı, şehir ve kasabalardan küçük ama kalıcı yerleşim birimi",isim,A1,,He lives in a village.,"O, bir köyde yaşıyor."
wash,"yıkanmak, aşındırmak, yıkamak",isim,A1,,I will wash my car.,Arabamı yıkayacağım.
watch,"seyretmek, gözlemek, izlemek",isim,A1,,I don't watch TV.,TV izlemem.
water,"sulamak, su, hafifletmek",isim,A1,,He's in hot water.,O hapı yuttu.
we,biz,zamir,B1,,We can't do it.,Onu yapamayız.
week,"hafta, ardışık yedi günlük süre",isim,A1,,I'll wait a week.,Bir hafta bekleyeceğim.
wife,"kocanın eşi, hanım, karı",isim,A1,,I'm Tom's wife.,Ben Tom'un eşiyim.
window,"pencere, camekan, vitrin",isim,A1,,I sat by the window.,Pencerenin yanında oturdum.
woman,"kadın, hanım, karı",isim,A1,,I'm not a woman.,Ben kadın değilim.
women,"kadınlar, kadın milleti",isim,A1,,I don't trust women.,Kadınlara güvenmem.
world,"alem, dünya, evren",isim,A1,,It's a big world.,Bu büyük bir dünya.
writer,"yazar, müellif, muharrir",isim,A1,,He is a good writer.,O iyi bir yazar.
year,"yıl, sene, ihtiyarlık",isim,A1,,I did it last year.,Ben onu geçen yıl yaptım.
you,"siz, sen, seni",zamir,B1,,I'm mad at you.,Sana kızgınım.
