Ana Klasör,Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,a,"belirli bir tür veya nitelikteki, en yüksek not, ingiliz alfabesinin birinci harfi",isim,B1,,I'm in a fix.,Zor durumdayım.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,abate,"geçmek, yatıştırmak, indirmek",fiil,B1,,The storm didn't abate for several hours.,Fırtına birkaç saattir yavaşlamadı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,ability,"hüner, kabiliyet, yetenek",isim,B2,,I really trust his ability.,Ben gerçekten onun yeteneğine güveniyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,able,"hünerli, kadir, gücü yeten",sıfat,B1,,I'm able to run.,Koşabilirim.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,about,"hemen hemen, aşağı yukarı, yaklaşık",edat,B1,,He's about to go.,Gitmek üzere.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,above,"üzerine, yukarısında, yukarıda",edat,B1,,It's right above you.,O tam senin üzerinde.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,abrupt,"birdenbire oluveren, ani, sert",sıfat,B1,,Don't make abrupt moves.,Ani hareket yapmayın.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,absolute,"tam, mutlak, salt",sıfat,B2,,He's an absolute fool.,O katışıksız bir aptal.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,abstain,"imtina etmek, çekinmek, kaçınmak",fiil,B2,,Athletes usually abstain from smoking.,Atletler genellikle sigaradan kaçınırlar.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,abuse,"suistimal etmek, kötüye kullanmak, suistimal",isim,B1,,Child abuse is a crime.,Çocuk istismarı suçtur.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,academic,"akademik, üniversite öğretim görevlisi, öğretim görevlisi",sıfat,B2,,My interest in politics is strictly academic.,Siyasete ilgim tamamen akademik.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,accept,"kabullenmek, kabul etmek, almak",fiil,B1,,I don't accept it.,Onu kabul etmiyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,access,"erişim, erişme, giriş",isim,B1,,He had access to the papers.,Onun belgelere erişim hakkı vardı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,accessibility,"ulaşılırlık, giriş imkanı, kolaylıkla görüşülebilir olma",isim,C1,,The investigation highlighted the critical role of accessibility.,Soruşturma ulaşılırlık kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,accessible,"ulaşılabilir, erişilebilir, kolaylıkla görüşülebilen",sıfat,C1,,The town is accessible by rail.,Şehre demir yolu ile erişilebilir.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,accommodation,"konaklama, kalacak yer, konfor",isim,C1,,We need accommodation for six.,Altı kişi için kalacak yere ihtiyacımız var.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,accomplished,"başarıyla sonlandırılmış, başarılmış, yetenekli",sıfat,C1,,We've accomplished a lot.,Çok şey başardık.
