Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
B1 Temel Sınav Fiilleri,abate,"geçmek, yatıştırmak, indirmek",fiil,B1,,The storm didn't abate for several hours.,Fırtına birkaç saattir yavaşlamadı.
B2 İleri Akademik Fiiller,abstain,"imtina etmek, çekinmek, kaçınmak",fiil,B2,,Athletes usually abstain from smoking.,Atletler genellikle sigaradan kaçınırlar.
B1 Temel Sınav Fiilleri,accept,"kabullenmek, kabul etmek, almak",fiil,B1,,I don't accept it.,Onu kabul etmiyorum.
B2 İleri Akademik Fiiller,accurate,"doğru, kesin, dakik",fiil,B2,,I hope this is accurate.,İnşallah bu doğrudur.
B1 Temel Sınav Fiilleri,accuse,"suçlamak, itham etmek, suçlamada bulunmak",fiil,B1,,Don't accuse him of that.,Onu onunla suçlama.
B2 İleri Akademik Fiiller,acquire,"elde etmek, edinmek, iktisap etmek",fiil,B2,,It's very difficult to acquire.,Kazanmak çok zordur.
B1 Temel Sınav Fiilleri,adapt,"adapte etmek, uyarlamak, uymak",fiil,B1,,You just have to adapt.,Sadece uyarlamak zorundasın.
B1 Temel Sınav Fiilleri,add,"toplamak, eklemek, ilave etmek",fiil,B1,,Add it to my bill.,Hesabıma ekle.
B2 İleri Akademik Fiiller,adequate,"yeterli, kafi, elverişli",fiil,B2,,I don't consider that adequate.,Bunun yeterli olduğunu düşünmüyorum.
B1 Temel Sınav Fiilleri,adjust,"ayarlamak, hizaya getirmek, uydurmak",fiil,B1,,We had to adjust everything.,Her şeyi ayarlamak zorunda kaldık.
B1 Temel Sınav Fiilleri,admit,"itiraf etmek, kabul etmek, almak",fiil,B1,,I admit I do that.,Bunu yaptığımı kabul ediyorum.
B1 Temel Sınav Fiilleri,advise,"öğütlemek, öğüt vermek, nasihat etmek",fiil,B1,,I advise you to wait.,Beklemenizi tavsiye ederim.
B2 İleri Akademik Fiiller,advocate,"avukat, desteklemek, müdafaa etmek",fiil,B2,,I'm playing the devil's advocate.,Ben şeytanın avukatını oynuyorum.
B1 Temel Sınav Fiilleri,affect,"etkilemek, tesir etmek, gibi davranmak",fiil,B1,,That doesn't affect me.,Bu beni etkilemiyor.
B1 Temel Sınav Fiilleri,ago,"evvel, önce, eskiden",fiil,B1,,It is too long ago.,Çok uzun zaman öncedir.
B1 Temel Sınav Fiilleri,agree,"aynı fikirde olmak, anlaşmak, razı olmak",fiil,B1,,I'm glad we agree.,Anlaştığımıza memnun oldum.
B1 Temel Sınav Fiilleri,allow,"izin vermek, müsaade etmek, kabul etmek",fiil,B1,,I can't allow it.,Buna izin veremem.
B2 İleri Akademik Fiiller,alongside,"yanına, yanı sıra, yan yana",fiil,B2,,The two houses stand alongside of each other.,İki ev yan yana duruyor.
B2 İleri Akademik Fiiller,already,"zaten, çoktan, halihazırda",fiil,B2,,I'm already on it.,Ben zaten onun üzerindeyim.
B1 Temel Sınav Fiilleri,also,"ayrıca, yine, da",fiil,B1,,I also have a son.,Benim ayrıca bir oğlum var.
B1 Temel Sınav Fiilleri,am,"olmak, birleşmek, birleştirmek",fiil,B1,,I am who I am.,Ben neysem oyum.
B1 Temel Sınav Fiilleri,amuse,"eğlendirmek, oyalamak, güldürmek",fiil,B1,,That amuses me very much.,Bu beni çok eğlendiriyor.
B2 İleri Akademik Fiiller,analyze,"incelemek, çözümlemek, analiz etmek",fiil,B2,,Let's analyze the facts.,Gerçekleri analiz edelim.
C1 Üst Düzey Paragraf Fiilleri,anticipate,"beklemek, ummak, sezmek",fiil,C1,,I didn't anticipate this.,Bunu beklemiyordum.
B1 Temel Sınav Fiilleri,apart,"ayrı, farklı özellikleri olan, ayrı bir yere",fiil,B1,,Let's take it apart.,Onu sökelim.
B1 Temel Sınav Fiilleri,appear,"belli olmak, görünmek, belirmek",fiil,B1,,Do I appear that weak?,O kadar cılız görünüyor muyum?
B2 İleri Akademik Fiiller,appeared,göründü,fiil,B2,,He hasn't appeared yet.,"O, henüz ortaya çıkmadı."
B2 İleri Akademik Fiiller,appears,"görüntüsü vermek, göründüğü gibi olmamak, görünen o ki",fiil,B2,,He often appears on TV.,"O, sık sık televizyonda görünür."
B2 İleri Akademik Fiiller,appraise,"değer biçmek, kıymet takdir etmek, fiyat saptamak",fiil,B2,,The research committee agreed to appraise the proposed methodology.,Araştırma komitesi önerilen metodolojiyi değer biçmek konusunda mutabık kaldı.
B2 İleri Akademik Fiiller,approve,"onaylamak, beğenmek, kabul etmek",fiil,B2,,I'm glad you approve.,Kabul ettiğine sevindim.
B1 Temel Sınav Fiilleri,argue,"tartışmak, çekişmek, göstergesi olmak",fiil,B1,,Don't argue with me.,Benimle tartışma.
B1 Temel Sınav Fiilleri,arise,"arose - arisen, kaynaklanmak, kalkmak",fiil,B1,,Fatal errors arise from carelessness.,Ölümcül hatalar dikkatsizlikten ortaya çıkar.
B2 İleri Akademik Fiiller,arrange,"ayarlamak, düzenlemek, hazırlanmak",fiil,B2,,I'll arrange a meeting.,Bir görüşme ayarlarım.
B1 Temel Sınav Fiilleri,ascend,"çıkmak, artmak, tahta çıkmak",fiil,B1,,The airplane ascended to four thousand feet.,Uçak dört bin feet irtifaya çıktı.
B2 İleri Akademik Fiiller,assemble,"toplaşmak, parçaları birleştirmek, birleşmek",fiil,B2,,This bookcase is easy to assemble.,Bu kitaplığın montajı kolaydır.
B1 Temel Sınav Fiilleri,assess,"değer biçmek, hesaplamak, incelemek",fiil,B1,,We'll assess the situation.,Durumu değerlendireceğiz.
B2 İleri Akademik Fiiller,associate,"ilişkilendirmek, birleştirmek, iş arkadaşı",fiil,B2,,He was my business associate.,"O, benim iş ortağımdı."
