Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
stand for,"temsil etmek, anlamına gelmek",phrasal verb,B2,"represent, symbolize, signify",What does the acronym UNESCO stand for?,UNESCO kısaltması ne anlama geliyor (neyi temsil ediyor)?
take after,benzemek (aile büyüğüne huy veya tip olarak),phrasal verb,B2,"resemble, look like",She takes after her mother in both appearance and character.,Hem görünüş hem de karakter olarak annesine benziyor.
make up,"oluşturmak, uydurmak, telafi etmek",phrasal verb,B1,"constitute, compose, invent",Women make up more than half of the university student population.,"Kadınlar, üniversite öğrenci nüfusunun yarısından fazlasını oluşturmaktadır."
use up,"tüketmek, bitirmek",phrasal verb,B2,"consume, deplete, exhaust",Human activities continue to use up natural resources at an alarming rate.,İnsan faaliyetleri doğal kaynakları endişe verici bir hızla tüketmeye devam ediyor.
blow up,"patlamak, havaya uçurmak, öfkelenmek",phrasal verb,B1,"explode, detonate, erupt",The old factory was blown up to make space for a green park.,Yeşil bir park için yer açmak amacıyla eski fabrika havaya uçuruldu.
look forward to,"dört gözle beklemek, iple çekmek",phrasal verb,B1,"anticipate, await eagerly",Researchers are looking forward to seeing the clinical trial results.,Araştırmacılar klinik deney sonuçlarını görmeyi dört gözle bekliyor.
carry out,"yürütmek, uygulamak, gerçekleştirmek",phrasal verb,B2,"conduct, implement, execute, perform",The scientists carried out extensive research on global warming.,Bilim insanları küresel ısınma üzerine kapsamlı bir araştırma yürüttü.
rely on,"güvenmek, bel bağlamak, bağımlı olmak",phrasal verb,B1,"depend on, count on, trust",Many developing countries rely heavily on agricultural exports.,Birçok gelişmekte olan ülke büyük ölçüde tarım ihracatına güvenmektedir.
turn down,"reddetmek, sesini kısmak",phrasal verb,B2,"reject, refuse, decline",The committee turned down his proposal due to budget constraints.,"Komite, bütçe kısıtlamaları nedeniyle onun teklifini reddetti."
bring about,"sebep olmak, yol açmak",phrasal verb,B2,"cause, lead to, trigger, generate",Technological innovations have brought about profound societal changes.,Teknolojik yenilikler derin toplumsal değişimlere yol açtı.
cope with,"başa çıkmak, üstesinden gelmek",phrasal verb,B2,"deal with, handle, overcome, manage",Hospitals struggled to cope with the surge of patients during the outbreak.,Hastaneler salgın sırasında hasta akınıyla başa çıkmakta zorlandı.
intensive care,yoğun bakım,kalıp ifade,B1,"ICU, critical care",The patient was immediately admitted to the intensive care unit.,Hasta derhal yoğun bakım ünitesine yatırıldı.
cultural heritage,kültürel miras,kalıp ifade,B2,"historical legacy, patrimony",Archaeologists work tirelessly to preserve ancient cultural heritage.,Arkeologlar antik kültürel mirası korumak için yorulmaksızın çalışıyor.
