Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
Günlük İsimler ve Mekanlar,anybody,"kimse, hiç kimse, herhangi biri",zamir,B2,,I can't see anybody.,Ben kimseyi göremiyorum.
Günlük İsimler ve Mekanlar,anyone,"hiç kimse, kimse, herhangi bir kimse",zamir,B1,,I can't see anyone.,Ben kimseyi göremiyorum.
Günlük İsimler ve Mekanlar,apartment,"daire, apartman katı, apartman dairesi",isim,A1,,I'm in my apartment.,Ben dairemdeyim.
Günlük İsimler ve Mekanlar,area,"alan, saha, bölge",isim,A1,,I was in the area.,Ben alandaydım.
Günlük İsimler ve Mekanlar,art,"sanat, beceri, maharet",isim,A1,,I'm an art student.,Ben bir sanat öğrencisiyim.
Günlük İsimler ve Mekanlar,baby,"yavru, bebek, şımartmak",isim,A1,,I'm not a baby.,Ben bir bebek değilim.
Günlük Eylemler ve Sıfatlar,bad,"kötü, fena, bozuk",sıfat,A1,,He is a bad boy.,O kötü bir çocuk.
Günlük İsimler ve Mekanlar,beach,"sahil, kumsal, plaj",isim,A1,,I went to the beach.,Sahile gittim.
Günlük Eylemler ve Sıfatlar,beautiful,"güzel, tatlı, ahım şahım",sıfat,A1,,It's a beautiful day.,Güzel bir gün.
Günlük İsimler ve Mekanlar,bed,"yatak, gömmek, oturtmak",isim,A1,,I'm off to bed.,Yatmaya gidiyorum.
Günlük İsimler ve Mekanlar,beer,"bira, arpasuyu, ingiltere'de yerleşim yeri",isim,A1,,I'd like a beer.,Bir bira istiyorum.
Günlük İsimler ve Mekanlar,beginning,"başlangıç, baş, ilk adım",isim,A1,,He's beginning to cry.,O ağlamaya başlıyor.
Günlük İsimler ve Mekanlar,bird,"kuş, manita, kus",isim,A1,,It's just a bird.,O sadece bir kuş.
Günlük Eylemler ve Sıfatlar,black,"siyahi, kara, siyah",sıfat,A1,,I have a black cat.,Siyah bir kedim var.
Günlük İsimler ve Mekanlar,body,"ceset, gövde, vücut",isim,A1,,He has a strong body.,O güçlü bir gövdeye sahip.
Günlük İsimler ve Mekanlar,book,"ayırtmak, kitap, deftere işlemek",isim,A1,,I'd like a book.,Bir kitap istiyorum.
Günlük İsimler ve Mekanlar,bus,"otobüs, otobüsle taşımak, otobüsle gitmek",isim,A1,,I'll go by bus.,Otobüsle gideceğim.
Günlük Eylemler ve Sıfatlar,buy,"ısmarlamak, satın almak, almak",fiil,A1,,I don't buy it.,Buna inanmıyorum.
Günlük İsimler ve Mekanlar,car,"otomobil, araba, kabin",isim,A1,,I'm in my car.,Arabamın içindeyim.
Günlük İsimler ve Mekanlar,cat,"kedi, istifra etmek, kusmak",isim,A1,,It's just a cat.,Bu sadece bir kedi.
Günlük Eylemler ve Sıfatlar,cheap,"ucuz, ucuzlatmak, değersiz",sıfat,A1,,It's not so cheap.,O kadar ucuz değil.
Günlük İsimler ve Mekanlar,chef,"aşçı, aşçıbaşı, şef",isim,A1,,Aren't you a chef?,Sen bir aşçıbaşı değil misin?
