Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
administration,"yönetim, idare, yerine getirme",isim,C1,,Give the administration a chance.,Yönetime bir şans ver.
an,"bir, hollanda antilleri, anabatik rüzgar",isim,B1,,I'm an ex-con.,Ben eski bir mahkumum.
astrophysics,"gökfiziği, astrofizik, gök fiziği",isim,C1,,The investigation highlighted the critical role of astrophysics.,Soruşturma gökfiziği kavramının kritik rolünü vurguladı.
atmosphere,"atmosfer, havayuvarı, gazyuvarı",isim,C1,,The moon has no atmosphere.,Ay'ın atmosferi yoktur.
author,"yazar, yazmak, yazarı olmak",isim,B1,,I want to be an author.,Ben bir yazar olmak istiyorum.
authorities,"yetkililer, makam ve merci, resmi merciler",isim,C1,,I'm going to report you to the authorities.,Seni yetkili makamlara ihbar edeceğim.
authority,"yetki, otorite, bilirkişi",isim,B2,,I don't have the authority.,Benim yetkim yok.
authors,yazarlar,isim,B2,,He is one of Spain's most famous authors.,"O, İspanya'nın en ünlü yazarlarından biridir."
awareness,"farkındalık, bilinçlenme, farkında olma",isim,B2,knowledge,Developing political awareness takes time.,Siyasi farkındalık edinmek zaman alır.
banks,"bankalar, alabama eyaletinde şehir",isim,B1,,I don't trust banks.,Bankalara güvenmiyorum.
billion,"milyar, bilyon",isim,B2,,A billion adults are illiterate.,Bir milyar yetişkin okuma yazma bilmemektedir.
biologists,"dirimbilimci, yaşambilimci, biyolog",isim,C1,,Biologists released some turtles into the sea.,Biyologlar bazı kaplumbağaları denize bıraktılar.
blood,"kan, akrabalık, asalet",isim,B1,,I didn't donate blood.,Kan bağışında bulunmadım.
brain,"beyin, kafasına ağır bir darbe indirmek, kafa yarmak",isim,B1,,He has a good brain.,O akıllıdır.
cancer,"kanser, yengeç burcu, kötü şey",isim,B1,,I don't have cancer.,Kanserim yok.
capillaries,kılcal damarlar,isim,C1,,The investigation highlighted the critical role of capillaries.,Soruşturma kılcal damarlar kavramının kritik rolünü vurguladı.
capillary,"ince boru, kılcal damar, kılla ilgili",isim,B2,,The investigation highlighted the critical role of capillary.,Soruşturma ince boru kavramının kritik rolünü vurguladı.
communities,"topluluklar, toplumlar",isim,C1,,Asian communities tend to be quite closed.,Asya toplulukları oldukça kapalı olma eğilimindedir.
community,"halk, camia, topluluk",isim,B2,,He's a community leader.,O bir toplum lideri.
computing,"hesaplama, hesaplayan, programlama",isim,B2,,Boys are more interested in engineering and computing than girls.,Mühendislik ve bilgisayar alanında erkekler kızlara göre daha ilgili.
contamination,"pislik, kirletilme, bulaşım",isim,C1,,The investigation highlighted the critical role of contamination.,Soruşturma pislik kavramının kritik rolünü vurguladı.
court,"mahkeme, aranmak, yaltaklanmak",isim,B1,,I'll see you in court.,Mahkemede görüşürüz.
courtroom,mahkeme salonu,isim,B2,,Justice is found in a courtroom.,Adalet mahkeme salonunda bulunur.
courtrooms,mahkeme salonu,isim,C1,,The investigation highlighted the critical role of courtrooms.,Soruşturma mahkeme salonu kavramının kritik rolünü vurguladı.
cultures,"yeni kültürlerle tanışmak, eski kültürler, kültür başkenti",isim,B2,,There are many cultures on Earth.,Dünyada birçok kültür vardır.
deforestation,"orman açma, ormanları tahrip etme, ormansızlaşma",isim,C1,,Their habitat is threatened by deforestation.,Onların yetişme ortamı ormansızlaşma tarafından tehdit ediliyor.
diagnosis,"teşhis, tanı, belirtme",isim,B2,,It's a plausible diagnosis.,Bu makul bir tanı.
diet,"diyet, perhiz, perhiz vermek",isim,B1,,I'm on a diet.,Ben diyetteyim.
dietician,"diyetisyen, beslenme uzmanı, beslenme eğitimcisi",isim,B2,,The investigation highlighted the critical role of dietician.,Soruşturma diyetisyen kavramının kritik rolünü vurguladı.
dietitian,"diyetisyen, diyet uzmanı, beslenme uzmanı",isim,B2,,The investigation highlighted the critical role of dietitian.,Soruşturma diyetisyen kavramının kritik rolünü vurguladı.
dietitians,"diyetisyen, diyet uzmanı, beslenme uzmanı",isim,C1,,The investigation highlighted the critical role of dietitians.,Soruşturma diyetisyen kavramının kritik rolünü vurguladı.
discover,"keşfetmek, çıkarmak, anlamak",isim,B2,,How did you discover that?,Sen onu nasıl keşfettin?
discoveries,"coğrafyada keşifler, bilimde keşifler, altın aramaları",isim,C1,,She made a series of medical discoveries.,O bir dizi tıbbi keşifler yaptı
discovering,buluculuk,isim,C1,,Learning another language means discovering a new world.,"Başka bir dil öğrenmek, yeni bir dünya keşfetmek demektir."
discovery,"buluş, bulgu, keşif",isim,B2,,I've made a discovery.,Bir keşif yaptım.
disease,"hastalık, sayrılık, maraz",isim,B2,,It's a bad disease.,Bu kötü bir hastalık.
diseases,hastalıklar,isim,B2,,Many diseases result from poverty.,Birçok hastalık yoksulluktan kaynaklanır.
doctors,"doktorların ihmalinden öldüğü iddia edilmek, doktorlara yönelik düşüncesini/tavrını vs değiştirmek, doktorların dağılımı",isim,B2,,I don't like doctors.,Doktorları sevmem.
drug,"ilaç, uyuşturmak, ilaç vermek",isim,B1,medication,It's like a drug.,O bir ilaç gibi.
emissions,emisyonlar,isim,B2,,It is said that global warming is directly related to carbon dioxide emissions.,Küresel ısınmanın karbondioksit emisyonu ile doğrudan ilgili olduğu söyleniyor.
energies,"avrupa yenilenebilir enerji birliği, özgül sinir enerjisi doktrini, özgül sinir enerjileri",isim,B2,,I concentrated all my energies on the problem.,Tüm enerjimi sorun üzerinde yoğunlaştırdım.
energy,"enerji, kuvvet, derman",isim,B1,,He is full of energy.,O kişi çok enerjik.
