Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
ability,"hüner, kabiliyet, yetenek",isim,B2,,I really trust his ability.,Ben gerçekten onun yeteneğine güveniyorum.
according,"uyma, binaenaleyh, uyarak",isim,B2,,It all went according to plan.,Onun hepsi plana göre gitti.
account,"hesap, açıklamasını yapmak, avlamak",isim,B2,,Put it on my account.,Bunu benim hesabıma yatır.
activists,"siyasal eylemciler, hayvan hakları savunucuları",isim,B2,,The activists deny the accusations.,Eylemciler suçlamaları reddediyor.
activity,"etkinlik, faaliyet, meşguliyet",isim,B2,,This is a fun activity.,"Bu, eğlenceli bir aktivite."
addition,"ek, ilave, toplama",isim,B2,,Do you need anything in addition?,Buna ek olarak bir şeye ihtiyacın var mı?
adult's,"yetişkin, yetişkin gözetiminde bulunmak, yetişkin gözetiminde olmak",isim,B2,,The investigation highlighted the critical role of adult's.,Soruşturma yetişkin kavramının kritik rolünü vurguladı.
adulthood,"erişkinlik dönemi, erginlik, yetişkinlik",isim,B2,,The investigation highlighted the critical role of adulthood.,Soruşturma erişkinlik dönemi kavramının kritik rolünü vurguladı.
advance,"terfi ettirmek, avans vermek, geliştirmek",isim,B2,,We knew that in advance.,Biz önceden biliyorduk.
advances,"avanslar, arkadaşlık teklifleri, göze girmek için yapılan öneriler",isim,B2,,Recent advances in medicine are remarkable.,Tıptaki son gelişmeler dikkat çekiyor.
aircraft,"uçak, uçaklar, hava taşıtı",isim,B2,,One of the aircraft's engines cut out.,Uçağın motorlarından biri durdu.
airline,"hava yolu, havayolu, düz hat",isim,B2,,Which airline do you work for?,Hangi hava yolu için çalışıyorsun?
airplane,"uçak, tayyare, teyyare",isim,B2,,Can you fly an airplane?,Bir uçağı uçurabilir misin?
airplanes,uçaklar,isim,B2,,Can you sleep on airplanes?,Uçaklarda uyuyabilir misin?
airport,"havalimanı, havaalanı, hava limanı",isim,B2,,I'm at the airport.,Havaalanındayım.
alcohol,"alkol, ispirto, içki",isim,B2,,I can't drink alcohol.,Alkol içemem.
american,"amerikan, amerikalı, amerika",isim,B2,,He must be an American.,O bir Amerikalı olmalı.
amusement,"eğlendiren oyun veya uğraş, oyalanma, eğlenme",isim,B2,,Reading is his chief amusement.,Okumak onun baş eğlencesidir.
analysis,"çözümleme, analiz, tahlil",isim,B2,,The analysis is very clear.,Analiz çok açık.
analyst,"çözümlemeci, analist, araştırmacı",isim,B2,"researcher, scientist, examiner",You have an excellent analyst.,Mükemmel bir analistin var.
anomalies,"anormallikler, aykırılıklar, kural dışı durumlar",isim,B2,,The investigation highlighted the critical role of anomalies.,Soruşturma anormallikler kavramının kritik rolünü vurguladı.
anxiety,"endişe, kaygı, tasa",isim,B2,,She could not cope with anxiety.,Anksiyete ile baş edemedi.
appliance,"cihaz, gereç, aygıt",isim,B2,,It's an energy-efficient appliance.,Enerji verimi yüksek bir cihaz.
applying,uygulanıyor,isim,B2,,I'm applying for a job.,Bir iş başvurusu yapıyorum.
approach,"yanaşmak, yaklaşmak, yaklaşım",isim,B2,,I like Tom's approach.,Tom'un yaklaşımını seviyorum.
architect,"mimar, yapmak, planlamak",isim,B2,,I want to be an architect.,Ben mimar olmak istiyorum.
argument,"argüman, tartışma, sav",isim,B2,,It was a fair argument.,Adil bir argümandı.
arteries,arterler,isim,B2,,"Fortunately, the shark bite didn't hit any major arteries.","Neyse ki, köpekbalığı ısırığı herhangi bir büyük artere isabet etmedi."
artists,sanatçılar,isim,B2,,Many famous artists live in Boston.,Boston'da birçok ünlü sanatçı yaşıyor.
assessing,"değerleme, değerlendirme",isim,B2,,We're now assessing the situation.,Biz şimdi durumu değerlendiriyoruz.
athletes,"atletler, sporcular",isim,B2,,Some athletes sweat more than others.,Bazı sporcular diğerlerinden daha fazla terler.
attempts,"bir çok girişim, çok sayıda girişim, çevirme denemeleri",isim,B2,,All of our attempts failed.,Bütün girişimlerimiz başarısız oldu.
attention,"özen, ilgilenme, ilgi",isim,B2,,I didn't pay attention.,Önemsemedim.
attitude,"tutum, tavır, duruş",isim,B2,,I like Tom's attitude.,Tom'un davranışını beğenirim.
attitudes,"tutumlar, bir eşya, mal veya fikre karşı uzun süreli duygu, düşünce ve tepki",isim,B2,,Social attitudes oftentimes take generations to change.,Toplumsal tutumlar genellikle nesilleri değişime götürür.
audience,"izleyiciler veya dinleyiciler topluluğu, seyirci, izleyici",isim,B2,,I was in the audience.,Ben seyircinin içindeydim.
audiences,seyirciler,isim,B2,,The investigation highlighted the critical role of audiences.,Soruşturma seyirciler kavramının kritik rolünü vurguladı.
average,"ortalama, ortalamasını bulmak, belirli bir miktar tüketmek",isim,B2,,I'm just an average guy.,Ben sadece sıradan bir erkeğim.
balance,"dengede tutmak, dengelemek, bakiye",isim,B2,,I almost lost my balance.,Neredeyse dengemi kaybediyordum.
barrage,"yoğun yaylım ateşi, yaylım ateşi, baraj",isim,B2,,The investigation highlighted the critical role of barrage.,Soruşturma yoğun yaylım ateşi kavramının kritik rolünü vurguladı.
barrier,"set, bariyer, aperitif",isim,B2,,High tariffs have become a barrier to international trade.,Yüksek tarifeler uluslararası ticaret için bir engel haline gelmiştir.
barriers,"engeller, radyasyon emen bariyerler",isim,B2,,We must work hard to break down social barriers.,Bizim sosyal engelleri yıkmak için çok çalışmamız gerekmektedir.
becomes,"boynuz kulağı geçer, ava giden avlanır, boynuz kulağı geçermiş",isim,B2,,It becomes a vicious circle.,Bir kısır döngü haline gelir.
behavior,"davranış, hareket tarzı, tutum",isim,B2,,Tom's behavior was bad.,Tom'un davranışı kötüydü.
behaviors,davranışlar,isim,B2,,The investigation highlighted the critical role of behaviors.,Soruşturma davranışlar kavramının kritik rolünü vurguladı.
belonging,"eşya, aidiyet, ait olma",isim,B2,,He lost all his belongings.,"O, bütün eşyalarını kaybetti."
benefit,"yararlanmak, menfaat, çıkar",isim,B2,,This is for your benefit.,Bu senin menfaatin için.
boundary,"sınır, had, hudut",isim,B2,,There is a fence marking the boundary between our yard and the neighbor's.,Bizim ve komşunun avlusu arasındaki sınırı işaretlemek için bir çit vardır.
bridges,köprüler,isim,B2,,I'm burning my bridges.,Köprüleri yakıyorum.
bringing,"getirmek, getiri, getiren",isim,B2,,You're bringing me down.,Sen beni makamımdan indiriyorsun.
building,"inşaat, bina, yapma",isim,B2,,The building's on fire.,Bina yanıyor.
buildings,"site, inşaat, yapılar",isim,B2,,There are many tall buildings.,Birçok yüksek bina var.
cameras,kameralar,isim,B2,,I have a lot of cameras.,Çok fazla kameram var.
capacity,"kapasite, iktidar, yeterlik",isim,B2,,The bus was filled to capacity.,Otobüs tam kapasite doluydu.
carrying,"taşıma, nakliye, taşımacılık",isim,B2,,I saw men carrying guns.,Silahlı adamlar gördüm.
centuries,yüzyıllar,isim,B2,,This cathedral was built more than four centuries ago.,"Bu katedral, dört yüzyıldan fazla süre önce inşa edilmiş."
century,"asır, yüzyıl, 100'ün üzerindeki skor/sayı/100'lük seri",isim,B2,,I'm over a half century old.,Yarım asrı geçtim.
chemist,"kimyacı, eczacı, kimyager",isim,B2,,The investigation highlighted the critical role of chemist.,Soruşturma kimyacı kavramının kritik rolünü vurguladı.
chemists,kimyagerler,isim,B2,,The investigation highlighted the critical role of chemists.,Soruşturma kimyagerler kavramının kritik rolünü vurguladı.
