Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
a,"belirli bir tür veya nitelikteki, en yüksek not, ingiliz alfabesinin birinci harfi",isim,B1,,I'm in a fix.,Zor durumdayım.
abuse,"suistimal etmek, kötüye kullanmak, suistimal",isim,B1,,Child abuse is a crime.,Çocuk istismarı suçtur.
access,"erişim, erişme, giriş",isim,B1,,He had access to the papers.,Onun belgelere erişim hakkı vardı.
act,"davranmak, hareket etmek, eylem",isim,B1,,It's all an act.,Hepsi numara.
action,"çalışma, davranış, aksiyon",isim,B1,,It's time for action.,Eylem zamanı.
adding,"ekleme, cemi, izafe",isim,B1,,I'm adding the last touch.,Son rötuşları yapıyorum.
admin,"yönetici, idare, yönetim",isim,B1,,The investigation highlighted the critical role of admin.,Soruşturma yönetici kavramının kritik rolünü vurguladı.
advice,"nasihat, tavsiye, öğüt",isim,B1,,I took Tom's advice.,Tom'un tavsiyesini aldım.
africa,afrika,isim,B1,,He was born in Africa.,O Afrika'da doğdu.
age,"yaş, çağ, devir",isim,B1,,He is just my age.,O tam benim yaşımda.
ages,"uzun süre, uzun zaman, asırlar",isim,B1,,I did that ages ago.,Onu uzun süre önce yaptım.
aid,"yardım etmek, yardım, yardımcı olmak",isim,B1,,She came to my aid.,Benim yardımıma geldi.
aim,"amaçlamak, hedeflemek, nişan almak",isim,B1,,I aim to be a writer.,Ben bir yazar olmayı hedefliyorum.
air,"havalandırmak, yayına girmek, hava",isim,B1,,We're on the air.,Canlı yayındayız.
airbus,"uçak, kısa mesafelerde çok sayıda yolcu taşımak üzere tasarlanmış uçak, jet yolcu uçağı",isim,B1,,The investigation highlighted the critical role of airbus.,Soruşturma uçak kavramının kritik rolünü vurguladı.
alter,"değiştirmek, değişiklik yapmak, hadım etmek",isim,B1,,We must alter our plan.,Planımızı değiştirmeliyiz.
amb,"amb, büyükelçi, ambulans",isim,B1,,The investigation highlighted the critical role of amb.,Soruşturma amb kavramının kritik rolünü vurguladı.
amount,"miktar, tutar, meblağ",isim,B1,,It's a large amount.,O büyük bir miktar.
answer,"yanıt vermek, cevaplamak, cevap vermek",isim,B1,,I can't answer that.,Ona cevap veremem.
apps,"apps denetimi, istemci uygulamaları",isim,B1,,I have dozens of apps on my phone that I seldom use.,"Telefonumda, nadiren kullandığım düzinelerce uygulamam var."
are,"ar, 100 metrekare'ye eşit alan ölçüsü birimi, yüz metrekare, ar",isim,B1,,Are you at Tom's?,Tom'larda mısın?
areas,"alanları doldurmak, koruma alanları, sağlık hizmetleri alanı",isim,B1,,Most people live in urban areas.,Çoğu kişi kentsel alanlarda yaşar.
aries,"koç, koç burcu, balık ve boğa takımyıldızları arasında yer alan koç takımyıldızı",isim,B1,,The investigation highlighted the critical role of aries.,Soruşturma koç kavramının kritik rolünü vurguladı.
arms,"koyun, kucak, silahlar",isim,B1,,Let go of my arms.,Kollarımı bırak.
artist,"artist, sanatkar, sanatçı",isim,B1,,He's a con artist.,O bir düzenbaz.
aside,"bertaraf, ayrı, bir kenara",isim,B1,,Lay this aside for me.,Bunu benim için bir yana koy.
aspect,"hal, taraf, yön",isim,B1,,I love every aspect of the game.,Oyunun her yönünü seviyorum.
assist,"yardım etmek, asistanlık yapmak, asiste etmek",isim,B1,,I'm here to assist you.,Size yardımcı olmak için buradayım.
ax,"balta, kovmak, azaltmak",isim,B1,,He has an ax to grind.,Onun şikayeti var.
axe,"balta, kısmak, azaltmak",isim,B1,,She always has some axe to grind.,Onun her zaman bir şikâyeti vardır.
barter,"takas, takas yapmak, değiş tokuş etmek",isim,B1,,The investigation highlighted the critical role of barter.,Soruşturma takas kavramının kritik rolünü vurguladı.
base,"dayandırmak, üs, baz",isim,B1,,Our company's base is in Tokyo.,Şirketimizin merkezi Tokyo'dadır.
battle,"savaş, muharebe, dövüşmek",isim,B1,,We'll win the battle.,Biz savaşı kazanacağız.
bears,"bu söylediğimi doğruluyor, tekrar söylemeye değer, tekrar söylemekte fayda var",isim,B1,,I am afraid of bears.,Ayılardan korkarım.
being,"yapı, vücut, tanrı",isim,B1,,I'm a human being.,Ben bir insanım.
better,"daha iyi, iyileştirmek, ıslah etmek",isim,B1,,I'm a lot better.,Ben çok daha iyiyim.
bias,"önyargı, aklını çelmek, bir tarafa etki etmek",isim,B1,,Cut the cloth on the bias.,Kumaşı diyagonal kesin.
bigger,"daha büyük, büyük",isim,B1,,I need a bigger box.,Daha büyük bir kutuya ihtiyacım var.
bike,"bisiklete binmek, bisiklet, bisiklet sürmek",isim,B1,,I was on a bike.,Bir bisikletteydim.
boats,"köprüleri atmak, kayıklar ve kayıkçılık, bir ulusun refahı herkese yarar sağlar",isim,B1,,I don't care about boats.,Ben teknelerle ilgilenmiyorum.
books,"kitaplar, kayıtlar",isim,B1,,I don't read books.,Ben kitap okumuyorum.
border,"hudut, kenarlık, kenar",isim,B1,,We live near the border.,Biz sınıra yakın yaşıyoruz.
bore,"bunaltmak, delmek, sıkmak",isim,B1,,Don't be a bore.,Sıkma insanı.
boring,"bıktırıcı, bıktıran, sıkıcı",isim,B1,,It's kind of boring.,Bu biraz sıkıcı.
bounce,"sektirmek, zıplamak, sekmek",isim,B1,,A rubber ball bounces because it is elastic.,Elastik olduğu için lastik bir top seker.
bowl,"tas, çanak, kase",isim,B1,,I had a bowl of soup.,Bir kase çorba içtim.
branch,"dallanmak, şube, dal",isim,B1,,I cut a branch from the tree.,Ben ağaçtan bir dal kestim.
breast,"meme, göğüs, göğüs germek",isim,B1,,Breast cancer is a disease.,Meme kanseri bir hastalıktır.
bridge,"köprü, köprü kurmak, köprü yapmak",isim,B1,,How long is the bridge?,Köprü ne kadar uzunluktadır?
buddy,"ahbap, kanka, kafadar",isim,B1,,"I'll help you, buddy.","Sana yardım edeceğim, dostum."
cabin,"kabin, tahdit etmek, küçük bir yere kapamak",isim,B1,,We rented a cabin by a lake.,Gölün yanında bir kabin kiraladık.
cake,"kek, pasta, katılaşmak",isim,B1,,He made me a cake.,Bana bir kek yaptı
cal,"kilokalori, kalsiyum hidroksit, cal",isim,B1,,The investigation highlighted the critical role of cal.,Soruşturma kilokalori kavramının kritik rolünü vurguladı.
can,"olabilmek, kovmak, konservelemek",isim,B1,,I can't do it.,Onu yapamam.
cap,"başlık, kapak, kep",isim,B1,,I have lost my cap.,Benim kepimi kaybettim.
carbs,karbonhidrat,isim,B1,,The investigation highlighted the critical role of carbs.,Soruşturma karbonhidrat kavramının kritik rolünü vurguladı.
care,"önem vermek, aldırmak, umursamak",isim,B1,,Ask me if I care.,Çok da umurumda!
cars,arabalar,isim,B1,,I am fond of cars.,Ben arabaları çok severim.
case,"dava, kasa, kılıf",isim,B1,,That isn't the case.,Olay bu değil.
cases,"davalar, vakalar, vukuat",isim,B1,,What's in those cases?,Şu kutularda ne var?
cat's,"kedi, tehlikeli işi üzerine almak, sırıtmak",isim,B1,,The investigation highlighted the critical role of cat's.,Soruşturma kedi kavramının kritik rolünü vurguladı.
cause,"sebebiyet vermek, sebep olmak, yol açmak",isim,B1,,I don't cause trouble.,Ben soruna neden olmam.
cavity,"çukur, delik, kavite",isim,B1,,I think I have a cavity.,Sanırım dişimde bir delik var.
center,"ortalamak, merkez, ortaya yerleştirmek",isim,B1,,He works in a call center.,O bir çağrı merkezinde çalışır.
ch,"isviçre:ch, ch-4 yağ sınıfı, reform kilisesi",isim,B1,,The investigation highlighted the critical role of ch.,Soruşturma isviçre:ch kavramının kritik rolünü vurguladı.
chance,"olanak, ihtimal, şans",isim,B1,,I'll take a chance.,Şansımı deneyeceğim.
change,"değişmek, değiştirmek, değişiklik",isim,B1,,I'll try to change.,Ben değiştirmeye çalışacağım.
charge,"yüklemek, suçlamak, şarj etmek",isim,B1,,I'm in charge now.,Artık ben sorumluyum.
charm,"albeni, cazibe, çekicilik",isim,B1,,It worked like a charm.,Çok işe yaradı.
cheer,"neşelendirmek, neşe, şenlendirmek",isim,B1,,It'll cheer you up.,Seni neşelendirecek.
chefs,"herkes patron, herkes patron kesilmiş, bir işe elli kişi karışırsa …",isim,B1,,The investigation highlighted the critical role of chefs.,Soruşturma herkes patron kavramının kritik rolünü vurguladı.
chip,"havalandırmak, takılmak, kırılmak",isim,B1,,How did you chip your tooth?,Dişinizi nasıl çektiniz?
circle,"halka, daire, çember",isim,B1,,They sat in a circle.,Onlar bir daire içinde oturdu.
cities,şehirler,isim,B1,,We live in different cities.,Farklı şehirlerde yaşıyoruz.
cl,"uluslararası sınıflama, şili:cl, cl yükü",isim,B1,,You can't cling to the past.,Geçmişe sadık kalamazsın.
class,"ders, sınıf, saymak",isim,B1,,He's in my class.,"O, benim sınıfımda."
client,"müvekkil, müşteri, hasta",isim,B1,,I'm with a client.,Bir müşteri ile birlikteyim.
clouds,bulutlar,isim,B1,,The clouds hid the sun.,Bulutlar güneşi sakladı.
clue,"ipucu, aydınlatmak, bilgi vermek",isim,B1,,I don't have a clue.,Bir fikrim yok.
clues,ipuçları,isim,B1,,Did you find any clues?,Herhangi bir ipucu buldun mu?
co,"birlikte, ko, vietnam’da yaşayan etnik bir grup",isim,B1,,Both the pilot and the co-pilot are dead.,Hem pilot ve hem de co-pilot öldüler.
coast,"sahil, kıyı, deniz kıyısı",isim,B1,,I'm from the East Coast.,Ben doğu yakasındanım.
color,"boya, renk, renk katmak",isim,B1,,The color won't fade.,Rengi solmaz.
comm,açıklama,isim,B1,,The investigation highlighted the critical role of comm.,Soruşturma açıklama kavramının kritik rolünü vurguladı.
conf,conf,isim,B1,,The investigation highlighted the critical role of conf.,Soruşturma conf kavramının kritik rolünü vurguladı.
copper,"bakır, bakır kaplamak, bakırlamak",isim,B1,,Copper and silver are both metals.,Bakır ve gümüş her ikisi de metaldir.
core,"göbek, öz, çekirdek",isim,B1,,I don't eat the apple core.,Ben elma çekirdeği yemem.
corner,"köşe, yakalamak, viraj almak",isim,B1,,It's at the corner.,O köşededir.
cover,"örtmek, kaplamak, kılıf",isim,B1,,I'll cover for you.,Ben seni koruyacağım.
crew,"tayfa, mürettebat, kitle",isim,B1,,I have a good crew.,İyi bir ekibim var.
crisis,"bunalım, buhran, kriz",isim,B1,,I'm having a crisis.,Krizdeyim.
cycle,"devir, çevrim, pedal çevirmek",isim,B1,,"Wow, what a vicious cycle.","Vay, ne kısır bir döngü."
dam,"baraj, büğemek, zapt etmek",isim,B1,,I live near a dam.,Ben bir baraj yakınında yaşıyorum.
damage,"zarar vermek, zarar, hasar",isim,B1,,How bad is the damage?,Hasar ne kadar kötü?
dams,"barajlar, yavaşlatıcılar",isim,B1,,The investigation highlighted the critical role of dams.,Soruşturma barajlar kavramının kritik rolünü vurguladı.
danger,"tehlike, risk, varta",isim,B1,,"I'm in danger, too.",Ben de tehlikedeyim.
dat,-e hali,isim,B1,,I don't go on blind dates.,Tanışma randevularına gitmem.
data,"veri, bilgi, girdi",isim,B1,information,I've analyzed the data.,Veriyi analiz ettik.
dating,"yaşlandırma, buluşma, tanışma",isim,B1,,I'm not dating Tom.,Ben Tom'la flört etmiyorum.
days,"eyyam, yaşam, günler",isim,B1,,It went on for days.,O günlerce devam etti.
death,"ölüm, vefat, katil",isim,B1,,I'm on death row.,Ben ölüm hücresindeyim.
decade,"10 yıl, on yıl, onlu grup",isim,B1,,I lost my son about a decade ago.,Yaklaşık on yıl önce oğlumu kaybettim.
defect,"bozukluk, arıza, kusur",isim,B1,,A quick temper is the only defect in her character.,Karakterindeki tek kusur hızlı bir öfke.
depth,"derinlik, dip, bilinçaltı",isim,B1,,We measured the depth of the river.,Nehrin derinliğini ölçtük.
design,"dizayn etmek, tasarlamak, tasarım",isim,B1,,It's a design flaw.,Bu bir tasarım kusuru.
desire,"istek duymak, arzulamak, arzu etmek",isim,B1,,I have no desire to try.,Denemek için hiç arzum yok.
device,"cihaz, alet, nişan",isim,B1,,How is this device used?,Bu cihaz nasıl kullanılır?
di,"iki, çift, di",isim,B1,,Everyone dies sooner or later.,Herkes er ya da geç ölür.
dive,"dalmak, dove/dived - dived, dived/dove - dived",isim,B1,,I know how to dive.,Nasıl dalacağımı biliyorum.
diver,"dalgıç, dalış yapan kimse, dalgıçkuşu",isim,B1,,The divers didn't make it back.,Dalgıçlar geri dönmedi.
diving,"dalış, pike, dalma",isim,B1,,He is good at diving.,"O, dalmada iyidir."
doc,"doktor, belge, bel",isim,B1,,"""Doc"" is an abbreviation of ""doctor"".","""Doktor"" kelimesinin kısaltması ""Dr."" dir."
doing,"faaliyet, yapma, meydana getirme",isim,B1,,I'm doing it now.,Onu şimdi yapıyorum.
don't,yapılmaması gereken şey,isim,B1,,The investigation highlighted the critical role of don't.,Soruşturma yapılmaması gereken şey kavramının kritik rolünü vurguladı.
duty,"görev, vazife, saygı",isim,B1,,I'm not on duty.,Ben görevde değilim.
each,"her biri, herbir, beher",isim,B1,,I like each of them.,Onların ikisini de severim.
ease,"rahatlatmak, kolaylaştırmak, rahatlamak",isim,B1,,I felt ill at ease.,Ben huzursuz oldum.
effect,"tesir, etki, etkisi olmak",isim,B1,,How did this effect you?,Bu seni nasıl etkiledi?
effort,"efor, çaba, gayret",isim,B1,,It's a group effort.,Bu bir grup çabasıdır.
either,"iki, her, her iki",isim,B1,,I don't know either.,Ben de bilmiyorum.
engine,"motor, makine takmak, itfaiye arabası",isim,B1,,I got the engine going.,Motoru çalıştırdım.
enigma,"bilmece, gizem, anlaşılmaz kimse",isim,B1,,The investigation highlighted the critical role of enigma.,Soruşturma bilmece kavramının kritik rolünü vurguladı.
enters,"depresyona girmiş, karamsarlığa düşmüş, çaresizliğe/umutsuzluğa düşmüş",isim,B1,,Make sure that nobody enters.,Kimsenin girmediğinden emin ol.
es,"es, aynştayniyum'un kimyasal simgesi, aynştanyumun simgesi",isim,B1,,The investigation highlighted the critical role of es.,Soruşturma es kavramının kritik rolünü vurguladı.
event,"olay, aksiyon, yarışma",isim,B1,,The event is on Monday.,Olay pazartesi günü.
evil,"fenalık, kötülük, kötü",isim,B1,,He is an evil man.,O kötü bir adam.
excess,"aşırılık, fazlalık, aşırıya kaçma",isim,B1,,You shouldn't eat to excess.,Çok fazla yememelisin.
exist,"var olmak, geçinmek, bulunmak",isim,B1,,Do you think aliens exist?,Sence uzaylılar var mı?
faa,federal havacılık idaresi,isim,B1,,The investigation highlighted the critical role of faa.,Soruşturma federal havacılık idaresi kavramının kritik rolünü vurguladı.
fact,"vaka, gerçek durum, vak’a",isim,B1,,Here's a fun fact.,İşte eğlenceli bir vaka.
factor,"etken, faktör, etmen",isim,B1,,Cost is also a factor.,Maliyet de bir faktördür.
fauna,"bölge hayvanlarının tümü, hayvanat, fauna",isim,B1,,The investigation highlighted the critical role of fauna.,Soruşturma bölge hayvanlarının tümü kavramının kritik rolünü vurguladı.
fear,"korkmak, korku, kuşkulanmak",isim,B1,,I don't fear them.,Onlardan korkmuyorum.
feels,"ağlarsa anam ağlar, gerisi yalan ağlar, duygular, duygularını/hislerini kabartmak",isim,B1,,I know how it feels.,Nasıldır bilirim.
felt,"keçe, keçe ile kaplamak, keçe yapmak",isim,B1,,I felt a bit tired.,Biraz yorgun hissettim.
fever,"ateş, ateşlenmek, telaş",isim,B1,,I've got a fever.,Ateşim var.
field,"tarla, alan, saha",isim,B1,,I ran across the field.,Sahayı koşarak geçtim.
figure,"rakam, şekil, yer almak",isim,B1,,I'll figure it out.,Ben bunu halledeceğim.
flavor,"tat duyusu, tat, lezzet",isim,B1,,What flavor do you want?,Ne çeşit istiyorsun?
flow,"akmak, debi, akım",isim,B1,,We have a cash flow problem.,Nakit akışı sorunumuz var.
flu,"grip, enflüanza, influenza",isim,B1,,He's got the flu.,O grip oldu.
focus,"odaklanmak, odaklamak, odak noktası",isim,B1,,I need you to focus.,Odaklanmanı istiyorum.
force,"zorlamak, baskı yapmak, mecbur etmek",isim,B1,,I'm in the air force.,Hava kuvvetlerindeyim.
forces,"el ele vermek, kuvvetini toplamak, güç birliği yapmak",isim,B1,,Our forces occupied the city.,Birliklerimiz şehri ele geçirdi.
forel,rf -sismik siddet skalası,isim,B1,,The investigation highlighted the critical role of forel.,Soruşturma rf -sismik siddet skalası kavramının kritik rolünü vurguladı.
former,"önceki, evvelki, biçimlendirici",isim,B1,retired,She was a former first lady.,"O, eski bir başkan karısıydı."
forms,formlar,isim,B1,,Please fill out these forms.,Lütfen bu formları doldurun.
foster,"teşvik etmek, geliştirmek, büyütmek",isim,B1,"stimulate, encourage, promote, nurture",This song was written by Foster.,Bu şarkı Foster tarafından yazıldı.
front,"yönelmek, ön, cephe",isim,B1,,I sat in the front.,Ben önde oturdum.
fruits,"meyveler, ürünler",isim,B1,,Fruits have seeds in them.,Meyvelerin içinde tohumları vardır.
fur,"kürk, kürk ile süslemek, kürk ile kaplamak",isim,B1,,Fur coats are on sale.,Kürk mantolar satışa sunulmuştur.
future,"istikbal, gelecek, gelecek zaman",isim,B1,,I'm from the future.,Ben gelecekten geliyorum.
galaxy,"galaksi, gökada, yıldızlar geçidi",isim,B1,,I wonder how many planets in our galaxy have life.,Galaksimizdeki kaç gezegende yaşam olduğunu merak ediyorum.
games,"spor, oyunlar",isim,B1,,I'm good at games.,Ben oyunlarda iyiyim.
gas,"benzin, gaz, övünmek",isim,B1,,I'm out of gas.,Benzinim bitti.
gate,"kapı, geçit, vana",isim,B1,,That's the main gate.,"O, ana kapıdır."
gather,"toplanmak, devşirmek, bir araya getirmek",isim,B1,,We gather here once a week.,Haftada bir kez burada toplanırız.
gen,"bilgi vermek, bilgi, tam bilgi",isim,B1,,Genes consist of a specific sequence of DNA.,Genler DNA'nın belirli bir sıralanmasından oluşur.
genius,"dahi, koruyucu melek, öke",isim,B1,,I'm not a genius.,Ben deha değilim.
genre,"tür, üslup, çeşit",isim,B1,,The investigation highlighted the critical role of genre.,Soruşturma tür kavramının kritik rolünü vurguladı.
