Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
abate,"geçmek, yatıştırmak, indirmek",fiil,B1,,The storm didn't abate for several hours.,Fırtına birkaç saattir yavaşlamadı.
abstain,"imtina etmek, çekinmek, kaçınmak",fiil,B2,,Athletes usually abstain from smoking.,Atletler genellikle sigaradan kaçınırlar.
accept,"kabullenmek, kabul etmek, almak",fiil,B1,,I accept the risk.,Riski kabul ediyorum.
accurate,"doğru, kesin, dakik",fiil,B2,,It's not accurate.,Bu doğru değil.
accuse,"suçlamak, itham etmek, suçlamada bulunmak",fiil,B1,,Why did Tom accuse you?,Tom neden seni suçladı?
acquire,"elde etmek, edinmek, iktisap etmek",fiil,B2,,It's very difficult to acquire.,Kazanmak çok zordur.
adapt,"adapte etmek, uyarlamak, uymak",fiil,B1,,You have to adapt.,Uyumlanmak zorundasın.
add,"toplamak, eklemek, ilave etmek",fiil,B1,,Let me add water.,Su ilave edeyim.
adequate,"yeterli, kafi, elverişli",fiil,B2,,I don't consider that adequate.,Bunun yeterli olduğunu düşünmüyorum.
adjust,"ayarlamak, hizaya getirmek, uydurmak",fiil,B1,,You have to adjust.,Ayarlamak zorundasın.
admit,"itiraf etmek, kabul etmek, almak",fiil,B1,,I'll admit that.,Onu itiraf edeceğim.
advise,"öğütlemek, öğüt vermek, nasihat etmek",fiil,B1,,Can you advise me?,Bana bildirir misin?
advocate,"avukat, desteklemek, müdafaa etmek",fiil,B2,,I'm playing the devil's advocate.,Ben şeytanın avukatını oynuyorum.
affect,"etkilemek, tesir etmek, gibi davranmak",fiil,B1,,Will this affect me?,Bu beni etkileyecek mi?
ago,"evvel, önce, eskiden",fiil,B1,,It was ages ago.,Uzun zaman önceydi.
agree,"aynı fikirde olmak, anlaşmak, razı olmak",fiil,B1,,I don't agree.,Aynı fikirde değilim.
allow,"izin vermek, müsaade etmek, kabul etmek",fiil,B1,,I'll allow it.,Buna izin vereceğim.
alongside,"yanına, yanı sıra, yan yana",fiil,B2,,I worked alongside Tom.,Tom'la yan yana çalıştım.
already,"zaten, çoktan, halihazırda",fiil,B2,,I'm already up.,Ben zaten hazırım.
also,"ayrıca, yine, da",fiil,B1,,He also saw it.,Onu o da gördü.
am,"olmak, birleşmek, birleştirmek",fiil,B1,,I am a boy.,Ben bir erkek çocuğuyum.
amuse,"eğlendirmek, oyalamak, güldürmek",fiil,B1,,Does that amuse you?,Bu sizi eğlendiriyor mu?
analyze,"incelemek, çözümlemek, analiz etmek",fiil,B2,,Let's analyze the facts.,Gerçekleri analiz edelim.
anticipate,"beklemek, ummak, sezmek",fiil,C1,,I didn't anticipate this.,Bunu beklemiyordum.
apart,"ayrı, farklı özellikleri olan, ayrı bir yere",fiil,B1,,We've grown apart.,Biz ayrı büyüdük.
appear,"belli olmak, görünmek, belirmek",fiil,B1,,Tom didn't appear.,Tom görünmedi.
appeared,göründü,fiil,B2,,He appeared at last.,O sonunda ortaya çıktı.
appears,"görüntüsü vermek, göründüğü gibi olmamak, görünen o ki",fiil,B2,,He often appears on TV.,"O, sık sık televizyonda görünür."
appraise,"değer biçmek, kıymet takdir etmek, fiyat saptamak",fiil,B2,,Tom had the painting appraised by an expert before he bought it.,Tom onu almadan önce bir ressam tarafından tabloya bir değer biçtirdi.
approve,"onaylamak, beğenmek, kabul etmek",fiil,B2,,Tom won't approve.,Tom onaylamayacak.
argue,"tartışmak, çekişmek, göstergesi olmak",fiil,B1,,I didn't argue.,Ben tartışmadım.
arise,"arose - arisen, kaynaklanmak, kalkmak",fiil,B1,,Accidents arise from carelessness.,Dikkatsizlik kazaları ortaya çıkarır.
arrange,"ayarlamak, düzenlemek, hazırlanmak",fiil,B2,,I'll arrange it.,Onu düzenleyeceğim.
ascend,"çıkmak, artmak, tahta çıkmak",fiil,B1,,He ascended the stairs.,O merdivenleri çıktı.
assemble,"toplaşmak, parçaları birleştirmek, birleşmek",fiil,B2,,I assemble car engines.,Ben araba motorlarını monte ederim.
assess,"değer biçmek, hesaplamak, incelemek",fiil,B1,,We'll assess the situation.,Durumu değerlendireceğiz.
associate,"ilişkilendirmek, birleştirmek, iş arkadaşı",fiil,B2,,He was my business associate.,"O, benim iş ortağımdı."
attach,"yapıştırmak, bağlamak, iliştirmek",fiil,B1,,Attach labels to all the bags.,Bütün çantalara etiketleri takın.
attempt,"teşebbüs etmek, girişimde bulunmak, kalkışmak",fiil,B2,,Tom made one last attempt.,Tom son bir teşebbüste bulundu.
attract,"cezbetmek, celp etmek, çekmek",fiil,B2,,Tom didn't attract attention.,Tom dikkat çekmedi.
avoid,"önlemek, kaçınmak, sakınmak",fiil,B1,,You can't avoid it.,Bunu önleyemezsin.
avoided,"kaçınılmak, karaya oturma tehlikesi nedeniyle kaçınılması gereken bölge",fiil,B2,,This can't be avoided.,Bu kaçınılamaz.
away,"uzak, uzağa, uzakta",fiil,B1,,Don't go away.,Uzaklara gitme.
back,"art, arkalık, sırt",fiil,B1,,I'll be back.,Geri döneceğim.
be,"bulunmak, olmak, var olmak",fiil,B1,,I'll be OK.,İyi olacağım.
bear,"dayanmak, katlanmak, taşımak",fiil,B1,,I shot a bear.,Bir ayı vurdum.
became,"çok fazla büyümeden önlenmek, önünü almak/önlemek, ne oldu",fiil,B1,,He became a hobo.,O bir serseri oldu.
become,"haline gelmek, olmak, dönüşmek",fiil,B1,,It's become dark.,Hava karardı.
been,"yapılan zararı telafi etmek, yapmıştır, imzalamıştır",fiil,B1,,I've been hit.,Vuruldum.
began,"başlamadan bitmek, dünya kurulduğundan beri, taşlar yerine oturdu işte",fiil,B1,,I began to cry.,Ağlamaya başladım.
begin,"başlatmak, başlamak, began - begun",fiil,B1,,How do we begin?,Biz nasıl başlarız?
beware,"çekinmek, sakınmak, gözünü açmak",fiil,B1,,Beware of the dog!,Köpeğe dikkat!
bicycle,"bisiklet, bisiklet kullanarak gitmek, bisikletle gezmek",fiil,B2,,He has a bicycle.,Bir bisikleti var.
bind,"ciltlemek, bağlamak, bound - bound",fiil,B1,,Do you bind books?,Kitapları ciltler misin?
bite,"ısırmak, lokma, bit - bitten",fiil,B1,,I don't bite.,Isırmam.
bleed,"bled - bled, para sızdırmak, yolmak",fiil,B1,,Do your gums bleed?,Diş etlerin kanar mı?
blow,"esmek, üflemek, darbe",fiil,B1,,Did I blow it?,Ben onu üfledim mi?
break,"kopmak, kırmak, bozmak",fiil,B1,,Don't break it.,Onu kırma.
bring,"getirmek, brought - brought, neden olmak",fiil,B1,,Bring it to me.,Onu bana getirin.
build,"inşa etmek, built - built, yapı yapmak",fiil,B1,,We can build that.,Onu inşa edebiliriz.
captivate,"cezbetmek, çekmek, büyülemek",fiil,B2,,He knows how to captivate his audience.,Seyircisini nasıl çekeceğini bilir.
capture,"esir almak, ele geçirmek, tutsak etmek",fiil,B2,,We'll capture them.,Onları yakalayacağız.
carry,"taşımak, sürüklemek, elde etmek",fiil,B1,,I'll carry it.,Onu taşıyacağım.
challenge,"düelloya davet etmek, karşı çıkmak, meydan okumak",fiil,B2,,It's a challenge.,Bu bir meydan okuma.
char,"kömürleşmek, yakarak kömürleştirmek, karbonlaştırmak",fiil,B1,,The research team planned to char the new method.,Araştırma ekibi yeni yöntemi kömürleşmek planladı.
characterize,"nitelendirmek, simgesi olmak, farklı olmasını sağlamak",fiil,C1,,"The Japanese distribution system, characterized by layers of wholesale, is complex and costly.",Toptan satış tabakaları ile karakterize edilen Japon dağıtım sistemi karmaşık ve masraflıdır.
cheat,"kopya çekmek, aldatmak, aldatma",fiil,B1,,Don't cheat us.,Bizi dolandırma.
choose,"seçmek, chose - chosen, ayırmak",fiil,B1,,I choose to work.,Çalışmayı tercih ettim.
clarify,"berraklaşmak, açıklamak, aydınlığa kavuşturmak",fiil,B2,,Can you clarify that?,Onu açıklayabilir misin?
classmate,"sınıf arkadaşı, okul arkadaşı",fiil,B2,,He is my classmate.,O benim sınıf arkadaşım.
climate,"iklim, çevre, şartlar",fiil,B2,,Has the climate changed?,İklim değişti mi?
climb,"tırmanmak, tırmanış, aşama kaydetmek",fiil,B1,,Climb to the top.,Tepeye tırman.
cloud,"bulut, karartmak, bozmak",fiil,B1,,I'm on cloud nine.,İçim içime sığmıyor.
collapse,"yığılmak, çökmek, çöküş",fiil,B2,,It's going to collapse.,Bu çökecek.
collect,"toplamak, biriktirmek, olmak",fiil,B2,,Do you collect coins?,Sikke topluyor musun?
combine,"birleştirmek, birleşmek, kaynaştırmak",fiil,B2,,Combine all the parts to make one piece.,Tek parça yapmak için tüm parçaları birleştirin.
come,"gelmek, came - come, gelip dayanmak",fiil,B1,,I can't come.,Ben gelemem.
compete,"rekabet etmek, yarışmak, kapışmak",fiil,B2,,I can't compete.,Ben rekabet edemem.
compile,"derlemek, sıralamak, telif etmek",fiil,B2,,We should compile a list of everybody who would be willing to help.,Yardım etmeye istekli olacak herkesin bir listesini derlemeliyiz.
compose,"bestelemek, oluşturmak, gidermek",fiil,B2,,Tom tried to compose himself.,Tom kendini toparlamaya çalıştı.
comprise,"kapsamak, içermek, içine almak",fiil,B2,,The research team planned to comprise the new method.,Araştırma ekibi yeni yöntemi kapsamak planladı.
conduct,"yönetmek, yürütmek, idare etmek",fiil,B2,"carry out, implement, apply, perform",Your conduct is sad.,Davranışınız üzücü.
confine,"sınırlandırmak, kapatmak, kapamak",fiil,B2,,Confine your remarks to the matter we are discussing.,Yorumlarını tartıştığımız konuyla sınırla.
confuse,"kafasını karıştırmak, zihnini karıştırmak, telaşlandırmak",fiil,B2,,Don't confuse me.,Kafamı karıştırma.
connect,"bağlamak, bağlanmak, birleşmek",fiil,B2,,How do I connect to your Wi-Fi?,Senin Wi-Fi'yına nasıl bağlanırım?
considerate,"düşünceli, hürmetkar, anlayışlı",fiil,C1,,Tom was so considerate.,Tom çok düşünceliydi.
constitute,"oluşturmak, teşkil etmek, kurmak",fiil,C1,,The research team planned to constitute the new method.,Araştırma ekibi yeni yöntemi oluşturmak planladı.
constitutes,"oluşturmak, teşkil etmek, kurmak",fiil,C1,,The research team planned to constitutes the new method.,Araştırma ekibi yeni yöntemi oluşturmak planladı.
construct,"inşa etmek, dikmek, resmetmek",fiil,B2,,After reading his books I feel I can construct a house.,Onun kitaplarını okuduktan sonra bir ev inşa edebileceğimi hissediyorum.
consume,"tüketmek, yakmak, tükenmek",fiil,B2,,The Swiss consume a large amount of beer.,İsviçre çok miktarda bira tüketiyor.
contain,"kapsamak, içermek, zaptetmek",fiil,B2,,What does it contain?,O ne içerir?
continue,"devam ettirmek, sürmek, sürdürmek",fiil,B2,,I wanted to continue.,Devam etmek istedim.
continues,"devam ettirmek, sürmek, sürdürmek",fiil,B2,,I hope that continues.,Onun devam ettiğini umuyorum.
contribute,"katkı yapmak, katkıda bulunmak, vermek",fiil,C1,,I'll contribute soon.,Yakında katkıda bulunacağım.
convert,"dönüştürmek, arıtmak, evirmek",fiil,B2,,You must convert dollars into the local currency.,Doları yerel para birimine dönüştürmelisiniz.
convey,"iletmek, geçirmek, ulaştırmak",fiil,B1,,I want to convey my sympathy.,Sempatimi iletmek istiyorum.
convince,"ikna etmek, inandırmak, kandırmak",fiil,B2,,We'll convince Tom.,Tom'u ikna edeceğiz.
could,"-abilirdi, -er misin, -ebilirdi",fiil,B1,,Could I do it?,Bunu yapabilir miyim?
create,"meydana getirmek, oluşturmak, yaratmak",fiil,B1,,We didn't create it.,Onu biz yaratmadık.
cultivate,"ekip biçmek, yetiştirmek, gayret etmek",fiil,B2,,You should cultivate the habit of getting up early.,Erken kalkma alışkanlığını kazanmalısın.
cure,"iyileştirmek, tedavi etmek, çare",fiil,B1,"treat, heal, remedy",There is a cure.,Bir çare var.
damn,"suçu yüklemek, sövmek, lanet etmek",fiil,B1,,The research team planned to damn the new method.,Araştırma ekibi yeni yöntemi suçu yüklemek planladı.
damp,"nem, rutubet, rutubetli",fiil,B1,,The air is damp.,Hava nemli.
date,"çıkmak, randevuya çıkmak, zaman",fiil,B1,,It's a date.,Bu bir randevu.
debate,"çekişmek, çekişme, tartışma",fiil,B1,,It was a hot debate.,O sıcak bir tartışmaydı.
decide,"karar vermek, belirlemek, azmetmek",fiil,B1,,I can't decide.,Ben karar veremem.
decline,"zayıflamak, inişe geçmek, geri çevirmek",fiil,B2,"decrease, diminish, drop",I had to decline his offer.,Onun teklifini geri çevirmek zorunda kaldım.
decrease,"küçülmek, azaltmak, düşüş göstermek",fiil,B2,"diminish, decline",This medicine will decrease your pain.,Bu ilaç ağrını azaltacak.
defeat,"yenmek, bozguna uğratmak, mağlup etmek",fiil,B1,,He will defeat them.,Onları yenecek.
defend,"savunmak, korumak, kanat açmak",fiil,B1,,I'll defend Tom.,Ben Tom'u koruyacağım.
define,"tanımlamak, sınırlamak, belirtmek",fiil,B1,,Let's define our terms.,Şartlarımızı tanımlayalım.
delay,"gecikmek, ertelemek, rötar",fiil,B1,,What's the delay?,Gecikme nedir?
delicate,"narin, hassas, kolay kırılabilen",fiil,B2,"fragile, sensitive, subtle",It's a delicate problem.,"O, hassas bir problem."
demonstrate,"ispat etmek, göstermek, kanıtlamak",fiil,C1,,Allow me to demonstrate.,Göstermeme izin ver.
deny,"yalanlamak, inkar etmek, reddetmek",fiil,B1,,Don't deny it.,Onu inkar etmeyin.
depend,"bağlı olmak, güvenmek, bağımlı olmak",fiil,B1,,We depend on you.,Biz size bağlıyız.
deserve,"hak etmek, layık olmak, hak kazanmak",fiil,B2,,I deserve to win.,Ben kazanmayı hak ediyorum.
desperate,"çaresiz, umutsuz, her şeyi göze alabilen",fiil,B2,,I'm not desperate.,Umutsuz değilim.
detect,"keşfetmek, sezmek, belirlemek",fiil,B1,,Do I detect sarcasm?,İğnelemeyi fark ediyor musun?
determine,"azmetmek, kararlaştırmak, belirlemek",fiil,B2,,How did you determine that?,Onu nasıl kararlaştırdın?
develop,"geliştirmek, gelişmek, yıkamak",fiil,B2,,How did that develop?,O nasıl gelişti?
diagnose,"teşhis etmek, tanı koymak, teşhis koymak",fiil,B2,,What was Tom diagnosed with?,Tom'a ne tanısı kondu?
die,"ölmek, vefat etmek, rahmetli olmak",fiil,B1,,I won't die.,Ölmeyeceğim.
disappear,"ortadan kaybolmak, yok olmak, gözden kaybolmak",fiil,B2,,I want to disappear.,Ben ortadan kaybolmak istiyorum.
disappoint,"hayal kırıklığına uğratmak, altüst etmek, ümidini boşa çıkarmak",fiil,C1,,Don't disappoint me.,Beni hayal kırıklığına uğratma.
discovered,"keşfedilmek, açığa çıkarılmak, bulunmak",fiil,C1,,We've been discovered.,Biz keşfedildik.
discuss,"görüşmek, tartışmak, ele almak",fiil,B2,,Let's discuss it.,Onu tartışalım.
dismantle,"sökmek, çıkarmak, parçalamak",fiil,B2,,The research team planned to dismantle the new method.,Araştırma ekibi yeni yöntemi sökmek planladı.
dismiss,"azletmek, kovmak, işten atmak",fiil,B2,,Don't dismiss any possibility.,Hiçbir ihtimali dışlama.
dissolve,"eritmek, çözmek, son vermek",fiil,B2,,Dissolve the tablet in a glass of water.,Tableti bir bardak su içinde erit.
do,"etmek, yapmak, did - done",fiil,B1,,I'd do it.,Ben yapardım.
donate,"bağışta bulunmak, bağışlamak, hibe etmek",fiil,B1,,I didn't donate blood.,Kan bağışında bulunmadım.
draw,"karalamak, çekmek, çizmek",fiil,B1,,I can't draw.,Resim yapamam.
drop,"düşmek, düşürmek, düşüş",fiil,B1,decline,Don't drop it.,Onu düşürme.
dwell,"ikamet etmek, dwelt/dwelled - dwelt/dwelled, kalmak",fiil,B1,,I try not to dwell on the past.,Geçmişte yaşamamaya çalışıyorum.
eclipse,"tutulmak, tutulma, sönmek",fiil,B2,,Did you see the eclipse?,Tutulmayı gördün mü?
elevate,"aklı/ruhu geliştirmek, terfi ettirmek, yükseltmek",fiil,B2,,The research team planned to elevate the new method.,Araştırma ekibi yeni yöntemi aklı/ruhu geliştirmek planladı.
eliminate,"elemek, ekarte etmek, ortadan kaldırmak",fiil,B2,,We can eliminate parking fees.,Park ücretlerini ortadan kaldırabiliriz
emerge,"ortaya çıkmak, meydana çıkmak, sudur etmek",fiil,B1,,Terrorists can emerge anywhere.,Teröristler her yerde ortaya çıkabilir.
emit,"atmak, yayınlamak, belirtmek",fiil,B1,,The research team planned to emit the new method.,Araştırma ekibi yeni yöntemi atmak planladı.
employ,"işe almak, çalıştırmak, kullanmak",fiil,B1,,You can employ him.,Ona iş verebilirsin.
encourage,"cesaretlendirmek, yüreklendirmek, özendirmek",fiil,B2,"foster, stimulate, support, inspire",Don't encourage Tom.,Tom'u teşvik etmeyin.
enlarge,"genişlemek, boyutunu büyütmek, büyütmek",fiil,B2,,They're going to enlarge their store.,Onlar mağazalarını büyütecek.
ensure,"sağlama almak, sağlamak, garantiye almak",fiil,B1,,Nobody can ensure that.,Kimse onu garantiye alamaz.
entertain,"eğlendirmek, oyalamak, ağırlamak",fiil,B2,,I love to entertain.,Eğlenmeyi seviyorum.
eradicate,"kökünü kurutmak, kökünden söküp atmak, kökünden sökmek",fiil,B2,,The way to reduce crime is to eradicate poverty.,Suçu azaltmanın yolu yoksulluğu ortadan kaldırmaktır.
estimate,"kestirmek, tahmin etmek, tahmin",fiil,B2,,Can you estimate its value?,Onun değerini tahmin edebilir misin?
evaluate,"değerlendirmek, ölçmek, değerlendirmeye almak",fiil,B2,,It's difficult to evaluate his ability.,Onun yeteneğini değerlendirmek zordur.
ever,"durmadan, her zaman, daima",fiil,B1,,Am I ever wrong?,Ben şimdiye kadar hatalı mıyım?
everywhere,"her yer, her yere, her taraf",fiil,C1,,I see you everywhere.,Her yerde seni görüyorum.
evolve,"evrim geçirmek, yavaş yavaş gelişmek, gelişmek",fiil,B1,,We did not evolve from monkeys. We share a common ancestor.,Biz maymunlardan evrim geçirmedik. Ortak bir atayı paylaşıyoruz.
examine,"muayene etmek, incelemek, yoklamak",fiil,B2,,I'll have to examine you.,Seni muayene etmem gerekecek.
execute,"infaz etmek, idam etmek, yapmak",fiil,B2,"apply, implement",We must execute his orders.,Onun emirlerini yerine getirmeliyiz.
exercise,"alıştırma yapmak, egzersiz yapmak, egzersiz",fiil,B2,,I don't exercise.,Ben egzersiz yapmam.
exhaust,"egzoz, paçavrasını çıkarmak, yormak",fiil,B2,tire,Exhaust from factories pollutes the air.,Fabrikalardan gelen gazlar havayı kirletir.
exhibit,"sergilemek, sergi, ortaya koymak",fiil,B2,,We'll see the exhibit tomorrow.,Sergiyi yarın göreceğiz.
expand,"yayılmak, genişlemek, genişletmek",fiil,B1,,We want to expand.,Biz genişlemek istiyoruz.
expect,"ummak, beklemek, ümit etmek",fiil,B1,,I expect a lot.,Çok şey bekliyorum.
expel,"defetmek, azletmek, çıkarmak",fiil,B1,,Why did they expel Tom from that school?,Tom'u neden o okuldan kovdular?
expertise,"uzman görüşü sunmak, uzluk, ustalık",fiil,B2,,I need your expertise.,Uzmanlığına ihtiyacım var.
explain,"açıklamak, izah etmek, aydınlatmak",fiil,B2,,I can't explain.,Açıklayamam.
explore,"keşfetmek, araştırmak, tetkik etmek",fiil,B2,,Children like to explore.,Çocuklar keşfetmeyi sever.
express,"ifade etmek, açık, belli",fiil,B2,,Is this an express?,Bu bir özel ulak mıdır?
extend,"sunmak, genişletmek, uzatmak",fiil,B1,,Can I extend my stay?,Kalışımı uzatabilir miyim?
exterminate,"kırmak, kökünü kurutmak, mahvetmek",fiil,C1,,The research team planned to exterminate the new method.,Araştırma ekibi yeni yöntemi kırmak planladı.
facilitate,"hafifletmek, rahatlatmak, olanak tanımak",fiil,C1,,I think I can facilitate that.,Bunu kolaylaştırabileceğimi düşünüyorum
fall,"inmek, düşmek, güz",fiil,B1,,I didn't fall.,Ben düşmedim.
feel,"hissetmek, felt - felt, sezmek",fiil,B1,,I can feel it.,Bunu hissedebiliyorum.
find,"bulmak, found - found, rastlamak",fiil,B1,,I'll find it.,Onu bulacağım.
fire,"ateşlemek, kovmak, yangın",fiil,B1,,It's on fire.,O yanıyor.
first,"birinci, ilk, önce",fiil,B1,,I'll go first.,İlk olarak ben gideceğim.
focalize,"küçük bir alana sınırlamak, odaklamak, odaklanmak",fiil,B2,,The research team planned to focalize the new method.,Araştırma ekibi yeni yöntemi küçük bir alana sınırlamak planladı.
fog,"sis, donuklaşmak, sis kaplamak",fiil,B1,,The fog closed in.,Sis kapladı.
foresee,"öngörmek, ileriyi görmek, foresaw - foreseen",fiil,B2,,Did you foresee this?,Bunu öngörüyor muydunuz?
