Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
about,"hemen hemen, aşağı yukarı, yaklaşık",edat,B1,,I'm about done.,Hemen hemen bitirdim.
above,"üzerine, yukarısında, yukarıda",edat,B1,,This is above me.,Bu beni aşar.
across,"karşıya, aşırı, karşı karşıya",edat,B1,,I cut across the park.,Parka kestirmeden gittim.
after,"sonra, öğleden sonra, sonra gelen",edat,B1,,He's after me.,O benim arkamda.
against,"aykırı, karşı, ters olarak",edat,B2,,I'm against it.,Ben buna karşıyım.
along,"boyunca, yanında, yanına",edat,B1,,I'll go along.,Devam edeceğim.
although,"her ne kadar, rağmen, gerçi",bağlaç,B2,,"Although it is snowing, I must go.",Kar yağmasına rağmen gitmek zorundayım.
among,"arasına, arasında, içinde",edat,B1,,I sat among them.,Ben onların arasına oturdum.
and,"ile, ve, ek şart",bağlaç,A1,,Tom and I ran.,Tom ve ben koştum.
around,"sularında, çevrede, etrafında",edat,B1,,I'll be around.,Civarda olacağım.
as,"olarak, gibi, dahi",bağlaç,B1,,Do as I ask.,İstediğim gibi yap.
at,"üzere, nezdinde, üzerinde",edat,A1,,I'm at home.,Ben evdeyim.
because,"çünkü, -dığı için, zira",bağlaç,B2,,I came because of Tom.,Tom'dan dolayı geldim.
before,"evvel, önce, daha önce",edat,B1,,We've met before.,Biz daha önce tanıştık.
behind,"ardındaki, arkaya, geriye",edat,B1,,I'm behind him.,Ben onun arkasındayım.
below,"alttaki, aşağıdaki, altta",edat,B1,,Tom has gone below.,Tom aşağıya gitti.
beneath,"altında, aşağıda, aşağıdan",edat,B2,,Tom is sitting beneath the tree.,Tom ağacın altında oturuyor.
beside,"yanında, üstelik, diğer taraftan",edat,B1,,I sat beside her.,Ben onun yanında oturdum.
besides,"ayrıca, hem, üstelik",bağlaç,B2,,Ask someone else besides me.,Benden başka birine sorun.
between,"arasında, arasına, ortada",edat,B2,,I'm between jobs.,İşsizim.
beyond,"öte, ötede, ötesi",edat,B1,,It's beyond me.,Bu beni aşıyor.
but,"ancak, fakat, itiraz",bağlaç,B1,,But I was careful.,Fakat ben dikkatliydim.
by,"geçecek biçimde, yakın, evde",edat,A1,,I'll get by.,Atlatabileceğim.
considering,"hesaba katma, sıçrama, dikkate alma",edat,B2,,I'm considering it.,Onu düşünüyorum.
despite,"rağmen, kin, garez",edat,B2,,I love Tom despite his faults.,Hatalarına rağmen Tom'u seviyorum.
