Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
abstain,"imtina etmek, çekinmek, kaçınmak",fiil,B2,,Athletes usually abstain from smoking.,Atletler genellikle sigaradan kaçınırlar.
accurate,"doğru, kesin, dakik",fiil,B2,,I hope this is accurate.,İnşallah bu doğrudur.
acquire,"elde etmek, edinmek, iktisap etmek",fiil,B2,,It's very difficult to acquire.,Kazanmak çok zordur.
adequate,"yeterli, kafi, elverişli",fiil,B2,,I don't consider that adequate.,Bunun yeterli olduğunu düşünmüyorum.
advocate,"avukat, desteklemek, müdafaa etmek",fiil,B2,,I'm playing the devil's advocate.,Ben şeytanın avukatını oynuyorum.
alongside,"yanına, yanı sıra, yan yana",fiil,B2,,The two houses stand alongside of each other.,İki ev yan yana duruyor.
already,"zaten, çoktan, halihazırda",fiil,B2,,I'm already on it.,Ben zaten onun üzerindeyim.
analyze,"incelemek, çözümlemek, analiz etmek",fiil,B2,,Let's analyze the facts.,Gerçekleri analiz edelim.
appeared,göründü,fiil,B2,,He hasn't appeared yet.,"O, henüz ortaya çıkmadı."
appears,"görüntüsü vermek, göründüğü gibi olmamak, görünen o ki",fiil,B2,,He often appears on TV.,"O, sık sık televizyonda görünür."
appraise,"değer biçmek, kıymet takdir etmek, fiyat saptamak",fiil,B2,,The research committee agreed to appraise the proposed methodology.,Araştırma komitesi önerilen metodolojiyi değer biçmek konusunda mutabık kaldı.
approve,"onaylamak, beğenmek, kabul etmek",fiil,B2,,I'm glad you approve.,Kabul ettiğine sevindim.
arrange,"ayarlamak, düzenlemek, hazırlanmak",fiil,B2,,I'll arrange a meeting.,Bir görüşme ayarlarım.
assemble,"toplaşmak, parçaları birleştirmek, birleşmek",fiil,B2,,This bookcase is easy to assemble.,Bu kitaplığın montajı kolaydır.
associate,"ilişkilendirmek, birleştirmek, iş arkadaşı",fiil,B2,,He was my business associate.,"O, benim iş ortağımdı."
attempt,"teşebbüs etmek, girişimde bulunmak, kalkışmak",fiil,B2,,His attempt ended in failure.,Onun girişimi başarısızlıkla sonuçlandı.
attract,"cezbetmek, celp etmek, çekmek",fiil,B2,,She likes to attract attention.,O dikkat çekmeyi sever.
avoided,"kaçınılmak, karaya oturma tehlikesi nedeniyle kaçınılması gereken bölge",fiil,B2,,This can't be avoided.,Bu kaçınılamaz.
bicycle,"bisiklet, bisiklet kullanarak gitmek, bisikletle gezmek",fiil,B2,,It's a new bicycle.,O yeni bir bisiklet.
captivate,"cezbetmek, çekmek, büyülemek",fiil,B2,,He knows how to captivate his audience.,Seyircisini nasıl çekeceğini bilir.
capture,"esir almak, ele geçirmek, tutsak etmek",fiil,B2,,I let them capture me.,Beni yakalamalarına izin verdim.
challenge,"düelloya davet etmek, karşı çıkmak, meydan okumak",fiil,B2,,It's a real challenge.,Bu gerçek bir meydan okuma.
clarify,"berraklaşmak, açıklamak, aydınlığa kavuşturmak",fiil,B2,,I'd like to clarify that.,Onu açıklamak istiyorum.
classmate,"sınıf arkadaşı, okul arkadaşı",fiil,B2,,I have a classmate who has a motorboat license.,Motorlu tekne lisansı olan bir sınıf arkadaşım var.
climate,"iklim, çevre, şartlar",fiil,B2,,I like the climate here.,Buranın iklimini seviyorum.
collapse,"yığılmak, çökmek, çöküş",fiil,B2,,It's going to collapse.,Bu çökecek.
collect,"toplamak, biriktirmek, olmak",fiil,B2,,Did you collect them all?,Onların hepsini biriktirdin mi?
