Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
accessibility,"ulaşılırlık, giriş imkanı, kolaylıkla görüşülebilir olma",isim,C1,,The investigation highlighted the critical role of accessibility.,Soruşturma ulaşılırlık kavramının kritik rolünü vurguladı.
accommodation,"konaklama, kalacak yer, konfor",isim,C1,,We need accommodation for six.,Altı kişi için kalacak yere ihtiyacımız var.
accomplishment,"başarma, becerme, başarılan iş",isim,C1,,It's a great accomplishment.,Bu büyük bir başarı.
achievement,"başarı, eser, edinim",isim,C1,,It's a big achievement.,O büyük bir başarı.
activities,"icraat, aktiviteler, etkinlikler",isim,C1,,I'm fully aware of Tom's activities.,Tom'un faaliyetlerinin tamamen farkındayım.
addressing,"retorik, sesleniş, hitabet",isim,C1,,He always talks as though he were addressing a public meeting.,O her zaman halka açık bir toplantıya sesleniyor gibi konuşur.
administer,"yönetmek, idare etmek, tatbik etmek",isim,C1,,He administered his friend's affairs.,"O, arkadaşlarının işlerini idare etti."
adolescence,"ergenlik çağı, ergenlik, büyüme çağı",isim,C1,,The investigation highlighted the critical role of adolescence.,Soruşturma ergenlik çağı kavramının kritik rolünü vurguladı.
advancement,"ilerleme, yükselme, gelişme",isim,C1,,Does this job offer opportunities for advancement?,"Bu iş, ilerleme için fırsatlar sunuyor mu?"
advancements,teknolojik gelişmeler,isim,C1,,The investigation highlighted the critical role of advancements.,Soruşturma teknolojik gelişmeler kavramının kritik rolünü vurguladı.
alteration,"değişiklik, değişim, değiştirme",isim,C1,,The investigation highlighted the critical role of alteration.,Soruşturma değişiklik kavramının kritik rolünü vurguladı.
alternatives,"çareler, seçenekler, seçilebilecek yollar",isim,C1,,Let's look at alternatives.,Alternatiflere bakalım.
antibodies,antikorlar,isim,C1,,Antibodies fight off infections and viruses.,Antikorlar enfeksiyonları ve virüsleri defeder.
appearance,"dış görünüş, görünüm, görünüş",isim,C1,,Avoid the appearance of evil.,Şeytanın hilesinden sakının.
application,"tatbik, uygulama, başvuru",isim,C1,,I lied on my job application.,İş başvurumda yalan söyledim.
applications,uygulamalar,isim,C1,,Applications are due by Monday.,Başvurular için süre sonu pazartesi.
architects,mimarlar,isim,C1,,The investigation highlighted the critical role of architects.,Soruşturma mimarlar kavramının kritik rolünü vurguladı.
assortment,"karışım, ayırma, çeşitlilik",isim,C1,,The investigation highlighted the critical role of assortment.,Soruşturma karışım kavramının kritik rolünü vurguladı.
astronomers,astronomlar,isim,C1,,Ancient astronomers noticed constellations and gave them names.,Eski astronomlar takımyıldızları fark ettiler ve onlara isimler verdiler.
attempting,"girişimde bulunma, yeltenme, kalkışma",isim,C1,,I'm attempting to win here.,Burada kazanmaya çalışıyorum.
automobile,"otomobil, otomobilde seyahat etmek, araba",isim,C1,,An automobile ran over him.,Bir otomobil onu ezdi.
background,"arka plan, fon, ardyöre",isim,C1,,I'll stay in the background.,Ben arka planda kalacağım.
backgrounds,"şeffaf zemin, web arka planları",isim,C1,,I want to meet people from all types of backgrounds.,Her türlü kökenden insanlarla tanışmak istiyorum.
belongings,"ayniyat, özel eşya, kişisel eşyalar",isim,C1,,He lost all his belongings.,"O, bütün eşyalarını kaybetti."
benefiting,"asılanma, yararlanma",isim,C1,,The investigation highlighted the critical role of benefiting.,Soruşturma asılanma kavramının kritik rolünü vurguladı.
blamelessness,"suçsuzluk, kusursuzluk, masumluk",isim,C1,,The investigation highlighted the critical role of blamelessness.,Soruşturma suçsuzluk kavramının kritik rolünü vurguladı.
breakthrough,"ilerleme, atılım, buluş",isim,C1,,This is a real breakthrough.,Bu gerçek bir atılım.
