Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
Koşul ve Eklemeler,about,"hemen hemen, aşağı yukarı, yaklaşık",edat,B1,,He's about to go.,Gitmek üzere.
Koşul ve Eklemeler,above,"üzerine, yukarısında, yukarıda",edat,B1,,It's right above you.,O tam senin üzerinde.
Zaman ve Süreç Edatları,across,"karşıya, aşırı, karşı karşıya",edat,B1,,I cut across the park.,Parka kestirmeden gittim.
Zaman ve Süreç Edatları,after,"sonra, öğleden sonra, sonra gelen",edat,B1,,He is after a job.,"O, iş arıyor."
Koşul ve Eklemeler,against,"aykırı, karşı, ters olarak",edat,B2,,I'm against the war.,Savaşa karşıyım.
Zaman ve Süreç Edatları,along,"boyunca, yanında, yanına",edat,B1,,I'll be along soon.,Yakında birlikte olacağız.
Zıtlık ve Karşılaştırma,although,"her ne kadar, rağmen, gerçi",bağlaç,B2,,"Although it is snowing, I must go.",Kar yağmasına rağmen gitmek zorundayım.
Koşul ve Eklemeler,among,"arasına, arasında, içinde",edat,B1,,He is popular among us.,"O, aramızda popülerdir."
Koşul ve Eklemeler,and,"ile, ve, ek şart",bağlaç,A1,,I'll go and see.,Gideceğim ve göreceğim.
Koşul ve Eklemeler,around,"sularında, çevrede, etrafında",edat,B1,,I move around a lot.,Ben çok gezinirim.
Sebep ve Sonuç,as,"olarak, gibi, dahi",bağlaç,B1,,Do as I tell you.,Sana söylediğim gibi yap.
Koşul ve Eklemeler,at,"üzere, nezdinde, üzerinde",edat,A1,,I'm at Tom's.,Tom'lardayım.
Sebep ve Sonuç,because,"çünkü, -dığı için, zira",bağlaç,B2,,I came because of Tom.,Tom'dan dolayı geldim.
Zaman ve Süreç Edatları,before,"evvel, önce, daha önce",edat,B1,,He's done it before.,Onu daha önce yaptı.
Koşul ve Eklemeler,behind,"ardındaki, arkaya, geriye",edat,B1,,I hid behind a rock.,Bir kayanın arkasına saklandım.
Koşul ve Eklemeler,below,"alttaki, aşağıdaki, altta",edat,B1,,My room is just below.,Odam tam aşağıda.
Koşul ve Eklemeler,beneath,"altında, aşağıda, aşağıdan",edat,B2,,The money was hidden beneath the floorboards.,Para döşeme tahtalarının altında gizlenmişti.
Koşul ve Eklemeler,beside,"yanında, üstelik, diğer taraftan",edat,B1,,Can I sit beside Tom?,Tom'un yanına oturabilir miyim?
Koşul ve Eklemeler,besides,"ayrıca, hem, üstelik",bağlaç,B2,,Ask someone else besides me.,Benden başka birine sorun.
Koşul ve Eklemeler,between,"arasında, arasına, ortada",edat,B2,,I was the go-between.,Ben arabulucuydum.
Zaman ve Süreç Edatları,beyond,"öte, ötede, ötesi",edat,B1,,It is beyond my power.,Bu benim gücümü aşar.
Zıtlık ve Karşılaştırma,but,"ancak, fakat, itiraz",bağlaç,B1,,He is but a child.,"O, ancak bir çocuk."
Koşul ve Eklemeler,by,"geçecek biçimde, yakın, evde",edat,A1,,I'll go by bus.,Otobüsle gideceğim.
Koşul ve Eklemeler,considering,"hesaba katma, sıçrama, dikkate alma",edat,B2,,I'm considering suing Tom.,Tom'a dava açmayı düşünüyorum.
Zıtlık ve Karşılaştırma,despite,"rağmen, kin, garez",edat,B2,,I love him despite his faults.,Ben onun hatalarına rağmen onu seviyorum.
Koşul ve Eklemeler,down,"aşağıya doğru, aşağı, alaşağı etmek",edat,B1,,Don't let me down.,Benim yüzümü kara çıkarma.
Zaman ve Süreç Edatları,during,"zarfında, süresince, sırasında",edat,B1,,Don't talk during class.,Ders esnasında konuşma.
Koşul ve Eklemeler,except,"haricinde, hariç, dışında",edat,B1,,No one came except Tom.,Tom hariç hiç kimse gelmedi.
Koşul ve Eklemeler,excluding,"hariç, dışlama, müstesna",edat,B2,,We're not excluding anybody.,Biz kimseyi dışarıda bırakmıyoruz.
Koşul ve Eklemeler,for,"için, yönünden, zarfında",edat,A1,,I'm OK for now.,Şimdilik iyiyim.
Koşul ve Eklemeler,from,"itibaren, -den beri, -den",edat,A1,,I'm from the FBI.,Ben FBI'danım.
Sebep ve Sonuç,hence,"buradan, bunun sonucu olarak, bundan",bağlaç,B1,,"Hence rigorous clinical testing, some uncertainty remained.",Kapsamlı klinik testlere rağmen / esnasında (buradan) bazı belirsizlikler devam etti.
Zıtlık ve Karşılaştırma,however,"bununla birlikte, yine de, her nasılsa",bağlaç,B2,,"However, that didn't happen.","Ancak, o olmadı."
Koşul ve Eklemeler,in,"içeri, içinde, iç",edat,A1,,I'm in a fix.,Zor durumdayım.
Koşul ve Eklemeler,inside,"iç taraf, içeri, içte",edat,B1,,I'll see you inside.,Seni içeride göreceğim.
Koşul ve Eklemeler,into,"içine, şekline, biçimine",edat,B1,,I got into my car.,Arabama bindim.
Koşul ve Eklemeler,like,"beğenmek, hoşlanmak, sevmek",edat,B1,,I'd like a hug.,Ben sarılmak istiyorum.
Koşul ve Eklemeler,near,"yakın, yakınlaşmak, yaklaşmak",edat,A1,,Don't go near Tom.,Tom'a yaklaşma.
Koşul ve Eklemeler,nor,"ne de, ne, nor operatörü",bağlaç,B1,,He can't see nor hear.,O ne görebilir ne de duyabilir.
Zıtlık ve Karşılaştırma,notwithstanding,"buna rağmen, bağlı olmaksızın, gerçi",bağlaç,B2,,"Notwithstanding rigorous clinical testing, some uncertainty remained.",Kapsamlı klinik testlere rağmen / esnasında (buna rağmen) bazı belirsizlikler devam etti.
Koşul ve Eklemeler,of,"karşı, olan, hakkında",edat,A1,,I'm one of you.,Ben sizden biriyim.
Koşul ve Eklemeler,off,"kapalı, dışında, kalkmak",edat,B1,,I'm off to bed.,Yatmaya gidiyorum.
Koşul ve Eklemeler,on,"üstünde, üzerinde, yanmak",edat,A1,,I can't go on.,Ben devam edemem.
Koşul ve Eklemeler,onto,"üstüne, üzerine, onto",edat,B1,,He jumped onto the table.,O masanın üstüne atladı.
Koşul ve Eklemeler,or,"ya da, veya, altın sarısı",bağlaç,B1,,It's now or never.,Ya şimdi ya da asla.
Koşul ve Eklemeler,out,"çıkış, dışarıda, dışarı",edat,B1,,I can't go out.,Ben dışarı çıkamam.
Koşul ve Eklemeler,outside,"dıştan, dışarı, dışarısı",edat,B2,,I didn't go outside.,Ben dışarıya gitmedim.
Koşul ve Eklemeler,over,"bitmiş, üzerine, üstüne",edat,B1,,I'm not over it.,Bunu atlatmış değilim.
Zaman ve Süreç Edatları,past,"geçmiş, geçmiş zaman, bir kimsenin geçmişi",edat,B1,,It's past my curfew.,O saatte dışarı çıkmam yasak.
Koşul ve Eklemeler,per,"her, beher, rücuen",edat,B1,,What is the rate per day?,Günlük oran nedir?
Koşul ve Eklemeler,providing,"temin etme, sağlama, eğer",bağlaç,B2,,We're providing an affordable service.,Uygun fiyatlı bir hizmet sağlıyoruz.
Sebep ve Sonuç,since,"ondan sonra, o zamandan beri, sonradan",bağlaç,B1,,I've been up since 2:30.,2:30'dan beri ayaktayım.
Koşul ve Eklemeler,so,"bu yüzden, öyle, böyle",bağlaç,B1,,I'm not so old.,O kadar da yaşlı değilim.
Koşul ve Eklemeler,than,"hariç, -den, -mektense",edat,B1,,I'm older than Tom.,Ben Tom'dan daha yaşlıyım.
Sebep ve Sonuç,therefore,"bu sebeple, bu yüzden, bu nedenle",bağlaç,B2,,"Therefore, it is necessary to reduce the cost.","Bu nedenle, maliyetin düşürülmesi gereklidir."
Zıtlık ve Karşılaştırma,though,"gerçi, -diği halde, fakat",bağlaç,B1,,It looks as though it may rain.,Sanki yağmur yağabilir gibi görünüyor.
Zaman ve Süreç Edatları,through,"başından sonuna kadar, yoluyla, üzerinden",edat,B2,,I'll get through it.,Ben bunu atlatacağım.
Zaman ve Süreç Edatları,throughout,"boyunca, baştanbaşa, baştan başa",edat,B2,,It rained throughout the night.,Tüm gece boyunca yağmur yağdı.
Koşul ve Eklemeler,times,"kere, defa, kez",edat,B1,,I did it many times.,Onu defalarca yaptım.
Koşul ve Eklemeler,to,"karşı, -mek/-mak, kadar",edat,A1,,It's up to me.,Bu bana bağlı.
Zaman ve Süreç Edatları,towards,"doğru, karşı, -e doğru",edat,B2,,The dog ran towards me.,Köpek bana doğru koştu.
Koşul ve Eklemeler,under,"altında, alt, az",edat,B1,,It's under the bed.,Yatağın altında.
Koşul ve Eklemeler,underneath,"altında, bir şeyin alt bölümü, bir şeyin alt kısmı",edat,B2,,The mouse ran underneath the bed.,Fare yatağın altına kaçtı.
Koşul ve Eklemeler,up,"yukarı, yükseltmek, artırmak",edat,B1,,It's up to me.,Bu bana bağlı.
Zaman ve Süreç Edatları,upon,"üzerine, üzerinde, üstünde",edat,B1,,You can rely upon him.,Ona güvenebilirsiniz.
Koşul ve Eklemeler,via,"vasıtasıyla, aracılığıyla, kanalıyla",edat,B1,,She went to Europe via America.,O Amerika üzerinden Avrupa'ya gitti.
Koşul ve Eklemeler,when,"ne zaman, zaman, ne vakit",bağlaç,B1,,I come when I can.,Gelebildiğim zaman gelirim.
Koşul ve Eklemeler,which,"hangi, kaçıncı, hangisini",bağlaç,B1,,Which way do I go?,Hangi yoldan giderim?
Zıtlık ve Karşılaştırma,while,"sırasında, iken, olduğu halde",bağlaç,B1,,It's been a while.,Bir süre oldu.
Koşul ve Eklemeler,who,"kim, kimi, kime",bağlaç,B1,,I am who I am.,Ben neysem oyum.
Koşul ve Eklemeler,with,"ile, -lı, beraberinde",edat,A1,,I'm OK with it.,Benim için sorun değil.
Zaman ve Süreç Edatları,within,"dahilinde, içinde, içerisinde",edat,B1,,Come back within a month.,Bir ay içinde geri gel.
Koşul ve Eklemeler,without,"dış, dıştan, dışarıda",edat,B2,,Don't go without me.,Bensiz gitme.
Zıtlık ve Karşılaştırma,yet,"henüz, gerçi, yine de",bağlaç,B1,,I can't go yet.,Henüz gidemiyorum.
