Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
able,"hünerli, kadir, gücü yeten",sıfat,B1,,I'm able to run.,Koşabilirim.
abrupt,"birdenbire oluveren, ani, sert",sıfat,B1,,Don't make abrupt moves.,Ani hareket yapmayın.
absolute,"tam, mutlak, salt",sıfat,B2,,He has absolute power.,Onun mutlak gücü var.
academic,"akademik, üniversite öğretim görevlisi, öğretim görevlisi",sıfat,B2,,They're academic champions.,Onlar akademik şampiyonlardır.
accessible,"ulaşılabilir, erişilebilir, kolaylıkla görüşülebilen",sıfat,C1,,The town is accessible by rail.,Şehre demir yolu ile erişilebilir.
accomplished,"başarıyla sonlandırılmış, başarılmış, yetenekli",sıfat,C1,,We accomplished a lot.,Biz çok şey başardık.
accused,"zanlı, sanık, suçlu",sıfat,B2,,I was falsely accused.,Ben yanlışlıkla suçlandım.
actively,"bilfiil, aktif olarak, etkin bir şekilde",zarf,B2,,The initial results proved to be remarkably actively.,İlk sonuçların son derece bilfiil olduğu kanıtlandı.
adaptable,"uyabilen, uyumlu, yeni koşullara uyarlanabilen",sıfat,B2,,I think Tom is adaptable.,Tom'un uygun olduğunu düşünüyorum.
adaptive,"uyarlanır, uyabilen, uyar",sıfat,B2,,The initial results proved to be remarkably adaptive.,İlk sonuçların son derece uyarlanır olduğu kanıtlandı.
added,"munzam, katma, ekli",sıfat,B1,,I added Tom to my list.,Tom'u listeme ekledim.
additional,"fazladan, ek, ilave",sıfat,C1,,Additional fees may apply.,Ek ücretler uygulanabilir.
adjustable,"ayarlı, ayarlanır, ayarlanabilir",sıfat,C1,,These seatbelts are adjustable.,Bu emniyet kemerleri ayarlanabilir.
admitted,"kabul edilen, kabul edilmiş, herkesçe bilinen",sıfat,B2,,I admitted I did it.,Bunu yaptığımı itiraf ettim.
adolescent,"ergen, gençlik, genç",sıfat,C1,,The audience were mostly adolescents.,Seyirciler genellikle gençti.
adult,"yetişkin, er kişi, yetişkin kişi",sıfat,B1,,I'm an adult.,Ben bir yetişkinim.
adverse,"olumsuz, aksi, ters",sıfat,B2,,Is there any adverse reaction?,Herhangi bir olumsuz reaksiyon var mı?
affluent,"ırmak ayağı, bir nehrin ayağı, gürül gürül akan",sıfat,B2,,The initial results proved to be remarkably affluent.,İlk sonuçların son derece ırmak ayağı olduğu kanıtlandı.
affordable,"bütçeye uygun, ekonomik, düşük maliyetli",sıfat,C1,,We want to make it affordable.,Bunu satın alınabilir yapmak istiyoruz.
airless,"havasız, boğucu, sakin",sıfat,B2,,The initial results proved to be remarkably airless.,İlk sonuçların son derece havasız olduğu kanıtlandı.
all,"tüm, bütün, hepsi",sıfat,B1,,I'm all set.,Tamamen hazırım.
allied,"bağlaşık, müttefik, birbirine bağlı",sıfat,B1,,Germany was once allied with Italy.,Almanya bir zamanlar İtalya ile müttefikti.
allowing,izin verilen,sıfat,B2,,I'm allowing you to go.,Gitmene izin veriyorum.
alone,"yalnız, bir, kimsesiz",sıfat,B1,,I'm so alone.,Öyle yalnızım ki.
alternative,"alternatif, çare, şık",sıfat,C1,,I had no alternative.,Hiçbir alternatifim yoktu.
amused,"memnuniyet içinde, mutlu, eğlenen",sıfat,B1,,I'm not amused.,Eğlenmiş değilim.
amusing,"eğlenceli, zevkli, komik",sıfat,B2,,What's so amusing?,Ne çok eğlenceli?
ancient,"antik, çok yaşlı kimse, uzun zaman önce yaşamış kimse",sıfat,B2,,This is an ancient law.,Bu eski bir yasadır.
animal,"hayvan, yetenekli kimse, izbandut gibi adam",sıfat,B1,,He's an animal.,O bir hayvan.
anxious,"endişeli, kaygılı, huzursuz",sıfat,B2,,I'm a bit anxious.,Biraz endişeliyim.
any,"her, hiçbir, herhangi",sıfat,B1,,Do you want any?,Biraz ister misin?
appalling,"müthiş, dehşete düşüren, korkunç",sıfat,B2,,I think that's appalling.,Onun korkunç olduğunu düşünüyorum.
apparent,"aşikar, ortada, belirgin",sıfat,B2,,Tom is in no apparent pain.,Tom bariz acı içinde değil.
apply,"uygulamak, başvurmak, müracaat etmek",zarf,B1,"implement, conduct, practice, execute",When did you apply?,Ne zaman başvurdunuz?
approximately,"takriben, yaklaşık olarak, aşağı yukarı",zarf,C1,,Tom is approximately Mary's age.,Tom yaklaşık Mary'nin yaşındadır.
arrival,"varış, varma, geliş",sıfat,B2,,I await your arrival.,Ben varışını bekliyorum.
arrive,"varmak, ulaşmak, başarmak",sıfat,B1,,I'll arrive soon.,Yakında geleceğim.
asleep,"uyuyan, tembel, uyuşuk",sıfat,B1,,I'm not asleep.,Uykuda değilim.
ative,"-den, ilgili anlamı veren son ek, ilişkili anlamı veren son ek",sıfat,B1,,The initial results proved to be remarkably ative.,İlk sonuçların son derece -den olduğu kanıtlandı.
attentively,"dikkatlice, dikkatle",zarf,C1,,The boys listened attentively.,Erkek çocukları dikkatle dinledi.
attractive,"cazibeli, cazip, çekici",sıfat,C1,,It's not attractive.,Çekici değil.
available,"elde hazır bulunan, boş, mevcut",sıfat,B2,,I'm available now.,Ben şimdi müsaitim.
aware,"haberdar, farkında, vakıf",sıfat,B1,,I'm aware of it.,Ben bunun farkındayım.
awful,"berbat, çok kötü, fena",sıfat,B1,,It's just awful.,Bu sadece berbat.
balanced,"dengeli, dengelenmiş, muvazeneli",sıfat,B2,,The budget must be balanced.,Bütçe dengeli olmalıdır.
based,"esaslı, yerleşik, temeli",sıfat,B1,,This is based on fact.,Bu gerçeğe dayalıdır.
behavioral,"davranışla ilgili, davranış, davranışsal",sıfat,C1,,The initial results proved to be remarkably behavioral.,İlk sonuçların son derece davranışla ilgili olduğu kanıtlandı.
beneficial,"yararlı, faydalı, kazançlı",sıfat,C1,,It could be beneficial.,Bu yararlı olabilir.
best,"en iyi, geçmek, baskın çıkmak",sıfat,B1,,I'm the best.,Ben en iyisiyim.
bewildered,"şaşkın, afallamış, sersemlemiş",sıfat,C1,,Tom seemed to be bewildered.,Tom şaşırmış görünüyordu.
biologic,"biyoloji ile ilgili, biyolojik",sıfat,B2,,The initial results proved to be remarkably biologic.,İlk sonuçların son derece biyoloji ile ilgili olduğu kanıtlandı.
