Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
stand for,"temsil etmek, anlamına gelmek",phrasal verb,B2,"represent, symbolize, signify",What does the acronym UNESCO stand for in international law?,Uluslararası hukukta UNESCO kısaltması ne anlama gelmektedir?
take after,benzemek (aile büyüğüne huy veya tip olarak),phrasal verb,B2,"resemble, look like",She takes after her mother in both academic discipline and character.,Hem akademik disiplin hem de karakter olarak annesine benziyor.
make up,"oluşturmak, uydurmak, telafi etmek",phrasal verb,B1,"constitute, compose, invent",Women make up more than half of the university student population.,"Kadınlar, üniversite öğrenci nüfusunun yarısından fazlasını oluşturmaktadır."
use up,"tüketmek, bitirmek",phrasal verb,B2,"consume, deplete, exhaust",Industrial activities continue to use up non-renewable resources rapidly.,Sanayi faaliyetleri yenilenemeyen kaynakları hızla tüketmeye devam ediyor.
blow up,"patlamak, havaya uçurmak, infilak etmek",phrasal verb,B1,"explode, detonate, erupt",The controlled demolition blew up the unsafe building safely.,"Kontrollü yıkım, güvensiz binayı güvenli bir şekilde patlattı/yıktı."
look forward to,"dört gözle beklemek, umutla beklemek",phrasal verb,B1,"anticipate, await eagerly",Scientists look forward to analyzing the new satellite imagery.,Bilim insanları yeni uydu görüntülerini analiz etmeyi dört gözle bekliyor.
carry out,"yürütmek, uygulamak, icra etmek",phrasal verb,B2,"conduct, implement, execute, perform",The research team carried out a comprehensive demographic survey.,Araştırma ekibi kapsamlı bir demografik anket yürüttü.
rely on,"güvenmek, bel bağlamak, bağımlı olmak",phrasal verb,B1,"depend on, count on, trust",Developing economies often rely on agricultural revenue for sustainability.,Gelişmekte olan ekonomiler sürdürülebilirlik için sıklıkla tarım gelirine bel bağlar.
turn down,"reddetmek, geri çevirmek",phrasal verb,B2,"reject, refuse, decline",The editorial board turned down the manuscript due to inadequate citations.,Yayın kurulu yetersiz atıflar nedeniyle makaleyi geri çevirdi/reddetti.
bring about,"sebep olmak, yol açmak",phrasal verb,B2,"cause, lead to, trigger, generate",Technological breakthroughs brought about profound changes in education.,Teknolojik atılımlar eğitimde derin değişimlere yol açtı.
cope with,"başa çıkmak, üstesinden gelmek",phrasal verb,B2,"deal with, handle, overcome, manage",Medical personnel worked tirelessly to cope with the surge of patients.,Sağlık personeli hasta akınıyla başa çıkmak için yorulmadan çalıştı.
