Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
bad,"kötü, fena, bozuk",sıfat,A1,,He is a bad boy.,O kötü bir çocuk.
beautiful,"güzel, tatlı, ahım şahım",sıfat,A1,,It's a beautiful day.,Güzel bir gün.
black,"siyahi, kara, siyah",sıfat,A1,,I have a black cat.,Siyah bir kedim var.
buy,"ısmarlamak, satın almak, almak",fiil,A1,,I don't buy it.,Buna inanmıyorum.
cheap,"ucuz, ucuzlatmak, değersiz",sıfat,A1,,It's not so cheap.,O kadar ucuz değil.
cold,"soğukluk, soğukkanlı, soğuk",sıfat,A1,,I've got a cold.,Soğuk aldım.
cook,"yemek pişirmek, pişirmek, aşçı",fiil,A1,,I'm a good cook.,Ben iyi bir aşçıyım.
drink,"içmek, içki, drank - drunk",fiil,A1,,I'll fix a drink.,Bir içki hazırlayacağım.
drive,"sürmek, araba sürmek, dürtü",sıfat,A1,,I can drive a car.,Araba sürebilirim.
easy,"rahat, kolay, basit",sıfat,A1,,It won't be easy.,O kolay olmayacak.
eat,"yemek yemek, yemek, ate - eaten",fiil,A1,,I won't eat it.,Ben onu yemeyeceğim.
flat,"düz yüzey, daire, yassı",sıfat,A1,,I got a flat tire.,Patlak bir lastiğim var.
green,"yeşil, yeşermek, yeşile boyamak",sıfat,A1,,I have a green car.,Yeşil bir arabam var.
heavy,"ağır, ağır çekmek, fedai",sıfat,A1,,I know it's heavy.,Ağır olduğunu biliyorum.
light,"aydınlık, nur, ışık",fiil,A1,,I ran a red light.,Ben kırmızı ışıkta geçtim.
live,"yaşamak, naklen, oturmak",sıfat,A1,,I live on a boat.,Bir teknede yaşıyorum.
minute,"dakika, zabıt tutmak, tutanak tutmak",sıfat,A1,,Can I have a minute?,Bir dakikanızı alabilir miyim?
music,"müzik, ahenk, nağme",sıfat,A1,,I am fond of music.,Ben müziği çok severim.
open,"açılmak, açmak, açık",fiil,A1,,Let's open it up.,Bunu açalım.
plate,"plaka, tabak, levha",fiil,A1,,This is Tom's plate.,Bu Tom'un tabağı.
police,"polis, inzibat altına almak, güvenliği sağlamak",fiil,A1,,I'm not the police.,Ben polis değilim.
poor,"kötü, fakir, zavallı",sıfat,A1,,I used to be poor.,Eskiden fakirdim.
rich,"zengin, varsıl, bol bol",sıfat,A1,,I'm a rich man.,Ben zengin bir adamım.
run,"çalıştırmak, işletmek, koşmak",fiil,A1,,I'm able to run.,Koşabilirim.
see,"görmek, bakmak, saw - seen",fiil,A1,,I can't see it.,Onu göremiyorum.
ship,"gemi, kürekleri içeri almak, mal yüklemek",fiil,A1,,It's a cargo ship.,Bu bir kargo gemisi.
sing,"söylemek, ötmek, şarkı söylemek",fiil,A1,,I said I'd sing.,Şarkı söyleyeceğimi söyledim.
small,"az, küçük, ufak",sıfat,A1,,It's a small dog.,Bu küçük bir köpek.
table,"masa, tablo, sofra",sıfat,A1,,It's on the table.,O masada.
tasty,"lezzetli, çeşnili, tatlı",sıfat,A1,,The food was very tasty.,Yemek çok lezzetliydi.
travel,"gezmek, seyahat etmek, yolculuk etmek",fiil,A1,,It's fun to travel.,Seyahat etmek eğlencelidir.
trip,"seyahat, yolculuk, gezi",fiil,A1,,Let's take a trip.,Bir gezi yapalım.
walk,"yürümek, dolaşmak, yürüyerek gitmek",fiil,A1,,I don't walk fast.,Hızlı yürümüyorum.
warm,"ısıtmak, ısınmak, ılık",sıfat,A1,,I'll keep it warm.,Onu sıcak tutacağım.
white,"beyaz, ak, solgun",sıfat,A1,,I'm sick of white.,Ben beyazdan bıktım.
work,"çalışmak, işe yaramak, iş yapmak",fiil,A1,,I work at a bar.,Ben bir barda çalışıyorum.
write,"yazmak, wrote - written, kaydetmek",fiil,A1,,I can't write yet.,Henüz yazamam.
yummy,"lezzetli, nefis, harika",sıfat,A1,,Coffee with cream and sugar is yummy.,Krema ve şekerli kahve nefis.
