Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
across,"karşıya, aşırı, karşı karşıya",edat,B1,,I cut across the park.,Parka kestirmeden gittim.
after,"sonra, öğleden sonra, sonra gelen",edat,B1,,He is after a job.,"O, iş arıyor."
along,"boyunca, yanında, yanına",edat,B1,,I'll be along soon.,Yakında birlikte olacağız.
before,"evvel, önce, daha önce",edat,B1,,He's done it before.,Onu daha önce yaptı.
beyond,"öte, ötede, ötesi",edat,B1,,It is beyond my power.,Bu benim gücümü aşar.
during,"zarfında, süresince, sırasında",edat,B1,,Don't talk during class.,Ders esnasında konuşma.
past,"geçmiş, geçmiş zaman, bir kimsenin geçmişi",edat,B1,,It's past my curfew.,O saatte dışarı çıkmam yasak.
through,"başından sonuna kadar, yoluyla, üzerinden",edat,B2,,I'll get through it.,Ben bunu atlatacağım.
throughout,"boyunca, baştanbaşa, baştan başa",edat,B2,,It rained throughout the night.,Tüm gece boyunca yağmur yağdı.
towards,"doğru, karşı, -e doğru",edat,B2,,The dog ran towards me.,Köpek bana doğru koştu.
upon,"üzerine, üzerinde, üstünde",edat,B1,,You can rely upon him.,Ona güvenebilirsiniz.
within,"dahilinde, içinde, içerisinde",edat,B1,,Come back within a month.,Bir ay içinde geri gel.
