Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
accessible,"ulaşılabilir, erişilebilir, kolaylıkla görüşülebilen",sıfat,C1,,The town is accessible by rail.,Şehre demir yolu ile erişilebilir.
accomplished,"başarıyla sonlandırılmış, başarılmış, yetenekli",sıfat,C1,,We've accomplished a lot.,Çok şey başardık.
additional,"fazladan, ek, ilave",sıfat,C1,,There is an additional problem.,Ek bir sorun var.
adjustable,"ayarlı, ayarlanır, ayarlanabilir",sıfat,C1,,The empirical results of the study were remarkably adjustable.,Çalışmanın ampirik sonuçlarının son derece ayarlı olduğu görüldü.
adolescent,"ergen, gençlik, genç",sıfat,C1,,The audience were mostly adolescents.,Seyirciler genellikle gençti.
affordable,"bütçeye uygun, ekonomik, düşük maliyetli",sıfat,C1,,We want to make it affordable.,Bunu satın alınabilir yapmak istiyoruz.
alternative,"alternatif, çare, şık",sıfat,C1,,We've got no alternative.,Hiç alternatifimiz yok.
attractive,"cazibeli, cazip, çekici",sıfat,C1,,Do you find me attractive?,Beni çekici buluyor musun?
behavioral,"davranışla ilgili, davranış, davranışsal",sıfat,C1,,The empirical results of the study were remarkably behavioral.,Çalışmanın ampirik sonuçlarının son derece davranışla ilgili olduğu görüldü.
beneficial,"yararlı, faydalı, kazançlı",sıfat,C1,,That would be very beneficial.,Bu çok yararlı olacaktı.
bewildered,"şaşkın, afallamış, sersemlemiş",sıfat,C1,,The empirical results of the study were remarkably bewildered.,Çalışmanın ampirik sonuçlarının son derece şaşkın olduğu görüldü.
biological,"yaşambilimsel, dirimbilimsel, biyolojik",sıfat,C1,,He's my biological father.,O benim biyolojik babam.
calibrated,"taksimatlı, ayarlanmış, ayarlı",sıfat,C1,,This instrument needs to be calibrated.,Bu alet ayarlanmalı.
cardiovascular,"kardiyovasküler, kalp ve damarlara ilişkin",sıfat,C1,,Kickboxing is great cardiovascular exercise.,Kick boks yapmak harika bir kardiyo egzersizidir.
challenging,"dürtücü, zorlu, meydan okuma",sıfat,C1,,Are you challenging my authority?,Benim otoriteme karşı mı çıkıyorsun?
collaborative,"işbirlikçi, ortak çalışmaya dayalı",sıfat,C1,,It was a collaborative effort.,Ortak çalışmaya dayalı bir çabaydı.
collective,"toplu, müşterek, kolektif",sıfat,C1,,Collective interests must be protected.,Toplu çıkarlar korunmalıdır.
comfortable,"rahat, rahatlatıcı, teselli edici",sıfat,C1,,I'm comfortable with it.,Ben onunla rahatım.
complicated,"çetrefil, komplike, çetrefilli",sıfat,C1,,It's a complicated story.,Bu anlaşılması zor bir hikaye.
comprehensive,"etraflı, kapsamlı, tam veya her şey dahil",sıfat,C1,,This is a comprehensive approach.,Bu kapsamlı bir yaklaşımdır.
computational,"sayısal, hesaba dayalı, bilgisayımsal",sıfat,C1,,The empirical results of the study were remarkably computational.,Çalışmanın ampirik sonuçlarının son derece sayısal olduğu görüldü.
considerable,"hatırı sayılır derecede, kaydadeğer, hatırı sayılır",sıfat,C1,,He has a considerable income.,O önemli bir gelire sahiptir.
considered,"dikkate alınan, saygıdeğer, dikkate alınmış",sıfat,C1,,I hadn't considered that.,Ben onu dikkate almadım.
consistent,"istikrarlı, tutarlı, bağıntılı",sıfat,C1,,We're just being consistent.,Her şeye bakıyoruz.
contagious,"bulaşıcı, geçici, salgın",sıfat,C1,,Tom's smile was contagious.,Tom'un gülümsemesi bulaşıcıydı.
contemporary,"modern, çağdaş, günümüze ait",sıfat,C1,,Scott was a contemporary of Byron.,"Scott, çağdaş bir Byron'du."
convenient,"müsait, münasip, uygun",sıfat,C1,,It's much more convenient.,Bu çok daha uygun.
conventional,"geleneksel, itibari, basmakalıp",sıfat,C1,,Why are conventional language classes so boring?,Neden geleneksel dil dersleri bu kadar sıkıcı?
convincing,"inandırıcı, ikna edici, ikna",sıfat,C1,,That wasn't very convincing.,Bu çok inandırıcı değildi.
cooperative,"kooperatif, işbirliği, yardımcı",sıfat,C1,,I tried to be cooperative.,Yardımcı olmaya çalıştım.
demonstrated,"ispat edilmiş, ispat edilen",sıfat,C1,,The salesman demonstrated how to use it.,Satıcı onun nasıl kullanılacağını gösterdi.
dependable,"güvenilir, güvenli, güvenilebilir",sıfat,C1,,I'm pretty sure Tom's dependable.,Tom'un güvenilebilir olduğuna oldukça eminim.
determined,"azimli, belirlenmiş, kararlı",sıfat,C1,persistent,She's a determined woman.,"O, kararlı bir kadın."
detrimental,"zararlı, muzır, zarar veren",sıfat,C1,,Tom's stressful job is having a detrimental effect on his health.,Tom'un stresli işi sağlığı üzerinde zararlı bir etkiye sahiptir.
diagnostic,"teşhis, tanısal, kontrol",sıfat,C1,,The empirical results of the study were remarkably diagnostic.,Çalışmanın ampirik sonuçlarının son derece teşhis olduğu görüldü.
disappointed,"hayal kırıklığına uğramış, hüsrana uğramış, hayal kırıklığı uğramış",sıfat,C1,,I'm disappointed in you.,Senin hayal kırıklığına uğrattım.
disgusting,"tiksindirici, iğrenç, çirkef",sıfat,C1,,I think it's disgusting.,Bunun iğrenç olduğunu düşünüyorum.
ecological,"çevre, çevrebilimsel, ekolojik",sıfat,C1,,The world's tropical rainforests are critical links in the ecological chain of life on the planet.,"Dünyadaki tropikal yağmur ormanları, gezegende yaşamın ekolojik zincirine kritik bağlantılıdır."
educational,"eğitsel, eğitimsel, eğitici",sıfat,C1,,I found the field trip very educational.,Saha gezisini çok eğitici buldum.
endangered,"tehlikeye atılmış, tehlikede, nesli tükenmekte olan",sıfat,C1,,It is an endangered species.,Nesli tükenmekte olan bir türdür.
entertained,"ağırlanmış, eğlendirilmiş, meşgul edilmiş",sıfat,C1,,They entertained us at dinner.,Bizi akşam yemeğinde ağırladılar.
environmental,"çevre, çevresel, muhite ait",sıfat,C1,,This is a major environmental disaster.,Bu büyük bir çevre felaketi.
exceptional,"fevkalade, müstesna, istisnai",sıfat,C1,,I had an exceptional year.,Olağanüstü bir yıl geçirdim.
experienced,"tecrübeli, deneyimli, deneyim edilmiş",sıfat,C1,,I'm not experienced enough.,Yeterince deneyimli değilim.
experimental,"deneysel, tecrübi, deneyde kullanılan",sıfat,C1,,The empirical results of the study were remarkably experimental.,Çalışmanın ampirik sonuçlarının son derece deneysel olduğu görüldü.
extraordinary,"fevkalade, olağandışı, olağanüstü",sıfat,C1,,It was an extraordinary year.,Bu olağanüstü bir yıldı.
frightened,"ürkmüş, korkan, korkmuş",sıfat,C1,,Now don't be frightened.,Artık korkma.
frightening,"korkutucu, korkulu, muhatara",sıfat,C1,,This is a frightening place.,Burası korkutucu bir mekan.
frustrated,"hakkı yenmiş, boşa çıkmış, boşuna didinmiş",sıfat,C1,,I know you're frustrated.,Sinirli olduğunu biliyorum.
functional,"pratik, görevci, fonksiyonel",sıfat,C1,,I think everything is functional.,Sanırım her şey işlevsel.
functioning,"çalıştırma, işleyiş, faal",sıfat,C1,,The machine has stopped functioning.,Makine çalışmayı durdurdu.
fundamental,"esas, asli, temel ilke",sıfat,C1,,That was a fundamental error.,O temel bir hataydı.
geological,"yerbilimsel, jeolojik, yerbilimine değin",sıfat,C1,,The empirical results of the study were remarkably geological.,Çalışmanın ampirik sonuçlarının son derece yerbilimsel olduğu görüldü.
geopolitical,jeopolitik,sıfat,C1,,The empirical results of the study were remarkably geopolitical.,Çalışmanın ampirik sonuçlarının son derece jeopolitik olduğu görüldü.
historical,"tarihi, tarihle ilgili, tarihsel",sıfat,C1,,Do you like historical novels?,Tarihsel romanlardan hoşlanıyor musun?
horrifying,"korkutma, korkunç, ürkünç",sıfat,C1,,That's a horrifying thought.,O korkunç bir düşünce.
implemented,"uygulanmış, yerine getirilmiş, azı dişli",sıfat,C1,,The plan was never implemented.,Plan hiç uygulanmadı.
impressive,"etkileyici, duyguları etkileyen, çarpıcı",sıfat,C1,dazzling,Tom's resume's impressive.,Tom'un özgeçmişi etkileyici.
inconvenient,"zahmetli, uygunsuz, zor",sıfat,C1,,I'm sure it's inconvenient.,Bunun sakıncalı olduğundan eminim.
independent,"bağımsız, müstakil, özgür",sıfat,C1,,He's an independent thinker.,O bağımsız bir düşünür.
indicative,"belirten, gösteren, haber kipi",sıfat,C1,,The empirical results of the study were remarkably indicative.,Çalışmanın ampirik sonuçlarının son derece belirten olduğu görüldü.
indispensable,"zaruri, zorunlu, vazgeçilmez",sıfat,C1,,None of us are indispensable.,Hiçbirimiz vazgeçilmez değiliz.
inefficient,"liyakatsiz, ehliyetsiz, zaman ve enerjiyi ekonomik bir şekilde kullanmayan",sıfat,C1,,The empirical results of the study were remarkably inefficient.,Çalışmanın ampirik sonuçlarının son derece liyakatsiz olduğu görüldü.
infectious,"bulaşıcı, başkalarına kolay geçen, intani",sıfat,C1,,Mumps is an infectious disease.,Kabakulak bulaşıcı bir hastalıktır.
inflammatory,"iltihaplı, kışkırtıcı, yangılı",sıfat,C1,,The empirical results of the study were remarkably inflammatory.,Çalışmanın ampirik sonuçlarının son derece iltihaplı olduğu görüldü.
influential,"etkili, etkileyici, ağababa",sıfat,C1,,We're not that influential.,O kadar etkili değiliz.
innovative,"yaratıcı, yenilikçi, yeniliklere açık",sıfat,C1,,I try to be innovative.,Yenilikçi olmaya çalışıyorum.
insufficient,"kıt, yetersiz, yeterli değil",sıfat,C1,,His knowledge of geography is insufficient.,Onun coğrafya bilgisi yetersizdir.
international,"devletlerarası, enternasyonal, milletlerarası",sıfat,C1,,The drug problem is international.,Uyuşturucu problemi uluslararasıdır.
investigated,"soruşturulmuş, incelenmiş, araştırılmış",sıfat,C1,,We investigated the matter from all angles.,Konuyu tüm açılardan araştırdık.
irritating,"rahatsız etme, sinirlendirme, sinir",sıfat,C1,,Sometimes you're so irritating.,Sen bazen çok rahatsız edicisin.
meaningless,"manasız, anlamsız, ipsiz sapsız",sıfat,C1,,Life is meaningless without you.,Sensiz hayat anlamsız.
modernized,"modernize, modernleştirilmiş",sıfat,C1,,The empirical results of the study were remarkably modernized.,Çalışmanın ampirik sonuçlarının son derece modernize olduğu görüldü.
monotonous,"monoton, monotonluk, yavan",sıfat,C1,,She says her life is monotonous.,Yaşantısının monoton olduğunu söylüyor.
motionless,"hareketsiz, duruk, devinimsiz",sıfat,C1,,A cat jumped onto the chair and lay motionless.,Bir kedi sandalyeye atladı ve hareketsiz yatıyor.
multicultural,"multikültürel, çok kültürlü",sıfat,C1,,The empirical results of the study were remarkably multicultural.,Çalışmanın ampirik sonuçlarının son derece multikültürel olduğu görüldü.
multifunctional,"çok fonksiyonlu cihaz, çok fonksiyonlu yazıcı, multifonksiyonel peptid",sıfat,C1,,The empirical results of the study were remarkably multifunctional.,Çalışmanın ampirik sonuçlarının son derece çok fonksiyonlu cihaz olduğu görüldü.
mysterious,"esrarengiz, gizemli, anlaşılmaz",sıfat,C1,,Tom's death was mysterious.,Tom'un ölümü gizemliydi.
nourishing,"besi, besleyici, besin değeri yüksek",sıfat,C1,,This food's not nourishing enough.,Bu yiyecek yeterince besleyici değil.
